n 1656
m 10
tmax 3106.4
0.0000 0.0000 0
1224.3000 945.6000 1
1325.9000 945.6000 1
1325.9000 971.0000 1
1224.3000 971.0000 1
1224.3000 996.4000 1
1325.9000 996.4000 1
1325.9000 1021.8000 1
1224.3000 1021.8000 1
1186.2000 1034.5000 1
1084.6000 1034.5000 1
1052.8000 1034.5000 1
1027.4000 1034.5000 1
1224.3000 1047.2000 1
1325.9000 1047.2000 1
1186.2000 1059.9000 1
1084.6000 1059.9000 1
1052.8000 1059.9000 1
1027.4000 1059.9000 1
1224.3000 1072.6000 1
1325.9000 1072.6000 1
1186.2000 1085.3000 1
1084.6000 1085.3000 1
1052.8000 1085.3000 1
1027.4000 1085.3000 1
1224.3000 1098.0000 1
1325.9000 1098.0000 1
1186.2000 1110.7000 1
1084.6000 1110.7000 1
1052.8000 1110.7000 1
1027.4000 1110.7000 1
1224.3000 1123.4000 1
1325.9000 1123.4000 1
1186.2000 1136.1000 1
1084.6000 1136.1000 1
1052.8000 1136.1000 1
1027.4000 1136.1000 1
1224.3000 1148.8000 1
1325.9000 1148.8000 1
1186.2000 1161.5000 1
1084.6000 1161.5000 1
1052.8000 1161.5000 1
1027.4000 1161.5000 1
1224.3000 1174.2000 1
1325.9000 1174.2000 1
1186.2000 1186.9000 1
1084.6000 1186.9000 1
1052.8000 1186.9000 1
1027.4000 1186.9000 1
1224.3000 1199.6000 1
1325.9000 1199.6000 1
1186.2000 1212.3000 1
1084.6000 1212.3000 1
1052.8000 1212.3000 1
1027.4000 1212.3000 1
1224.3000 1225.0000 1
1325.9000 1225.0000 1
1186.2000 1237.7000 1
1084.6000 1237.7000 1
1052.8000 1237.7000 1
1027.4000 1237.7000 1
1224.3000 1250.4000 1
1325.9000 1250.4000 1
1186.2000 1263.1000 1
1084.6000 1263.1000 1
1052.8000 1263.1000 1
1027.4000 1263.1000 1
1224.3000 1275.8000 1
1325.9000 1275.8000 1
1186.2000 1288.5000 1
1084.6000 1288.5000 1
1052.8000 1288.5000 1
1027.4000 1288.5000 1
1027.4000 1313.9000 1
1052.8000 1313.9000 1
1084.6000 1313.9000 1
1186.2000 1313.9000 1
1287.8000 1339.3000 1
1262.4000 1339.3000 1
1186.2000 1339.3000 1
1084.6000 1339.3000 1
1052.8000 1339.3000 1
1027.4000 1339.3000 1
1027.4000 1364.7000 1
1052.8000 1364.7000 1
1084.6000 1364.7000 1
1186.2000 1364.7000 1
1186.2000 1390.1000 1
1084.6000 1390.1000 1
1052.8000 1390.1000 1
1027.4000 1390.1000 1
1224.3000 1402.8000 1
1325.9000 1402.8000 1
1186.2000 1415.5000 1
1084.6000 1415.5000 1
1052.8000 1415.5000 1
1027.4000 1415.5000 1
1224.3000 1428.2000 1
1325.9000 1428.2000 1
1325.9000 1453.6000 1
1224.3000 1453.6000 1
1224.3000 1479.0000 1
1325.9000 1479.0000 1
1186.2000 1491.7000 1
1084.6000 1491.7000 1
1052.8000 1491.7000 1
1027.4000 1504.4000 1
1224.3000 1504.4000 1
1325.9000 1504.4000 1
1052.8000 1517.1000 1
1224.3000 1529.8000 1
1325.9000 1529.8000 1
1325.9000 1555.2000 1
1224.3000 1555.2000 1
1224.3000 1580.6000 1
1325.9000 1580.6000 1
1325.9000 1606.0000 1
1224.3000 1606.0000 1
1224.3000 1631.4000 1
1325.9000 1631.4000 1
1325.9000 1656.8000 1
1224.3000 1656.8000 1
1224.3000 1682.2000 1
1325.9000 1682.2000 1
1325.9000 1707.6000 1
1224.3000 1707.6000 1
1224.3000 1733.0000 1
1325.9000 1733.0000 1
1097.3000 1948.9000 1
1071.9000 1948.9000 1
1224.3000 2152.1000 1
1325.9000 2152.1000 1
1325.9000 2177.5000 1
1224.3000 2177.5000 1
1224.3000 2202.9000 1
1325.9000 2202.9000 1
1325.9000 2228.3000 1
1224.3000 2228.3000 1
1224.3000 2253.7000 1
1325.9000 2253.7000 1
1325.9000 2279.1000 1
1224.3000 2279.1000 1
1224.3000 2304.5000 1
1325.9000 2304.5000 1
1325.9000 2329.9000 1
1224.3000 2329.9000 1
1224.3000 2355.3000 1
1325.9000 2355.3000 1
1325.9000 2380.7000 1
1224.3000 2380.7000 1
1224.3000 2406.1000 1
1325.9000 2406.1000 1
1325.9000 2431.5000 1
1224.3000 2431.5000 1
1224.3000 2456.9000 1
1325.9000 2456.9000 1
1325.9000 2482.3000 1
1224.3000 2482.3000 1
1262.4000 2545.8000 1
1287.8000 2545.8000 1
1325.9000 2609.3000 1
1224.3000 2609.3000 1
1224.3000 2634.7000 1
1325.9000 2634.7000 1
1186.2000 2647.4000 1
1084.6000 2647.4000 1
1052.8000 2647.4000 1
1027.4000 2660.1000 1
1224.3000 2660.1000 1
1325.9000 2660.1000 1
1052.8000 2672.8000 1
1224.3000 2685.5000 1
1325.9000 2685.5000 1
1325.9000 2710.9000 1
1224.3000 2710.9000 1
1224.3000 2736.3000 1
1325.9000 2736.3000 1
1325.9000 2761.7000 1
1224.3000 2761.7000 1
1224.3000 2787.1000 1
1325.9000 2787.1000 1
1325.9000 2812.5000 1
1224.3000 2812.5000 1
1325.9000 2837.9000 1
1224.3000 2837.9000 1
1186.2000 2837.9000 1
1084.6000 2837.9000 1
1224.3000 2863.3000 1
1325.9000 2863.3000 1
1325.9000 2888.7000 1
1224.3000 2888.7000 1
1224.3000 2914.1000 1
1325.9000 2914.1000 1
1325.9000 2939.5000 1
1224.3000 2939.5000 1
1579.9000 3028.4000 1
1605.3000 3028.4000 1
1630.7000 3028.4000 1
1656.1000 3028.4000 1
1681.5000 3028.4000 1
