n 4462
m 10
tmax 9128.3
5639.0000 6909.0000 0
5652.0000 6142.0000 1
5654.0000 6101.0000 1
5659.0000 6910.0000 1
5659.0000 6920.0000 1
5661.0000 6182.0000 1
5663.0000 6830.0000 1
5669.0000 6213.0000 1
5670.0000 6425.0000 1
5671.0000 6870.0000 1
5673.0000 6132.0000 1
5682.0000 6840.0000 1
5690.0000 6891.0000 1
5694.0000 6801.0000 1
5698.0000 6265.0000 1
5698.0000 6952.0000 1
5701.0000 6184.0000 1
5701.0000 6407.0000 1
5712.0000 6154.0000 1
5716.0000 6296.0000 1
5720.0000 6438.0000 1
5722.0000 6397.0000 1
5722.0000 6873.0000 1
5730.0000 6458.0000 1
5731.0000 6893.0000 1
5736.0000 6317.0000 1
5737.0000 6064.0000 1
5738.0000 6034.0000 1
5738.0000 6267.0000 1
5740.0000 5984.0000 1
5741.0000 6206.0000 1
5741.0000 6418.0000 1
5744.0000 6368.0000 1
5744.0000 6823.0000 1
5746.0000 6783.0000 1
5748.0000 6490.0000 1
5748.0000 6965.0000 1
5749.0000 6944.0000 1
5750.0000 6227.0000 1
5756.0000 6308.0000 1
5758.0000 6733.0000 1
5761.0000 6440.0000 1
5762.0000 6187.0000 1
5763.0000 6389.0000 1
5774.0000 6127.0000 1
5776.0000 6319.0000 1
5776.0000 6774.0000 1
5777.0000 6289.0000 1
5779.0000 6026.0000 1
5780.0000 6916.0000 1
5783.0000 6168.0000 1
5784.0000 6137.0000 1
5788.0000 6744.0000 1
5789.0000 6249.0000 1
5790.0000 5996.0000 1
5797.0000 6077.0000 1
5799.0000 6482.0000 1
5799.0000 6957.0000 1
5800.0000 6472.0000 1
5802.0000 6411.0000 1
5804.0000 6836.0000 1
5805.0000 6350.0000 1
5806.0000 6563.0000 1
5808.0000 6047.0000 1
5810.0000 6229.0000 1
5813.0000 6159.0000 1
5817.0000 6311.0000 1
5818.0000 6988.0000 1
5820.0000 6472.0000 1
5822.0000 6200.0000 1
5822.0000 6432.0000 1
5822.0000 6877.0000 1
5825.0000 6594.0000 1
5827.0000 6089.0000 1
5829.0000 6726.0000 1
5833.0000 6392.0000 1
5833.0000 6635.0000 1
5838.0000 6281.0000 1
5840.0000 6948.0000 1
5841.0000 6686.0000 1
5842.0000 6665.0000 1
5844.0000 6160.0000 1
5846.0000 6807.0000 1
5847.0000 6544.0000 1
5847.0000 6999.0000 1
5848.0000 6049.0000 1
5850.0000 6251.0000 1
5851.0000 6919.0000 1
5853.0000 6413.0000 1
5855.0000 6120.0000 1
5859.0000 6272.0000 1
5860.0000 6009.0000 1
5860.0000 6484.0000 1
