n 3039
m 10
tmax 6884.7
2830.0000 40.0000 0
2830.0000 77.0000 1
2830.0000 114.0000 1
2831.0000 155.0000 1
2830.0000 194.0000 1
2831.0000 231.0000 1
2831.0000 269.0000 1
2831.0000 309.0000 1
2830.0000 347.0000 1
2830.0000 384.0000 1
2792.0000 35.0000 1
2792.0000 75.0000 1
2790.0000 115.0000 1
2792.0000 153.0000 1
2791.0000 191.0000 1
2791.0000 231.0000 1
2790.0000 271.0000 1
2791.0000 306.0000 1
2791.0000 345.0000 1
2792.0000 384.0000 1
2800.0000 460.0000 1
2801.0000 499.0000 1
2801.0000 538.0000 1
2800.0000 578.0000 1
2802.0000 620.0000 1
2800.0000 654.0000 1
2800.0000 694.0000 1
2802.0000 732.0000 1
2800.0000 772.0000 1
2800.0000 810.0000 1
2762.0000 459.0000 1
2761.0000 497.0000 1
2761.0000 540.0000 1
2761.0000 578.0000 1
2762.0000 591.0000 1
2763.0000 656.0000 1
2762.0000 694.0000 1
2761.0000 731.0000 1
2762.0000 770.0000 1
2761.0000 808.0000 1
2801.0000 946.0000 1
2803.0000 1034.0000 1
2723.0000 943.0000 1
2724.0000 1029.0000 1
2702.0000 1003.0000 1
2800.0000 1098.0000 1
2799.0000 1137.0000 1
2831.0000 1158.0000 1
2801.0000 1178.0000 1
2800.0000 1216.0000 1
2829.0000 1237.0000 1
2801.0000 1254.0000 1
2800.0000 1292.0000 1
2800.0000 1331.0000 1
2801.0000 1370.0000 1
2799.0000 1409.0000 1
2804.0000 1450.0000 1
2759.0000 1098.0000 1
2762.0000 1138.0000 1
2762.0000 1178.0000 1
2761.0000 1213.0000 1
2763.0000 1255.0000 1
2761.0000 1293.0000 1
2763.0000 1330.0000 1
2761.0000 1369.0000 1
2759.0000 1411.0000 1
2761.0000 1446.0000 1
2762.0000 617.0000 1
2801.0000 1507.0000 1
2800.0000 1548.0000 1
2801.0000 1581.0000 1
2801.0000 1619.0000 1
2799.0000 1656.0000 1
2800.0000 1698.0000 1
2800.0000 1738.0000 1
2800.0000 1781.0000 1
2799.0000 1820.0000 1
2800.0000 1856.0000 1
2760.0000 1506.0000 1
2760.0000 1543.0000 1
2763.0000 1586.0000 1
2761.0000 1621.0000 1
2761.0000 1659.0000 1
2761.0000 1698.0000 1
2762.0000 1737.0000 1
2761.0000 1775.0000 1
2762.0000 1821.0000 1
2762.0000 1853.0000 1
2800.0000 2067.0000 1
2798.0000 2102.0000 1
2799.0000 2143.0000 1
2801.0000 2183.0000 1
2800.0000 2221.0000 1
2801.0000 2262.0000 1
2800.0000 2299.0000 1
2800.0000 2337.0000 1
2801.0000 2376.0000 1
2800.0000 2414.0000 1
2760.0000 2066.0000 1
2760.0000 2105.0000 1
2761.0000 2144.0000 1
2761.0000 2184.0000 1
2763.0000 2222.0000 1
2760.0000 2259.0000 1
2761.0000 2297.0000 1
2760.0000 2338.0000 1
2761.0000 2372.0000 1
2800.0000 2411.0000 1
2800.0000 2491.0000 1
2772.0000 2512.0000 1
2732.0000 2491.0000 1
2788.0000 2167.0000 1
2762.0000 2676.0000 1
2732.0000 2618.0000 1
2761.0000 2903.0000 1
2761.0000 2983.0000 1
2799.0000 3041.0000 1
2800.0000 3083.0000 1
2799.0000 3117.0000 1
2799.0000 3085.0000 1
2799.0000 3195.0000 1
2798.0000 3234.0000 1
2799.0000 3274.0000 1
2798.0000 3312.0000 1
2798.0000 3350.0000 1
2797.0000 3389.0000 1
2799.0000 3427.0000 1
2800.0000 3464.0000 1
2864.0000 3474.0000 1
2865.0000 3515.0000 1
2798.0000 3563.0000 1
2798.0000 3796.0000 1
2797.0000 3794.0000 1
2698.0000 39.0000 1
2697.0000 116.0000 1
2716.0000 191.0000 1
2696.0000 540.0000 1
2704.0000 1437.0000 1
2704.0000 1583.0000 1
2703.0000 1680.0000 1
2694.0000 2221.0000 1
2704.0000 2317.0000 1
2714.0000 2345.0000 1
2733.0000 2374.0000 1
2720.0000 3100.0000 1
2721.0000 3147.0000 1
2752.0000 3198.0000 1
2712.0000 3194.0000 1
2683.0000 3196.0000 1
2642.0000 3195.0000 1
2763.0000 3292.0000 1
2761.0000 3332.0000 1
2761.0000 3369.0000 1
2760.0000 3409.0000 1
2732.0000 3467.0000 1
2701.0000 3621.0000 1
2699.0000 3852.0000 1
2781.0000 3940.0000 1
2701.0000 3940.0000 1
2623.0000 3945.0000 1
2621.0000 -5.0000 1
2744.0000 18.0000 1
2649.0000 25.0000 1
2609.0000 48.0000 1
2659.0000 94.0000 1
2658.0000 134.0000 1
2659.0000 171.0000 1
2658.0000 208.0000 1
2657.0000 248.0000 1
2660.0000 285.0000 1
2659.0000 325.0000 1
2659.0000 368.0000 1
2545.0000 92.0000 1
2543.0000 131.0000 1
2543.0000 170.0000 1
2541.0000 212.0000 1
2538.0000 248.0000 1
2544.0000 288.0000 1
2541.0000 246.0000 1
2541.0000 362.0000 1
2571.0000 270.0000 1
2571.0000 325.0000 1
2485.0000 36.0000 1
2524.0000 54.0000 1
2494.0000 249.0000 1
2590.0000 393.0000 1
2641.0000 411.0000 1
2659.0000 441.0000 1
2660.0000 500.0000 1
2660.0000 538.0000 1
2658.0000 577.0000 1
2659.0000 618.0000 1
2660.0000 656.0000 1
2661.0000 701.0000 1
2658.0000 733.0000 1
2659.0000 772.0000 1
2582.0000 439.0000 1
2592.0000 521.0000 1
2581.0000 770.0000 1
2543.0000 497.0000 1
2542.0000 536.0000 1
2543.0000 579.0000 1
2542.0000 615.0000 1
2542.0000 657.0000 1
2543.0000 691.0000 1
2543.0000 734.0000 1
2541.0000 771.0000 1
2542.0000 808.0000 1
2543.0000 847.0000 1
2540.0000 877.0000 1
2617.0000 847.0000 1
2620.0000 916.0000 1
2570.0000 1004.0000 1
2529.0000 1003.0000 1
2656.0000 1042.0000 1
2658.0000 1082.0000 1
2656.0000 1118.0000 1
2657.0000 1159.0000 1
2656.0000 1200.0000 1
2657.0000 1236.0000 1
2657.0000 1272.0000 1
2657.0000 1314.0000 1
2616.0000 1137.0000 1
2617.0000 1195.0000 1
2624.0000 1273.0000 1
2598.0000 1314.0000 1
2558.0000 1214.0000 1
2542.0000 1040.0000 1
2540.0000 1079.0000 1
2541.0000 1121.0000 1
2540.0000 1156.0000 1
2539.0000 1195.0000 1
2539.0000 1231.0000 1
2540.0000 1272.0000 1
2540.0000 1311.0000 1
2501.0000 1342.0000 1
2540.0000 1358.0000 1
2540.0000 1398.0000 1
2512.0000 1436.0000 1
2628.0000 1435.0000 1
2643.0000 1484.0000 1
2667.0000 1524.0000 1
2666.0000 1560.0000 1
2665.0000 1601.0000 1
2667.0000 1640.0000 1
2665.0000 1679.0000 1
2665.0000 1728.0000 1
2666.0000 1755.0000 1
2666.0000 1794.0000 1
2665.0000 1836.0000 1
2667.0000 1873.0000 1
2646.0000 1486.0000 1
2617.0000 1525.0000 1
2628.0000 1715.0000 1
2618.0000 1756.0000 1
2548.0000 1524.0000 1
2550.0000 1561.0000 1
2552.0000 1600.0000 1
2550.0000 1640.0000 1
2550.0000 1677.0000 1
2551.0000 1717.0000 1
2551.0000 1756.0000 1
2551.0000 1798.0000 1
2549.0000 1832.0000 1
2550.0000 1874.0000 1
2579.0000 1893.0000 1
2665.0000 1935.0000 1
2647.0000 1991.0000 1
2667.0000 2025.0000 1
2667.0000 2064.0000 1
2667.0000 2104.0000 1
2665.0000 2139.0000 1
2666.0000 2178.0000 1
2665.0000 2220.0000 1
2665.0000 2254.0000 1
2548.0000 2258.0000 1
2549.0000 2218.0000 1
2549.0000 2180.0000 1
2550.0000 2141.0000 1
2549.0000 2103.0000 1
2548.0000 2064.0000 1
2548.0000 2025.0000 1
2538.0000 1987.0000 1
2590.0000 2333.0000 1
2666.0000 2328.0000 1
2667.0000 2394.0000 1
2667.0000 2432.0000 1
2666.0000 2470.0000 1
2666.0000 2508.0000 1
2665.0000 2550.0000 1
2665.0000 2586.0000 1
2666.0000 2626.0000 1
2549.0000 2393.0000 1
2548.0000 2431.0000 1
2549.0000 2473.0000 1
