n 1749
m 10
tmax 16827.8
15440.0000 11286.0000 0
16688.0000 8228.0000 1
17936.0000 6116.0000 1
6320.0000 12144.0000 1
6400.0000 9680.0000 1
6480.0000 6842.0000 1
1232.0000 10098.0000 1
1376.0000 5588.0000 1
1520.0000 4796.0000 1
4272.0000 12452.0000 1
4400.0000 10296.0000 1
4528.0000 7150.0000 1
5088.0000 10296.0000 1
5648.0000 8624.0000 1
5968.0000 6952.0000 1
5648.0000 12452.0000 1
6288.0000 5478.0000 1
6288.0000 7986.0000 1
6320.0000 9020.0000 1
6352.0000 11814.0000 1
6736.0000 9020.0000 1
7120.0000 6820.0000 1
18224.0000 4213.0000 1
18642.5000 4422.0000 1
14128.0000 7084.0000 1
14704.0000 9548.0000 1
15280.0000 11946.0000 1
3504.0000 11814.0000 1
4656.0000 9020.0000 1
5808.0000 6512.0000 1
784.0000 5390.0000 1
880.0000 6776.0000 1
976.0000 7150.0000 1
1040.0000 7524.0000 1
1104.0000 11066.0000 1
9104.0000 12078.0000 1
10464.0000 9548.0000 1
11824.0000 6776.0000 1
10768.0000 11770.0000 1
11264.0000 8932.0000 1
11760.0000 6468.0000 1
10064.0000 13046.0000 1
10576.0000 11484.0000 1
11088.0000 8052.0000 1
9072.0000 11550.0000 1
10592.0000 8492.0000 1
12112.0000 6248.0000 1
8688.0000 12782.0000 1
10368.0000 10956.0000 1
12048.0000 7480.0000 1
8656.0000 12672.0000 1
10528.0000 10736.0000 1
12400.0000 7370.0000 1
8528.0000 12298.0000 1
10432.0000 9988.0000 1
12336.0000 6996.0000 1
8464.0000 12408.0000 1
8512.0000 10208.0000 1
8560.0000 7414.0000 1
7216.0000 11770.0000 1
7488.0000 8932.0000 1
7760.0000 6776.0000 1
12560.0000 12056.0000 1
13360.0000 9768.0000 1
14160.0000 7194.0000 1
13680.0000 10912.0000 1
16016.0000 7480.0000 1
18352.0000 5742.0000 1
17712.0000 11528.0000 1
17936.0000 8448.0000 1
18160.0000 6226.0000 1
12784.0000 12166.0000 1
13840.0000 9988.0000 1
14896.0000 7304.0000 1
13712.0000 9482.0000 1
4208.0000 7634.0000 1
6304.0000 11264.0000 1
8400.0000 12936.0000 1
10480.0000 4862.0000 1
11392.0000 5104.0000 1
12304.0000 9724.0000 1
12592.0000 12166.0000 1
12624.0000 9988.0000 1
12656.0000 7304.0000 1
14864.0000 12276.0000 1
14944.0000 10208.0000 1
15024.0000 7414.0000 1
4432.0000 5808.0000 1
6112.0000 7612.0000 1
7792.0000 11110.0000 1
16496.0000 7678.0000 1
17456.0000 10736.0000 1
18416.0000 12672.0000 1
1200.0000 10318.0000 1
1232.0000 6028.0000 1
1264.0000 5016.0000 1
16400.0000 7568.0000 1
17152.0000 10516.0000 1
17904.0000 12562.0000 1
3984.0000 7524.0000 1
6128.0000 11044.0000 1
8272.0000 12826.0000 1
16336.0000 11946.0000 1
16656.0000 9548.0000 1
16976.0000 6776.0000 1
1008.0000 4906.0000 1
1024.0000 5808.0000 1
1040.0000 10208.0000 1
5808.0000 11968.0000 1
5872.0000 9328.0000 1
5936.0000 6666.0000 1
4432.0000 11550.0000 1
4544.0000 8492.0000 1
4656.0000 6248.0000 1
16848.0000 12914.0000 1
17616.0000 11484.0000 1
18384.0000 7744.0000 1
8240.0000 12034.0000 1
8336.0000 9460.0000 1
8432.0000 7040.0000 1
1584.0000 10582.0000 1
1632.0000 6556.0000 1
1680.0000 5280.0000 1
2576.0000 4906.0000 1
2624.0000 5808.0000 1
2672.0000 10208.0000 1
16944.0000 5852.0000 1
16976.0000 7700.0000 1
17008.0000 11022.0000 1
880.0000 9834.0000 1
1136.0000 5060.0000 1
1392.0000 4532.0000 1
5520.0000 13200.0000 1
5600.0000 11792.0000 1
5680.0000 7898.0000 1
3888.0000 6248.0000 1
4016.0000 8492.0000 1
4144.0000 11550.0000 1
16592.0000 12650.0000 1
17344.0000 10956.0000 1
18096.0000 7480.0000 1
8016.0000 12034.0000 1
8080.0000 9460.0000 1
8144.0000 7040.0000 1
16784.0000 9680.0000 1
17296.0000 5016.0000 1
17808.0000 4510.0000 1
784.0000 10846.0000 1
944.0000 7084.0000 1
1104.0000 5544.0000 1
7728.0000 12298.0000 1
7824.0000 9988.0000 1
7920.0000 7304.0000 1
5232.0000 13046.0000 1
5376.0000 11484.0000 1
5520.0000 7744.0000 1
3856.0000 9306.0000 1
4720.0000 11924.0000 1
4848.0000 9240.0000 1
4976.0000 6622.0000 1
17616.0000 11154.0000 1
18144.0000 7700.0000 1
18672.0000 5852.0000 1
7376.0000 12034.0000 1
7440.0000 9460.0000 1
7504.0000 7040.0000 1
1808.0000 12452.0000 1
1888.0000 10296.0000 1
1968.0000 7150.0000 1
12528.0000 6446.0000 1
12688.0000 8888.0000 1
12848.0000 11616.0000 1
14608.0000 8888.0000 1
16368.0000 6754.0000 1
16368.0000 9438.0000 1
17088.0000 9988.0000 1
17808.0000 12298.0000 1
1680.0000 10736.0000 1
1744.0000 6864.0000 1
1808.0000 5434.0000 1
5936.0000 12408.0000 1
6048.0000 10208.0000 1
6160.0000 7106.0000 1
17680.0000 12892.0000 1
18096.0000 11176.0000 1
18512.0000 7590.0000 1
10320.0000 5236.0000 1
10960.0000 5852.0000 1
11600.0000 10230.0000 1
18800.0000 5093.0000 1
18930.5000 6182.0000 1
4848.0000 14520.0000 1
5536.0000 14432.0000 1
6224.0000 11946.0000 1
6304.0000 9460.0000 1
6224.0000 14520.0000 1
6384.0000 6732.0000 1
1936.0000 10164.0000 1
2016.0000 5720.0000 1
2096.0000 4862.0000 1
816.0000 9944.0000 1
1024.0000 5280.0000 1
1232.0000 4642.0000 1
18448.0000 4389.0000 1
18754.5000 4774.0000 1
6672.0000 6886.0000 1
6736.0000 9768.0000 1
6800.0000 11154.0000 1
9392.0000 12540.0000 1
6800.0000 13750.0000 1
6800.0000 12694.0000 1
11984.0000 8272.0000 1
12128.0000 12540.0000 1
12272.0000 13442.0000 1
10736.0000 12408.0000 1
11600.0000 10208.0000 1
12464.0000 7106.0000 1
8784.0000 12034.0000 1
8880.0000 9460.0000 1
8976.0000 7040.0000 1
3280.0000 6028.0000 1
5424.0000 8052.0000 1
7568.0000 11330.0000 1
10544.0000 13156.0000 1
10592.0000 11704.0000 1
10640.0000 8162.0000 1
7824.0000 7458.0000 1
7872.0000 10296.0000 1
7920.0000 12452.0000 1
10608.0000 14168.0000 1
11296.0000 13728.0000 1
11984.0000 13288.0000 1
12016.0000 12848.0000 1
11984.0000 14036.0000 1
12048.0000 12166.0000 1
12160.0000 11484.0000 1
12272.0000 7744.0000 1
9360.0000 14520.0000 1
10400.0000 14432.0000 1
11440.0000 11022.0000 1
12288.0000 7612.0000 1
11440.0000 14520.0000 1
13136.0000 6116.0000 1
5776.0000 4202.0000 1
5888.0000 4400.0000 1
6000.0000 4202.0000 1
6000.0000 8052.0000 1
8176.0000 11704.0000 1
10352.0000 11440.0000 1
10448.0000 11176.0000 1
10352.0000 13156.0000 1
10544.0000 7898.0000 1
11568.0000 11660.0000 1
11616.0000 8712.0000 1
11664.0000 6358.0000 1
656.0000 9306.0000 1
16304.0000 11396.0000 1
16976.0000 8448.0000 1
17648.0000 6226.0000 1
6608.0000 12144.0000 1
6624.0000 9680.0000 1
6640.0000 6842.0000 1
6032.0000 4202.0000 1
6048.0000 4400.0000 1
6064.0000 4202.0000 1
11632.0000 6666.0000 1
11920.0000 9328.0000 1
12208.0000 11836.0000 1
253.5000 4422.0000 1
304.0000 4213.0000 1
10864.0000 10890.0000 1
12272.0000 7172.0000 1
13680.0000 5896.0000 1
9520.0000 13838.0000 1
10880.0000 13068.0000 1
12240.0000 12496.0000 1
13024.0000 11924.0000 1
12240.0000 13706.0000 1
13808.0000 8272.0000 1
7536.0000 12034.0000 1
7744.0000 9460.0000 1
7952.0000 7040.0000 1
3120.0000 6248.0000 1
3200.0000 8492.0000 1
3280.0000 11550.0000 1
11376.0000 9306.0000 1
3152.0000 11660.0000 1
3200.0000 8712.0000 1
3248.0000 6358.0000 1
1392.0000 10472.0000 1
1472.0000 6336.0000 1
1552.0000 5170.0000 1
464.0000 9108.0000 1
576.0000 14212.0000 1
688.0000 14410.0000 1
7600.0000 12144.0000 1
7632.0000 9680.0000 1
7664.0000 7150.0000 1
5360.0000 8052.0000 1
5520.0000 12100.0000 1
5680.0000 13354.0000 1
10032.0000 10560.0000 1
10112.0000 6512.0000 1
10192.0000 5566.0000 1
3056.0000 5522.0000 1
4272.0000 7040.0000 1
5488.0000 10824.0000 1
9936.0000 12892.0000 1
10016.0000 11176.0000 1
10096.0000 7898.0000 1
560.0000 4092.0000 1
656.0000 4180.0000 1
752.0000 4092.0000 1
752.0000 8096.0000 1
2976.0000 12012.0000 1
5200.0000 13310.0000 1
4944.0000 11660.0000 1
5168.0000 8712.0000 1
5392.0000 5698.0000 1
5392.0000 8052.0000 1
5824.0000 7392.0000 1
6256.0000 5698.0000 1
6256.0000 8800.0000 1
6624.0000 10208.0000 1
6992.0000 12320.0000 1
6992.0000 14520.0000 1
7200.0000 14432.0000 1
7408.0000 14520.0000 1
9232.0000 11330.0000 1
9280.0000 8052.0000 1
9328.0000 6336.0000 1
4880.0000 7370.0000 1
5888.0000 10736.0000 1
6896.0000 10252.0000 1
6992.0000 9768.0000 1
6896.0000 12672.0000 1
7088.0000 7194.0000 1
3760.0000 12672.0000 1
3904.0000 10736.0000 1
4048.0000 7370.0000 1
8304.0000 12144.0000 1
8352.0000 9680.0000 1
8400.0000 7150.0000 1
9776.0000 11440.0000 1
11280.0000 8272.0000 1
12784.0000 6446.0000 1
7056.0000 9614.0000 1
14320.0000 7194.0000 1
14416.0000 9768.0000 1
14512.0000 12056.0000 1
14704.0000 12276.0000 1
14720.0000 10208.0000 1
14736.0000 7414.0000 1
2928.0000 5918.0000 1
3296.0000 7832.0000 1
3664.0000 11220.0000 1
4128.0000 7832.0000 1
4592.0000 5918.0000 1
13072.0000 9482.0000 1
10480.0000 10560.0000 1
11552.0000 6512.0000 1
12624.0000 5566.0000 1
6896.0000 7040.0000 1
7008.0000 9460.0000 1
7120.0000 12034.0000 1
3408.0000 7150.0000 1
3568.0000 10296.0000 1
3728.0000 12452.0000 1
7248.0000 12188.0000 1
7328.0000 9768.0000 1
7408.0000 7194.0000 1
3568.0000 6886.0000 1
3744.0000 9768.0000 1
3920.0000 12188.0000 1
2896.0000 7040.0000 1
3216.0000 10076.0000 1
3536.0000 12342.0000 1
4144.0000 10076.0000 1
4752.0000 7040.0000 1
12720.0000 12166.0000 1
12736.0000 9988.0000 1
12752.0000 7304.0000 1
2800.0000 12034.0000 1
2816.0000 9460.0000 1
2832.0000 6732.0000 1
8112.0000 12144.0000 1
8160.0000 9680.0000 1
8208.0000 7150.0000 1
1328.0000 10362.0000 1
1392.0000 6116.0000 1
1456.0000 5060.0000 1
12176.0000 7524.0000 1
12336.0000 11044.0000 1
12496.0000 12694.0000 1
9136.0000 12188.0000 1
10336.0000 9768.0000 1
11536.0000 6886.0000 1
11312.0000 11880.0000 1
11392.0000 9152.0000 1
11472.0000 6578.0000 1
9296.0000 11110.0000 1
10096.0000 7612.0000 1
10896.0000 6116.0000 1
5072.0000 5918.0000 1
5792.0000 7832.0000 1
6512.0000 11220.0000 1
9904.0000 11220.0000 1
10336.0000 7832.0000 1
10768.0000 6226.0000 1
5040.0000 6248.0000 1
5984.0000 8492.0000 1
6928.0000 11550.0000 1
11280.0000 13200.0000 1
11312.0000 11792.0000 1
11344.0000 7898.0000 1
5456.0000 6996.0000 1
6448.0000 9988.0000 1
7440.0000 12298.0000 1
12592.0000 6248.0000 1
12608.0000 8492.0000 1
12624.0000 11418.0000 1
12368.0000 11836.0000 1
14704.0000 9328.0000 1
17040.0000 6666.0000 1
11632.0000 12056.0000 1
11664.0000 9768.0000 1
11696.0000 6886.0000 1
14480.0000 11726.0000 1
14496.0000 9108.0000 1
14512.0000 6864.0000 1
17520.0000 6380.0000 1
17584.0000 8756.0000 1
17648.0000 11682.0000 1
592.0000 4356.0000 1
608.0000 4708.0000 1
624.0000 9658.0000 1
11408.0000 7854.0000 1
11904.0000 11704.0000 1
12400.0000 13024.0000 1
13296.0000 11704.0000 1
14192.0000 8162.0000 1
11600.0000 4774.0000 1
11840.0000 5544.0000 1
12080.0000 9944.0000 1
17552.0000 6490.0000 1
17664.0000 8976.0000 1
17776.0000 11792.0000 1
12464.0000 12540.0000 1
12480.0000 10736.0000 1
12496.0000 7370.0000 1
17744.0000 11638.0000 1
17808.0000 8668.0000 1
