n 3796
m 2
tmax 7193
2104.6100 1968.3500 0
1401.1000 1968.3500 1
295.5910 1968.3500 1
1235.5700 1956.5400 1
1347.9000 1962.4400 1
1401.1000 1944.7300 1
1211.9300 1944.7300 1
1211.9300 1932.9200 1
1353.8100 1932.9200 1
1300.6000 1927.0100 1
1176.4500 1921.1100 1
1211.9300 1921.1100 1
1377.4600 1921.1100 1
1330.1600 1909.3000 1
1306.5100 1909.3000 1
1235.5700 1909.3000 1
1152.8100 1909.3000 1
1152.8100 1897.4800 1
1235.5700 1897.4800 1
1306.5100 1897.4800 1
1377.4600 1885.6800 1
1306.5100 1885.6800 1
1129.1600 1885.6800 1
1129.1600 1873.8600 1
1377.4600 1873.8600 1
1667.1400 1749.8600 1
673.9480 1749.8600 1
738.9780 1743.9500 1
1732.1700 1743.9500 1
1850.4000 1720.3300 1
857.2150 1720.3300 1
366.5330 1490.0400 1
774.4500 1519.5600 1
1247.4000 1519.5600 1
1767.6400 1519.5600 1
2069.1400 1478.2300 1
1371.5400 1419.1800 1
1117.3300 1247.9300 1
1235.5700 1247.9300 1
1235.5700 1271.5500 1
1779.4600 1389.6500 1
1791.2800 1413.2700 1
1850.4000 1413.2700 1
1377.4600 1224.3100 1
1235.5700 1224.3100 1
331.0620 1147.5500 1
1755.8100 1153.4500 1
1743.9900 1141.6400 1
1229.6600 1005.8300 1
1217.8400 994.0140 1
1140.9800 799.1480 1
1200.1000 799.1480 1
1223.7500 799.1480 1
1247.4000 799.1480 1
1341.9800 799.1480 1
1377.4600 799.1480 1
1170.5400 793.2430 1
1200.1000 787.3380 1
1223.7500 787.3380 1
1330.1600 787.3380 1
1347.9000 781.4330 1
1182.3700 781.4330 1
1176.4500 775.5280 1
1223.7500 775.5280 1
1330.1600 775.5280 1
1324.2500 769.6230 1
1276.9500 769.6230 1
1194.1900 769.6230 1
1140.9800 763.7180 1
1200.1000 763.7180 1
1294.6900 763.7180 1
1341.9800 763.7180 1
1247.4000 751.9080 1
1223.7500 539.3260 1
1365.6300 598.3770 1
2104.6100 232.2640 1
295.5910 232.2640 1
1208.9700 1959.4900 1
1220.7900 1959.4900 1
1232.6200 1959.4900 1
1244.4400 1959.4900 1
1256.2600 1959.4900 1
1291.7300 1959.4900 1
1303.5600 1959.4900 1
1374.5000 1971.3000 1
1386.3200 1971.3000 1
1398.1500 1971.3000 1
1309.4700 1953.5800 1
1297.6500 1953.5800 1
1179.4100 1941.7700 1
1191.2300 1941.7700 1
1203.0600 1941.7700 1
1344.9400 1941.7700 1
1356.7700 1941.7700 1
1368.5900 1941.7700 1
1380.4100 1941.7700 1
1392.2400 1941.7700 1
1268.0900 1935.8700 1
1256.2600 1935.8700 1
1244.4400 1935.8700 1
1232.6200 1935.8700 1
1220.7900 1935.8700 1
1161.6700 1935.8700 1
1149.8500 1935.8700 1
1138.0300 1935.8700 1
1126.2000 1935.8700 1
1114.3800 1935.8700 1
1132.1100 1929.9600 1
1143.9400 1929.9600 1
1155.7600 1929.9600 1
1167.5900 1929.9600 1
1179.4100 1929.9600 1
1309.4700 1929.9600 1
1321.2900 1929.9600 1
1333.1200 1929.9600 1
1344.9400 1929.9600 1
1362.6800 1924.0600 1
1350.8500 1924.0600 1
1339.0300 1924.0600 1
1327.2000 1924.0600 1
1315.3800 1924.0600 1
1303.5600 1924.0600 1
1220.7900 1924.0600 1
1208.9700 1924.0600 1
1197.1500 1924.0600 1
1185.3200 1924.0600 1
1203.0600 1918.1500 1
1274.0000 1918.1500 1
1285.8200 1918.1500 1
1297.6500 1918.1500 1
1309.4700 1918.1500 1
1380.4100 1918.1500 1
1392.2400 1918.1500 1
1404.0600 1918.1500 1
1415.8800 1918.1500 1
1232.6200 1912.2500 1
1220.7900 1912.2500 1
1208.9700 1912.2500 1
1197.1500 1912.2500 1
1073.0000 1906.3400 1
1084.8200 1906.3400 1
1096.6400 1906.3400 1
1108.4700 1906.3400 1
1120.2900 1906.3400 1
1132.1100 1906.3400 1
1143.9400 1906.3400 1
1262.1800 1906.3400 1
1274.0000 1906.3400 1
1285.8200 1906.3400 1
1297.6500 1906.3400 1
1333.1200 1906.3400 1
1344.9400 1906.3400 1
1356.7700 1906.3400 1
1368.5900 1906.3400 1
1350.8500 1900.4400 1
1339.0300 1900.4400 1
1327.2000 1900.4400 1
1315.3800 1900.4400 1
1285.8200 1894.5300 1
1274.0000 1894.5300 1
1262.1800 1894.5300 1
1250.3500 1894.5300 1
1238.5300 1894.5300 1
1143.9400 1894.5300 1
1132.1100 1894.5300 1
1120.2900 1894.5300 1
1108.4700 1894.5300 1
1096.6400 1894.5300 1
1279.9100 1888.6300 1
1291.7300 1888.6300 1
1303.5600 1888.6300 1
1315.3800 1888.6300 1
1415.8800 1882.7200 1
1404.0600 1882.7200 1
1392.2400 1882.7200 1
1380.4100 1882.7200 1
1297.6500 1882.7200 1
1285.8200 1882.7200 1
1120.2900 1882.7200 1
1108.4700 1882.7200 1
1096.6400 1882.7200 1
1084.8200 1882.7200 1
1327.2000 1876.8200 1
1339.0300 1876.8200 1
1350.8500 1876.8200 1
1362.6800 1876.8200 1
1374.5000 1876.8200 1
1386.3200 1876.8200 1
1368.5900 1870.9100 1
1356.7700 1870.9100 1
1344.9400 1870.9100 1
1333.1200 1870.9100 1
1238.5300 1870.9100 1
1226.7000 1870.9100 1
1214.8800 1870.9100 1
1203.0600 1870.9100 1
1191.2300 1870.9100 1
1179.4100 1870.9100 1
1167.5900 1870.9100 1
1155.7600 1870.9100 1
1143.9400 1870.9100 1
1132.1100 1870.9100 1
1220.7900 1865.0100 1
1232.6200 1865.0100 1
1244.4400 1865.0100 1
1256.2600 1865.0100 1
1268.0900 1865.0100 1
1279.9100 1865.0100 1
1291.7300 1865.0100 1
1303.5600 1865.0100 1
1658.2700 1746.9100 1
665.0810 1746.9100 1
670.9920 1741.0000 1
682.8160 1741.0000 1
