n 1003
m 2
tmax 64761.5
1150.0000 4000.0000 0
1050.0000 2750.0000 1
1150.0000 2250.0000 1
1250.0000 2050.0000 1
1350.0000 2350.0000 1
1050.0000 1550.0000 1
3350.0000 1700.0000 1
3450.0000 1450.0000 1
3550.0000 1600.0000 1
3950.0000 1700.0000 1
4050.0000 2000.0000 1
4050.0000 2150.0000 1
4250.0000 1650.0000 1
4150.0000 1500.0000 1
4450.0000 1450.0000 1
4400.0000 1700.0000 1
4600.0000 1850.0000 1
4900.0000 1550.0000 1
5100.0000 1550.0000 1
5350.0000 1450.0000 1
4950.0000 1700.0000 1
4850.0000 1900.0000 1
4900.0000 2050.0000 1
5000.0000 2150.0000 1
5100.0000 2050.0000 1
5400.0000 2050.0000 1
5750.0000 2000.0000 1
5900.0000 2050.0000 1
5600.0000 2250.0000 1
5400.0000 2300.0000 1
5250.0000 2250.0000 1
5000.0000 2350.0000 1
5000.0000 2550.0000 1
5050.0000 2800.0000 1
5250.0000 2750.0000 1
5450.0000 2750.0000 1
5400.0000 2950.0000 1
5200.0000 3150.0000 1
5050.0000 3100.0000 1
4950.0000 3300.0000 1
5100.0000 3600.0000 1
5200.0000 3650.0000 1
5350.0000 3750.0000 1
5450.0000 3750.0000 1
5600.0000 3750.0000 1
5600.0000 4250.0000 1
5450.0000 4250.0000 1
5350.0000 4150.0000 1
5050.0000 3800.0000 1
4950.0000 3500.0000 1
4700.0000 3500.0000 1
4400.0000 3700.0000 1
4450.0000 3500.0000 1
4100.0000 3500.0000 1
4150.0000 3300.0000 1
4100.0000 3150.0000 1
4300.0000 3300.0000 1
4500.0000 3150.0000 1
4500.0000 2950.0000 1
4700.0000 3000.0000 1
4700.0000 2800.0000 1
4700.0000 2500.0000 1
4600.0000 2350.0000 1
4550.0000 2500.0000 1
4550.0000 2800.0000 1
4300.0000 2800.0000 1
4100.0000 2950.0000 1
3700.0000 2800.0000 1
3550.0000 2800.0000 1
3400.0000 2700.0000 1
3400.0000 3200.0000 1
3700.0000 3100.0000 1
3550.0000 3300.0000 1
3350.0000 4250.0000 1
3350.0000 4650.0000 1
3250.0000 5200.0000 1
4000.0000 5050.0000 1
4100.0000 4750.0000 1
3950.0000 4650.0000 1
3950.0000 4250.0000 1
4200.0000 4150.0000 1
4200.0000 4550.0000 1
4500.0000 4400.0000 1
4700.0000 4350.0000 1
4700.0000 4750.0000 1
4500.0000 4800.0000 1
4500.0000 4950.0000 1
4350.0000 4750.0000 1
4350.0000 4900.0000 1
4247.0000 5150.0000 1
4354.0000 5256.0000 1
4247.0000 5256.0000 1
4100.0000 5250.0000 1
4100.0000 5350.0000 1
4000.0000 5550.0000 1
4199.0000 5554.0000 1
4305.0000 5554.0000 1
4304.0000 5447.0000 1
4500.0000 5450.0000 1
4500.0000 6050.0000 1
4650.0000 6000.0000 1
4800.0000 6100.0000 1
5050.0000 6050.0000 1
5150.0000 6150.0000 1
