n 1890
m 2
tmax 79134
1488.0000 14146.0000 0
1520.0000 4180.0000 1
1520.0000 8404.0000 1
1520.0000 9262.0000 1
1520.0000 11792.0000 1
5968.0000 4620.0000 1
5968.0000 6490.0000 1
5968.0000 7040.0000 1
5968.0000 7480.0000 1
5968.0000 8448.0000 1
6064.0000 9108.0000 1
6160.0000 9108.0000 1
6256.0000 9108.0000 1
6336.0000 9108.0000 1
6416.0000 9108.0000 1
6528.0000 9108.0000 1
6608.0000 9108.0000 1
6768.0000 9108.0000 1
6880.0000 9108.0000 1
6976.0000 9108.0000 1
7088.0000 9108.0000 1
7248.0000 9108.0000 1
7280.0000 9636.0000 1
7280.0000 10956.0000 1
7280.0000 12188.0000 1
7280.0000 12628.0000 1
4720.0000 4180.0000 1
4848.0000 4400.0000 1
5008.0000 4400.0000 1
5104.0000 4400.0000 1
17520.0000 5126.0000 1
17520.0000 7392.0000 1
17584.0000 7920.0000 1
17776.0000 9526.0000 1
17776.0000 14234.0000 1
17936.0000 5016.0000 1
17936.0000 5940.0000 1
17936.0000 6710.0000 1
18064.0000 7920.0000 1
18192.0000 8690.0000 1
18192.0000 14234.0000 1
18304.0000 7920.0000 1
18352.0000 4180.0000 1
18352.0000 5852.0000 1
18416.0000 7920.0000 1
18560.0000 7920.0000 1
18608.0000 8580.0000 1
18608.0000 14234.0000 1
18704.0000 7920.0000 1
18768.0000 5962.0000 1
880.0000 4180.0000 1
880.0000 8404.0000 1
880.0000 9152.0000 1
880.0000 11968.0000 1
1008.0000 12188.0000 1
1040.0000 14036.0000 1
1040.0000 14476.0000 1
5040.0000 10472.0000 1
5040.0000 14278.0000 1
5072.0000 9504.0000 1
5168.0000 9504.0000 1
5264.0000 9504.0000 1
5360.0000 9504.0000 1
5456.0000 4290.0000 1
5456.0000 4840.0000 1
5456.0000 6600.0000 1
5456.0000 7040.0000 1
5456.0000 7480.0000 1
5456.0000 8646.0000 1
10544.0000 14476.0000 1
10720.0000 14256.0000 1
10848.0000 14256.0000 1
10928.0000 4400.0000 1
10928.0000 6050.0000 1
10928.0000 7964.0000 1
10928.0000 9328.0000 1
10928.0000 10384.0000 1
10928.0000 11110.0000 1
10928.0000 12188.0000 1
10976.0000 14036.0000 1
11056.0000 14036.0000 1
11168.0000 14036.0000 1
11344.0000 14036.0000 1
11632.0000 14036.0000 1
11840.0000 14036.0000 1
11984.0000 14036.0000 1
12160.0000 14036.0000 1
12368.0000 14036.0000 1
12576.0000 14036.0000 1
12816.0000 14036.0000 1
13120.0000 14036.0000 1
13456.0000 14036.0000 1
13648.0000 14036.0000 1
13760.0000 14036.0000 1
13888.0000 14036.0000 1
16496.0000 8888.0000 1
16496.0000 9636.0000 1
16496.0000 10406.0000 1
16496.0000 12848.0000 1
16496.0000 14036.0000 1
16560.0000 7502.0000 1
7632.0000 9416.0000 1
7632.0000 9944.0000 1
7632.0000 10956.0000 1
7632.0000 12188.0000 1
7632.0000 12628.0000 1
7632.0000 14476.0000 1
7728.0000 4840.0000 1
7728.0000 5940.0000 1
7728.0000 6490.0000 1
7728.0000 7260.0000 1
7728.0000 8448.0000 1
16208.0000 7612.0000 1
16208.0000 8360.0000 1
16208.0000 8888.0000 1
16208.0000 9328.0000 1
16208.0000 10626.0000 1
16208.0000 12848.0000 1
16208.0000 14036.0000 1
16272.0000 4180.0000 1
464.0000 4400.0000 1
464.0000 8404.0000 1
464.0000 8932.0000 1
528.0000 9152.0000 1
592.0000 9372.0000 1
592.0000 14036.0000 1
592.0000 14476.0000 1
5392.0000 10626.0000 1
5520.0000 4290.0000 1
5520.0000 4840.0000 1
5520.0000 6600.0000 1
5520.0000 7040.0000 1
5520.0000 7480.0000 1
5520.0000 8228.0000 1
5680.0000 4620.0000 1
5856.0000 4620.0000 1
6160.0000 4620.0000 1
6272.0000 4620.0000 1
6368.0000 4620.0000 1
6528.0000 4620.0000 1
6608.0000 4620.0000 1
6768.0000 4620.0000 1
6880.0000 4620.0000 1
6976.0000 4620.0000 1
7088.0000 4620.0000 1
7248.0000 4620.0000 1
7344.0000 4620.0000 1
7568.0000 4620.0000 1
7664.0000 4290.0000 1
7936.0000 4620.0000 1
8032.0000 4620.0000 1
8144.0000 4620.0000 1
8224.0000 4620.0000 1
8304.0000 4620.0000 1
8400.0000 4620.0000 1
8496.0000 4620.0000 1
8624.0000 4620.0000 1
8784.0000 4620.0000 1
8944.0000 4620.0000 1
9072.0000 4620.0000 1
9296.0000 4620.0000 1
9600.0000 4620.0000 1
9712.0000 4620.0000 1
9792.0000 4620.0000 1
9920.0000 4620.0000 1
10080.0000 4620.0000 1
10192.0000 4620.0000 1
10320.0000 4620.0000 1
10496.0000 4620.0000 1
10608.0000 4620.0000 1
4176.0000 4180.0000 1
4176.0000 4620.0000 1
4176.0000 5148.0000 1
4176.0000 8536.0000 1
6608.0000 6490.0000 1
6608.0000 7040.0000 1
6608.0000 7480.0000 1
6704.0000 10956.0000 1
7248.0000 6490.0000 1
7248.0000 7040.0000 1
7248.0000 7480.0000 1
7344.0000 5940.0000 1
7568.0000 5940.0000 1
7936.0000 5940.0000 1
8032.0000 5940.0000 1
8144.0000 5940.0000 1
8240.0000 5940.0000 1
8304.0000 5940.0000 1
8400.0000 5940.0000 1
8496.0000 5940.0000 1
8624.0000 5940.0000 1
8784.0000 5940.0000 1
8880.0000 5940.0000 1
8976.0000 5940.0000 1
9072.0000 5940.0000 1
9184.0000 5940.0000 1
9376.0000 5940.0000 1
9600.0000 5940.0000 1
9712.0000 5940.0000 1
9792.0000 5940.0000 1
9920.0000 5940.0000 1
10080.0000 5940.0000 1
10192.0000 5940.0000 1
10320.0000 5940.0000 1
10496.0000 5940.0000 1
10608.0000 5940.0000 1
10672.0000 5940.0000 1
10752.0000 5940.0000 1
11008.0000 5940.0000 1
11088.0000 5940.0000 1
11184.0000 5940.0000 1
11328.0000 5940.0000 1
11472.0000 5940.0000 1
11504.0000 4400.0000 1
11504.0000 8294.0000 1
11504.0000 10956.0000 1
11504.0000 12078.0000 1
11776.0000 12408.0000 1
11984.0000 12408.0000 1
12192.0000 12408.0000 1
12368.0000 12408.0000 1
12496.0000 12408.0000 1
12672.0000 12408.0000 1
12816.0000 12408.0000 1
12976.0000 12408.0000 1
13120.0000 12408.0000 1
13440.0000 12408.0000 1
13648.0000 12408.0000 1
13760.0000 12408.0000 1
13888.0000 12408.0000 1
14048.0000 12408.0000 1
14192.0000 12408.0000 1
14320.0000 12408.0000 1
14464.0000 12408.0000 1
14544.0000 13068.0000 1
14544.0000 14146.0000 1
14672.0000 12848.0000 1
14784.0000 12848.0000 1
14992.0000 12848.0000 1
15120.0000 12848.0000 1
15344.0000 12848.0000 1
15568.0000 12848.0000 1
15696.0000 12848.0000 1
15856.0000 12848.0000 1
16016.0000 12848.0000 1
16112.0000 12848.0000 1
16272.0000 12848.0000 1
16560.0000 12848.0000 1
16720.0000 12848.0000 1
16960.0000 12848.0000 1
17072.0000 7502.0000 1
17072.0000 8470.0000 1
17072.0000 9416.0000 1
17136.0000 5104.0000 1
17200.0000 4180.0000 1
1840.0000 4400.0000 1
1840.0000 8888.0000 1
1904.0000 11132.0000 1
1936.0000 11660.0000 1
1936.0000 14146.0000 1
2032.0000 13596.0000 1
2240.0000 13596.0000 1
2352.0000 13596.0000 1
2496.0000 13596.0000 1
2640.0000 13596.0000 1
2800.0000 13596.0000 1
2912.0000 13596.0000 1
3072.0000 13596.0000 1
3200.0000 13596.0000 1
3344.0000 13596.0000 1
10832.0000 8184.0000 1
10832.0000 11110.0000 1
10832.0000 12298.0000 1
11616.0000 5720.0000 1
11760.0000 5720.0000 1
11888.0000 5720.0000 1
12064.0000 5720.0000 1
12176.0000 5720.0000 1
12240.0000 5720.0000 1
12272.0000 4180.0000 1
12272.0000 4620.0000 1
1648.0000 8404.0000 1
1728.0000 8624.0000 1
1904.0000 9152.0000 1
6256.0000 6490.0000 1
