n 1292
m 3
tmax 8467
0.0000 0.0000 0
837.0000 958.3000 1
862.4000 958.3000 1
887.8000 958.3000 1
913.2000 958.3000 1
938.6000 958.3000 1
964.0000 958.3000 1
989.4000 958.3000 1
1014.8000 958.3000 1
1040.2000 958.3000 1
1065.6000 958.3000 1
1091.0000 958.3000 1
1116.4000 958.3000 1
1141.8000 958.3000 1
1167.2000 958.3000 1
1167.2000 1110.7000 1
1141.8000 1110.7000 1
1116.4000 1110.7000 1
1091.0000 1110.7000 1
1065.6000 1110.7000 1
1040.2000 1110.7000 1
1014.8000 1110.7000 1
989.4000 1110.7000 1
964.0000 1110.7000 1
938.6000 1110.7000 1
913.2000 1110.7000 1
887.8000 1110.7000 1
862.4000 1110.7000 1
837.0000 1110.7000 1
837.0000 1186.9000 1
862.4000 1186.9000 1
887.8000 1186.9000 1
913.2000 1186.9000 1
938.6000 1186.9000 1
964.0000 1186.9000 1
989.4000 1186.9000 1
1014.8000 1186.9000 1
1040.2000 1186.9000 1
1065.6000 1186.9000 1
1091.0000 1186.9000 1
1116.4000 1186.9000 1
1141.8000 1186.9000 1
1167.2000 1186.9000 1
1167.2000 1339.3000 1
1141.8000 1339.3000 1
1116.4000 1339.3000 1
1091.0000 1339.3000 1
1065.6000 1339.3000 1
1040.2000 1339.3000 1
1014.8000 1339.3000 1
989.4000 1339.3000 1
964.0000 1339.3000 1
938.6000 1339.3000 1
913.2000 1339.3000 1
887.8000 1339.3000 1
862.4000 1339.3000 1
837.0000 1339.3000 1
837.0000 1415.5000 1
862.4000 1415.5000 1
887.8000 1415.5000 1
913.2000 1415.5000 1
938.6000 1415.5000 1
964.0000 1415.5000 1
989.4000 1415.5000 1
1014.8000 1415.5000 1
1040.2000 1415.5000 1
1065.6000 1415.5000 1
1091.0000 1415.5000 1
1116.4000 1415.5000 1
1141.8000 1415.5000 1
1167.2000 1415.5000 1
1167.2000 1567.9000 1
1141.8000 1567.9000 1
1116.4000 1567.9000 1
1091.0000 1567.9000 1
1065.6000 1567.9000 1
1040.2000 1567.9000 1
1014.8000 1567.9000 1
989.4000 1567.9000 1
964.0000 1567.9000 1
938.6000 1567.9000 1
913.2000 1567.9000 1
887.8000 1567.9000 1
862.4000 1567.9000 1
837.0000 1567.9000 1
837.0000 1644.1000 1
862.4000 1644.1000 1
887.8000 1644.1000 1
913.2000 1644.1000 1
938.6000 1644.1000 1
964.0000 1644.1000 1
989.4000 1644.1000 1
1014.8000 1644.1000 1
1040.2000 1644.1000 1
1065.6000 1644.1000 1
1091.0000 1644.1000 1
1116.4000 1644.1000 1
1141.8000 1644.1000 1
1167.2000 1644.1000 1
1167.2000 1796.5000 1
1141.8000 1796.5000 1
1116.4000 1796.5000 1
1091.0000 1796.5000 1
1065.6000 1796.5000 1
1040.2000 1796.5000 1
1014.8000 1796.5000 1
989.4000 1796.5000 1
964.0000 1796.5000 1
938.6000 1796.5000 1
913.2000 1796.5000 1
887.8000 1796.5000 1
862.4000 1796.5000 1
837.0000 1796.5000 1
837.0000 1898.1000 1
862.4000 1898.1000 1
887.8000 1898.1000 1
913.2000 1898.1000 1
938.6000 1898.1000 1
964.0000 1898.1000 1
989.4000 1898.1000 1
1014.8000 1898.1000 1
1040.2000 1898.1000 1
1065.6000 1898.1000 1
1091.0000 1898.1000 1
1116.4000 1898.1000 1
1141.8000 1898.1000 1
1167.2000 1898.1000 1
1167.2000 2050.5000 1
1141.8000 2050.5000 1
1116.4000 2050.5000 1
1091.0000 2050.5000 1
1065.6000 2050.5000 1
1040.2000 2050.5000 1
1014.8000 2050.5000 1
989.4000 2050.5000 1
964.0000 2050.5000 1
938.6000 2050.5000 1
913.2000 2050.5000 1
887.8000 2050.5000 1
862.4000 2050.5000 1
837.0000 2050.5000 1
837.0000 2126.7000 1
862.4000 2126.7000 1
887.8000 2126.7000 1
913.2000 2126.7000 1
938.6000 2126.7000 1
964.0000 2126.7000 1
989.4000 2126.7000 1
1014.8000 2126.7000 1
1040.2000 2126.7000 1
1065.6000 2126.7000 1
1091.0000 2126.7000 1
1116.4000 2126.7000 1
1141.8000 2126.7000 1
1167.2000 2126.7000 1
1167.2000 2279.1000 1
1141.8000 2279.1000 1
1116.4000 2279.1000 1
1091.0000 2279.1000 1
1065.6000 2279.1000 1
1040.2000 2279.1000 1
1014.8000 2279.1000 1
989.4000 2279.1000 1
964.0000 2279.1000 1
938.6000 2279.1000 1
913.2000 2279.1000 1
887.8000 2279.1000 1
862.4000 2279.1000 1
837.0000 2279.1000 1
837.0000 2355.3000 1
862.4000 2355.3000 1
887.8000 2355.3000 1
913.2000 2355.3000 1
938.6000 2355.3000 1
964.0000 2355.3000 1
989.4000 2355.3000 1
1014.8000 2355.3000 1
1040.2000 2355.3000 1
1065.6000 2355.3000 1
1091.0000 2355.3000 1
1116.4000 2355.3000 1
1141.8000 2355.3000 1
1167.2000 2355.3000 1
1167.2000 2507.7000 1
1141.8000 2507.7000 1
1116.4000 2507.7000 1
1091.0000 2507.7000 1
1065.6000 2507.7000 1
1040.2000 2507.7000 1
1014.8000 2507.7000 1
989.4000 2507.7000 1
964.0000 2507.7000 1
938.6000 2507.7000 1
913.2000 2507.7000 1
887.8000 2507.7000 1
862.4000 2507.7000 1
837.0000 2507.7000 1
837.0000 2583.9000 1
862.4000 2583.9000 1
887.8000 2583.9000 1
913.2000 2583.9000 1
938.6000 2583.9000 1
964.0000 2583.9000 1
989.4000 2583.9000 1
1014.8000 2583.9000 1
1040.2000 2583.9000 1
1065.6000 2583.9000 1
1091.0000 2583.9000 1
1116.4000 2583.9000 1
1141.8000 2583.9000 1
1167.2000 2583.9000 1
1243.4000 2583.9000 1
1167.2000 2736.3000 1
1141.8000 2736.3000 1
1116.4000 2736.3000 1
1091.0000 2736.3000 1
1065.6000 2736.3000 1
1040.2000 2736.3000 1
1014.8000 2736.3000 1
989.4000 2736.3000 1
964.0000 2736.3000 1
938.6000 2736.3000 1
913.2000 2736.3000 1
887.8000 2736.3000 1
862.4000 2736.3000 1
837.0000 2736.3000 1
964.0000 2888.7000 1
1040.2000 2888.7000 1
1141.8000 2888.7000 1
1218.0000 2888.7000 1
1218.0000 2914.1000 1
1141.8000 2914.1000 1
1040.2000 2914.1000 1
964.0000 2914.1000 1
913.2000 2914.1000 1
964.0000 2939.5000 1
1040.2000 2939.5000 1
1141.8000 2939.5000 1
1218.0000 2939.5000 1
1218.0000 2964.9000 1
1141.8000 2964.9000 1
1040.2000 2964.9000 1
964.0000 2964.9000 1
913.2000 2964.9000 1
964.0000 2990.3000 1
1040.2000 2990.3000 1
1141.8000 2990.3000 1
1218.0000 2990.3000 1
1218.0000 3015.7000 1
1141.8000 3015.7000 1
1040.2000 3015.7000 1
964.0000 3015.7000 1
964.0000 3041.1000 1
1040.2000 3041.1000 1
1141.8000 3041.1000 1
1218.0000 3041.1000 1
1218.0000 3066.5000 1
1141.8000 3066.5000 1
1040.2000 3066.5000 1
964.0000 3066.5000 1
1298.7000 874.5000 1
1323.7000 874.5000 1
1348.7000 874.5000 1
1373.7000 874.5000 1
1398.7000 874.5000 1
1423.7000 874.5000 1
1448.7000 874.5000 1
1473.7000 874.5000 1
1498.7000 874.5000 1
1523.7000 874.5000 1
1548.7000 874.5000 1
1573.7000 874.5000 1
1598.7000 874.5000 1
1623.7000 874.5000 1
1648.7000 874.5000 1
1673.7000 874.5000 1
1698.7000 874.5000 1
1723.7000 874.5000 1
1748.7000 874.5000 1
1773.7000 874.5000 1
1798.7000 874.5000 1
1823.7000 874.5000 1
1848.7000 874.5000 1
1873.7000 874.5000 1
1898.7000 874.5000 1
1923.7000 874.5000 1
1948.7000 874.5000 1
1973.7000 874.5000 1
1998.7000 874.5000 1
2023.7000 874.5000 1
2048.7000 874.5000 1
2073.7000 874.5000 1
2098.7000 874.5000 1
2123.7000 874.5000 1
2148.7000 874.5000 1
2173.7000 874.5000 1
2198.7000 874.5000 1
2248.7000 874.5000 1
1298.7000 899.5000 1
1348.7000 899.5000 1
1398.7000 899.5000 1
1448.7000 899.5000 1
1498.7000 899.5000 1
1548.7000 899.5000 1
1598.7000 899.5000 1
1648.7000 899.5000 1
1698.7000 899.5000 1
1748.7000 899.5000 1
1798.7000 899.5000 1
1848.7000 899.5000 1
1898.7000 899.5000 1
1948.7000 899.5000 1
1998.7000 899.5000 1
2048.7000 899.5000 1
2098.7000 899.5000 1
2148.7000 899.5000 1
2198.7000 899.5000 1
2248.7000 899.5000 1
2298.7000 899.5000 1
2348.7000 899.5000 1
2398.7000 899.5000 1
2448.7000 899.5000 1
2498.7000 899.5000 1
2548.7000 899.5000 1
2598.7000 899.5000 1
2648.7000 899.5000 1
2698.7000 899.5000 1
2748.7000 899.5000 1
2798.7000 899.5000 1
2848.7000 899.5000 1
2898.7000 899.5000 1
2948.7000 899.5000 1
2998.7000 899.5000 1
3048.7000 899.5000 1
3098.7000 899.5000 1
3148.7000 899.5000 1
3198.7000 899.5000 1
3248.7000 899.5000 1
3298.7000 899.5000 1
3348.7000 899.5000 1
3398.7000 899.5000 1
3448.7000 899.5000 1
3423.7000 924.5000 1
3373.7000 924.5000 1
3323.7000 924.5000 1
3273.7000 924.5000 1
3223.7000 924.5000 1
3173.7000 924.5000 1
3123.7000 924.5000 1
3073.7000 924.5000 1
3023.7000 924.5000 1
2973.7000 924.5000 1
2923.7000 924.5000 1
2873.7000 924.5000 1
2823.7000 924.5000 1
2773.7000 924.5000 1
2723.7000 924.5000 1
