n 1061
m 3
tmax 37349
4003.2000 2997.9000 0
3602.8800 2498.2500 1
3953.1600 2848.0000 1
4153.3100 2947.9300 1
4353.4800 2748.0700 1
4653.7200 2448.2800 1
4703.7500 2598.1800 1
5304.2400 2698.1100 1
5154.1100 3047.8600 1
4453.5500 3547.5100 1
4553.6400 3747.3700 1
4853.8800 3947.2300 1
5204.1600 4097.1300 1
5304.2400 3997.2000 1
5454.3500 3647.4400 1
5454.3500 3847.3000 1
5404.3100 4097.1300 1
5454.3500 4047.1600 1
5454.3500 4147.0900 1
5354.2700 4147.0900 1
5304.2400 4496.8500 1
5304.2400 4596.7700 1
5354.2700 4746.6700 1
5154.1100 4946.5300 1
5054.0300 4846.6000 1
5054.0300 4646.7400 1
4853.8800 4446.8800 1
4853.8800 4346.9500 1
4853.8800 4247.0200 1
4703.7500 3997.2000 1
4553.6400 4047.1600 1
4653.7200 4346.9500 1
4853.8800 4846.6000 1
4753.7900 4946.5300 1
4903.9200 5096.4200 1
4853.8800 5046.4600 1
4553.6400 5446.1800 1
4853.8800 5646.0400 1
4953.9600 5845.9000 1
5054.0300 5546.1100 1
5054.0300 5346.2500 1
5154.1100 5546.1100 1
5304.2400 5795.9400 1
5404.3100 5696.0100 1
5454.3500 5646.0400 1
5554.4400 5546.1100 1
5554.4400 5146.3900 1
5604.4800 5296.2900 1
5754.5900 5646.0400 1
5604.4800 5795.9400 1
5454.3500 5945.8300 1
5354.2700 6045.7600 1
5254.2000 6145.6900 1
4953.9600 6145.6900 1
4603.6800 6295.5900 1
4553.6400 6045.7600 1
4503.5900 5895.8700 1
4453.5500 6145.6900 1
4453.5500 6245.6200 1
4403.5100 6695.3100 1
4253.4000 6545.4100 1
4303.4400 6795.2400 1
4303.4400 6895.1600 1
4103.2700 6995.0900 1
4253.4000 7144.9900 1
4403.5100 7194.9600 1
5054.0300 7144.9900 1
5354.2700 7045.0600 1
5104.0700 6895.1600 1
5004.0000 6795.2400 1
5204.1600 6495.4400 1
5354.2700 6645.3400 1
5504.4000 6395.5100 1
5704.5500 6595.3800 1
5804.6400 6395.5100 1
5854.6800 6345.5500 1
6154.9200 6045.7600 1
6605.2700 5696.0100 1
6655.3100 5646.0400 1
6655.3100 5745.9700 1
6505.2000 5995.7900 1
6355.0700 5646.0400 1
5904.7200 5296.2900 1
5604.4800 4796.6400 1
5754.5900 4946.5300 1
5904.7200 4896.5700 1
5954.7600 4846.6000 1
6004.7900 4996.5000 1
6355.0700 5146.3900 1
6505.2000 4996.5000 1
