n 1380
m 8
tmax 3539.875
2918.0000 6528.0000 0
2925.0000 6597.0000 1
2926.0000 6609.0000 1
2927.0000 6312.0000 1
2930.0000 6328.0000 1
2934.0000 6545.0000 1
2938.0000 7412.0000 1
2941.0000 6456.0000 1
2945.0000 6284.0000 1
2947.0000 6663.0000 1
2948.0000 6513.0000 1
2948.0000 7456.0000 1
2950.0000 6350.0000 1
2950.0000 6480.0000 1
2951.0000 7293.0000 1
2959.0000 6385.0000 1
2963.0000 6476.0000 1
2965.0000 6450.0000 1
2965.0000 6602.0000 1
2968.0000 7322.0000 1
2969.0000 6212.0000 1
2972.0000 6406.0000 1
2973.0000 6671.0000 1
2977.0000 6493.0000 1
2981.0000 6576.0000 1
2982.0000 6333.0000 1
2983.0000 7487.0000 1
2987.0000 6551.0000 1
2995.0000 7425.0000 1
3001.0000 6577.0000 1
3002.0000 6598.0000 1
3004.0000 6394.0000 1
3005.0000 6345.0000 1
3007.0000 7303.0000 1
3009.0000 6209.0000 1
3009.0000 6657.0000 1
3010.0000 6230.0000 1
3010.0000 6643.0000 1
3014.0000 6478.0000 1
3018.0000 6382.0000 1
3019.0000 7435.0000 1
3020.0000 6429.0000 1
3021.0000 6137.0000 1
3024.0000 6768.0000 1
3025.0000 6547.0000 1
3026.0000 6604.0000 1
3026.0000 7407.0000 1
3026.0000 7421.0000 1
3029.0000 5998.0000 1
3029.0000 6048.0000 1
3033.0000 6180.0000 1
3033.0000 6639.0000 1
3035.0000 6801.0000 1
3036.0000 6232.0000 1
3036.0000 6669.0000 1
3038.0000 7183.0000 1
3038.0000 7291.0000 1
3042.0000 7212.0000 1
3045.0000 6035.0000 1
3045.0000 6846.0000 1
3046.0000 6527.0000 1
3046.0000 7502.0000 1
3048.0000 6270.0000 1
3048.0000 6488.0000 1
3048.0000 6886.0000 1
3049.0000 6691.0000 1
3051.0000 6572.0000 1
3052.0000 6596.0000 1
3052.0000 6753.0000 1
3053.0000 6639.0000 1
3055.0000 7323.0000 1
3056.0000 7378.0000 1
3057.0000 6012.0000 1
3057.0000 6351.0000 1
3058.0000 6070.0000 1
3062.0000 7227.0000 1
3063.0000 6054.0000 1
3064.0000 6217.0000 1
3065.0000 6534.0000 1
3068.0000 6450.0000 1
3068.0000 6788.0000 1
3068.0000 7146.0000 1
3072.0000 6121.0000 1
3076.0000 6326.0000 1
3078.0000 6724.0000 1
3079.0000 6259.0000 1
3080.0000 6857.0000 1
3082.0000 6348.0000 1
3083.0000 6505.0000 1
3086.0000 7082.0000 1
3087.0000 6768.0000 1
3087.0000 7046.0000 1
3088.0000 6091.0000 1
3088.0000 7339.0000 1
3090.0000 6962.0000 1
3093.0000 6059.0000 1
3093.0000 6374.0000 1
3093.0000 6414.0000 1
3093.0000 7177.0000 1
3095.0000 6567.0000 1
3096.0000 6686.0000 1
3097.0000 6766.0000 1
3097.0000 6984.0000 1
3099.0000 6275.0000 1
3099.0000 6833.0000 1
3101.0000 7028.0000 1
3102.0000 6459.0000 1
3103.0000 7463.0000 1
3104.0000 6870.0000 1
3107.0000 6900.0000 1
3110.0000 6091.0000 1
3113.0000 6336.0000 1
3115.0000 7272.0000 1
3116.0000 6445.0000 1
3116.0000 6489.0000 1
3117.0000 7239.0000 1
3118.0000 7194.0000 1
3122.0000 6617.0000 1
3124.0000 6563.0000 1
3124.0000 7075.0000 1
3125.0000 7161.0000 1
3128.0000 6113.0000 1
3130.0000 7349.0000 1
3135.0000 6650.0000 1
3139.0000 6528.0000 1
3140.0000 6372.0000 1
3140.0000 6807.0000 1
3141.0000 6324.0000 1
3143.0000 6440.0000 1
3143.0000 7104.0000 1
3144.0000 6595.0000 1
3145.0000 5877.0000 1
3145.0000 6750.0000 1
3145.0000 7447.0000 1
3146.0000 6063.0000 1
3147.0000 6176.0000 1
3147.0000 6981.0000 1
3148.0000 6097.0000 1
3148.0000 6902.0000 1
3148.0000 7403.0000 1
3152.0000 6204.0000 1
3155.0000 6692.0000 1
3157.0000 5987.0000 1
3159.0000 5921.0000 1
3159.0000 6482.0000 1
3161.0000 6627.0000 1
3163.0000 6220.0000 1
3165.0000 6020.0000 1
3167.0000 6844.0000 1
3170.0000 6146.0000 1
3170.0000 7025.0000 1
3171.0000 6372.0000 1
3175.0000 6440.0000 1
3175.0000 7163.0000 1
3176.0000 7033.0000 1
3177.0000 6887.0000 1
3179.0000 6246.0000 1
3179.0000 7078.0000 1
3182.0000 6331.0000 1
3182.0000 6578.0000 1
3182.0000 6810.0000 1
3183.0000 5959.0000 1
3183.0000 7202.0000 1
3186.0000 6354.0000 1
3186.0000 6469.0000 1
3188.0000 6184.0000 1
3188.0000 6672.0000 1
3188.0000 7242.0000 1
3188.0000 7304.0000 1
3189.0000 6617.0000 1
3194.0000 5840.0000 1
3194.0000 6531.0000 1
3195.0000 6031.0000 1
3196.0000 7354.0000 1
3201.0000 6507.0000 1
3203.0000 6221.0000 1
3203.0000 6930.0000 1
3203.0000 7370.0000 1
3205.0000 6412.0000 1
3205.0000 7014.0000 1
3206.0000 7425.0000 1
3208.0000 6743.0000 1
3208.0000 6860.0000 1
3211.0000 5999.0000 1
3212.0000 6360.0000 1
3214.0000 6564.0000 1
3214.0000 7119.0000 1
3215.0000 6709.0000 1
3216.0000 6115.0000 1
3217.0000 7074.0000 1
3218.0000 6482.0000 1
3218.0000 6673.0000 1
3219.0000 6636.0000 1
3220.0000 6396.0000 1
3220.0000 6868.0000 1
3222.0000 6992.0000 1
3224.0000 6262.0000 1
3225.0000 6180.0000 1
3225.0000 7283.0000 1
3227.0000 6951.0000 1
3228.0000 6241.0000 1
3228.0000 7468.0000 1
3230.0000 6050.0000 1
3230.0000 6303.0000 1
3231.0000 6833.0000 1
3234.0000 6449.0000 1
3240.0000 7257.0000 1
3241.0000 5956.0000 1
3241.0000 6806.0000 1
3244.0000 6696.0000 1
3245.0000 6479.0000 1
3245.0000 7040.0000 1
3247.0000 6222.0000 1
3247.0000 6594.0000 1
3247.0000 7384.0000 1
3251.0000 6670.0000 1
3252.0000 6879.0000 1
3253.0000 7013.0000 1
3253.0000 7334.0000 1
3253.0000 7451.0000 1
3254.0000 6637.0000 1
3255.0000 5840.0000 1
3257.0000 6251.0000 1
3258.0000 6503.0000 1
3259.0000 6332.0000 1
3261.0000 6101.0000 1
3262.0000 6982.0000 1
3264.0000 6735.0000 1
3266.0000 5874.0000 1
3267.0000 6133.0000 1
3268.0000 6938.0000 1
3269.0000 7278.0000 1
3270.0000 6012.0000 1
3270.0000 6558.0000 1
3272.0000 5994.0000 1
3275.0000 7480.0000 1
3276.0000 6459.0000 1
3278.0000 7163.0000 1
3281.0000 6521.0000 1
3282.0000 6792.0000 1
3284.0000 5940.0000 1
3285.0000 7434.0000 1
3288.0000 6170.0000 1
3288.0000 6294.0000 1
3289.0000 6203.0000 1
3289.0000 6817.0000 1
3292.0000 6452.0000 1
3294.0000 6654.0000 1
3295.0000 6737.0000 1
3296.0000 6114.0000 1
3296.0000 6342.0000 1
3296.0000 6512.0000 1
3296.0000 6602.0000 1
3296.0000 7079.0000 1
3301.0000 6897.0000 1
3302.0000 6138.0000 1
3302.0000 6364.0000 1
3302.0000 6572.0000 1
3303.0000 7012.0000 1
3304.0000 6231.0000 1
3305.0000 6263.0000 1
3306.0000 6706.0000 1
3307.0000 7184.0000 1
3310.0000 6391.0000 1
3310.0000 6490.0000 1
3310.0000 6622.0000 1
3313.0000 6600.0000 1
3314.0000 5898.0000 1
3316.0000 6102.0000 1
3319.0000 6878.0000 1
3320.0000 6859.0000 1
3322.0000 5956.0000 1
3322.0000 6189.0000 1
3323.0000 7155.0000 1
3324.0000 7129.0000 1
3325.0000 7223.0000 1
3328.0000 6735.0000 1
3329.0000 5833.0000 1
3329.0000 5896.0000 1
3329.0000 6986.0000 1
3333.0000 7057.0000 1
3334.0000 6638.0000 1
3335.0000 6253.0000 1
3336.0000 6088.0000 1
3336.0000 6124.0000 1
3336.0000 6360.0000 1
3336.0000 6662.0000 1
3337.0000 7128.0000 1
3337.0000 7335.0000 1
3339.0000 6065.0000 1
3339.0000 6756.0000 1
3340.0000 5974.0000 1
3340.0000 6424.0000 1
3340.0000 6908.0000 1
3341.0000 6177.0000 1
3341.0000 6305.0000 1
3341.0000 6820.0000 1
3341.0000 7490.0000 1
3345.0000 6469.0000 1
3351.0000 6889.0000 1
3351.0000 7198.0000 1
3353.0000 7048.0000 1
3353.0000 7376.0000 1
3355.0000 7255.0000 1
3358.0000 7024.0000 1
3359.0000 7454.0000 1
3362.0000 5997.0000 1
3364.0000 6412.0000 1
3364.0000 6913.0000 1
3366.0000 6174.0000 1
3366.0000 6501.0000 1
3368.0000 6993.0000 1
3369.0000 5819.0000 1
3369.0000 6698.0000 1
3369.0000 6835.0000 1
3370.0000 6111.0000 1
3371.0000 6489.0000 1
3375.0000 6450.0000 1
3376.0000 7219.0000 1
3377.0000 6964.0000 1
3378.0000 6093.0000 1
3378.0000 6531.0000 1
3379.0000 5933.0000 1
3379.0000 6809.0000 1
3381.0000 6372.0000 1
3381.0000 6556.0000 1
3381.0000 6740.0000 1
3382.0000 6232.0000 1
3382.0000 6654.0000 1
3382.0000 6707.0000 1
3382.0000 6860.0000 1
3386.0000 6015.0000 1
3388.0000 6951.0000 1
3390.0000 7505.0000 1
3391.0000 7068.0000 1
3392.0000 5909.0000 1
3392.0000 6420.0000 1
3394.0000 6258.0000 1
3394.0000 7102.0000 1
3395.0000 6795.0000 1
3398.0000 6296.0000 1
3398.0000 7178.0000 1
3398.0000 7327.0000 1
3400.0000 6586.0000 1
3404.0000 6166.0000 1
3404.0000 6633.0000 1
3404.0000 6950.0000 1
3405.0000 7046.0000 1
3406.0000 5820.0000 1
3406.0000 6080.0000 1
3406.0000 6194.0000 1
3406.0000 7166.0000 1
3409.0000 7117.0000 1
3410.0000 6776.0000 1
3411.0000 6130.0000 1
3411.0000 6336.0000 1
3412.0000 6509.0000 1
3413.0000 6691.0000 1
3413.0000 7017.0000 1
3415.0000 7453.0000 1
3417.0000 6022.0000 1
3418.0000 6364.0000 1
3418.0000 6405.0000 1
3419.0000 6479.0000 1
3421.0000 6973.0000 1
3422.0000 6535.0000 1
3423.0000 6053.0000 1
3425.0000 6875.0000 1
3427.0000 6294.0000 1
3427.0000 6853.0000 1
3427.0000 7021.0000 1
3428.0000 5978.0000 1
3429.0000 7061.0000 1
3432.0000 6245.0000 1
3433.0000 6448.0000 1
3433.0000 7140.0000 1
3435.0000 6929.0000 1
3437.0000 6139.0000 1
3439.0000 7260.0000 1
3441.0000 7183.0000 1
3443.0000 6472.0000 1
3443.0000 6643.0000 1
3444.0000 6338.0000 1
3446.0000 6193.0000 1
3446.0000 6601.0000 1
3449.0000 7080.0000 1
3450.0000 7104.0000 1
3452.0000 6766.0000 1
3452.0000 7003.0000 1
3452.0000 7060.0000 1
3453.0000 6103.0000 1
3454.0000 6704.0000 1
3454.0000 7220.0000 1
3455.0000 6882.0000 1
3456.0000 6905.0000 1
3456.0000 6923.0000 1
3457.0000 6936.0000 1
3458.0000 6193.0000 1
3458.0000 6514.0000 1
3458.0000 7386.0000 1
3459.0000 6310.0000 1
3460.0000 6417.0000 1
3461.0000 6163.0000 1
3464.0000 6272.0000 1
3464.0000 6375.0000 1
3465.0000 7099.0000 1
3466.0000 6125.0000 1
3466.0000 6952.0000 1
3470.0000 6075.0000 1
3471.0000 6541.0000 1
3471.0000 7523.0000 1
3472.0000 6772.0000 1
3473.0000 6225.0000 1
3475.0000 6479.0000 1
3477.0000 6245.0000 1
3478.0000 6451.0000 1
3482.0000 6101.0000 1
3482.0000 6393.0000 1
3485.0000 6621.0000 1
3485.0000 7114.0000 1
3486.0000 6710.0000 1
3487.0000 5976.0000 1
3489.0000 6356.0000 1
3489.0000 6888.0000 1
3490.0000 6153.0000 1
3490.0000 6750.0000 1
3492.0000 7720.0000 1
3495.0000 5927.0000 1
3496.0000 6650.0000 1
3500.0000 6756.0000 1
3501.0000 6372.0000 1
3502.0000 6488.0000 1
3503.0000 6124.0000 1
3503.0000 6588.0000 1
3503.0000 6845.0000 1
3503.0000 7129.0000 1
3508.0000 7090.0000 1
3508.0000 7667.0000 1
3509.0000 6699.0000 1
3510.0000 6223.0000 1
3510.0000 7023.0000 1
3510.0000 7370.0000 1
3512.0000 7123.0000 1
3512.0000 7275.0000 1
3515.0000 6172.0000 1
3516.0000 6910.0000 1
3516.0000 6977.0000 1
3517.0000 7048.0000 1
3519.0000 7459.0000 1
3520.0000 7107.0000 1
3522.0000 6645.0000 1
3524.0000 6325.0000 1
3524.0000 6618.0000 1
3526.0000 6171.0000 1
3526.0000 6992.0000 1
3526.0000 7347.0000 1
3526.0000 7525.0000 1
3527.0000 6200.0000 1
3527.0000 6532.0000 1
3528.0000 6149.0000 1
3528.0000 6288.0000 1
3530.0000 6557.0000 1
3530.0000 7286.0000 1
3531.0000 6470.0000 1
3532.0000 6513.0000 1
3534.0000 7566.0000 1
3536.0000 6267.0000 1
3537.0000 6460.0000 1
3541.0000 6802.0000 1
3542.0000 6424.0000 1
3542.0000 6882.0000 1
3543.0000 6358.0000 1
3544.0000 6762.0000 1
3545.0000 6584.0000 1
3550.0000 6097.0000 1
3552.0000 6845.0000 1
3552.0000 7154.0000 1
3553.0000 6250.0000 1
3557.0000 6279.0000 1
3557.0000 6325.0000 1
3557.0000 7180.0000 1
3558.0000 7206.0000 1
3559.0000 6703.0000 1
3563.0000 6473.0000 1
3563.0000 7097.0000 1
3564.0000 6757.0000 1
3565.0000 6448.0000 1
3565.0000 6573.0000 1
3565.0000 6631.0000 1
3568.0000 6542.0000 1
3568.0000 6921.0000 1
3569.0000 6363.0000 1
3570.0000 6401.0000 1
3570.0000 7349.0000 1
3570.0000 7502.0000 1
3571.0000 7619.0000 1
3572.0000 7699.0000 1
3574.0000 7773.0000 1
3575.0000 6159.0000 1
3575.0000 6439.0000 1
3576.0000 6344.0000 1
3577.0000 7041.0000 1
3577.0000 7434.0000 1
3578.0000 6076.0000 1
3578.0000 6121.0000 1
3578.0000 6317.0000 1
3581.0000 6249.0000 1
3582.0000 6608.0000 1
3586.0000 6513.0000 1
3587.0000 6566.0000 1
3587.0000 6877.0000 1
3589.0000 6793.0000 1
3592.0000 6663.0000 1
3593.0000 6544.0000 1
