n 1324
m 8
tmax 16887.5
18192.0000 8954.0000 0
18192.0000 9856.0000 1
18192.0000 11319.0000 1
18272.0000 8624.0000 1
18416.0000 7348.0000 1
18416.0000 8294.0000 1
1200.0000 7370.0000 1
1200.0000 8184.0000 1
1200.0000 10912.0000 1
1200.0000 11440.0000 1
17904.0000 572.0000 1
17904.0000 2684.0000 1
17904.0000 6908.0000 1
17904.0000 7348.0000 1
17904.0000 8624.0000 1
8272.0000 308.0000 1
8272.0000 2068.0000 1
8272.0000 2508.0000 1
8272.0000 3080.0000 1
8272.0000 3608.0000 1
8272.0000 5302.0000 1
8336.0000 7260.0000 1
8464.0000 7260.0000 1
8496.0000 9548.0000 1
8496.0000 10582.0000 1
8496.0000 11440.0000 1
15888.0000 9064.0000 1
15888.0000 9504.0000 1
15888.0000 10252.0000 1
15888.0000 11000.0000 1
15936.0000 8184.0000 1
16048.0000 8184.0000 1
16208.0000 8184.0000 1
16336.0000 572.0000 1
16336.0000 1012.0000 1
16336.0000 1452.0000 1
16336.0000 2992.0000 1
16336.0000 4818.0000 1
16336.0000 6028.0000 1
16336.0000 7348.0000 1
1040.0000 7370.0000 1
1040.0000 8184.0000 1
1040.0000 10912.0000 1
1040.0000 11440.0000 1
4464.0000 308.0000 1
4640.0000 308.0000 1
4816.0000 308.0000 1
4944.0000 308.0000 1
5168.0000 308.0000 1
5440.0000 308.0000 1
5616.0000 308.0000 1
5728.0000 308.0000 1
5808.0000 3080.0000 1
5808.0000 3608.0000 1
5808.0000 4664.0000 1
5808.0000 5368.0000 1
5808.0000 6072.0000 1
5808.0000 7128.0000 1
5936.0000 9658.0000 1
5936.0000 11286.0000 1
16848.0000 572.0000 1
16848.0000 1452.0000 1
16848.0000 2992.0000 1
16848.0000 4708.0000 1
16848.0000 6028.0000 1
16848.0000 7348.0000 1
16848.0000 8514.0000 1
16848.0000 9284.0000 1
16848.0000 9922.0000 1
16848.0000 11198.0000 1
8240.0000 7480.0000 1
8400.0000 9548.0000 1
8400.0000 10582.0000 1
8400.0000 11440.0000 1
1520.0000 9152.0000 1
1520.0000 10912.0000 1
1520.0000 11440.0000 1
1584.0000 6446.0000 1
1584.0000 7590.0000 1
1584.0000 8294.0000 1
5168.0000 11440.0000 1
5280.0000 11440.0000 1
5456.0000 11440.0000 1
5584.0000 11440.0000 1
5712.0000 11440.0000 1
2672.0000 6336.0000 1
2784.0000 6556.0000 1
2976.0000 6556.0000 1
3104.0000 6556.0000 1
3264.0000 6556.0000 1
3360.0000 6556.0000 1
3600.0000 6556.0000 1
3856.0000 6556.0000 1
3920.0000 6556.0000 1
4016.0000 6556.0000 1
4144.0000 6556.0000 1
4208.0000 6556.0000 1
4352.0000 6556.0000 1
4464.0000 6556.0000 1
4560.0000 6556.0000 1
4688.0000 6556.0000 1
4720.0000 7260.0000 1
4720.0000 8140.0000 1
4720.0000 9702.0000 1
4720.0000 10582.0000 1
4720.0000 11132.0000 1
17008.0000 572.0000 1
17008.0000 1452.0000 1
17008.0000 2992.0000 1
17008.0000 5874.0000 1
17008.0000 7348.0000 1
17072.0000 8096.0000 1
17136.0000 8096.0000 1
17280.0000 8096.0000 1
17456.0000 8096.0000 1
17520.0000 8404.0000 1
17520.0000 8954.0000 1
17520.0000 10142.0000 1
17520.0000 11319.0000 1
880.0000 7370.0000 1
880.0000 8184.0000 1
880.0000 11440.0000 1
4144.0000 4840.0000 1
4144.0000 7700.0000 1
4304.0000 8360.0000 1
4416.0000 8360.0000 1
4576.0000 8360.0000 1
4656.0000 8360.0000 1
4864.0000 8360.0000 1
5040.0000 8360.0000 1
5296.0000 8360.0000 1
5456.0000 8844.0000 1
5456.0000 9812.0000 1
5520.0000 3608.0000 1
5520.0000 4664.0000 1
5520.0000 5368.0000 1
5520.0000 5918.0000 1
5520.0000 6930.0000 1
