n 1401 
m 10 
tmax 1006.400 
2104.6100 1968.3500 0
2104.6100 232.2640 15
295.5910 1968.3500 56
295.5910 232.2640 97
1025.7000 1971.3000 38
1161.6700 1965.3900 79
1191.2300 1959.4900 20
1167.5900 1959.4900 61
1096.6400 1959.4900 2
1102.5600 1953.5800 43
1090.7300 1953.5800 84
1019.7900 1953.5800 25
1232.6200 1941.7700 66
1043.4400 1941.7700 7
1238.5300 1935.8700 48
1167.5900 1935.8700 89
1132.1100 1935.8700 30
1268.0900 1929.9600 71
1244.4400 1929.9600 12
1067.0800 1929.9600 53
1179.4100 1924.0600 94
1049.3500 1924.0600 35
1037.5300 1924.0600 76
1126.2000 1918.1500 17
1090.7300 1918.1500 58
984.3190 1918.1500 99
1327.2000 1906.3400 40
1031.6100 1906.3400 81
996.1430 1906.3400 22
1049.3500 1900.4400 63
1185.3200 1894.5300 4
1114.3800 1894.5300 45
1315.3800 1882.7200 86
1291.7300 1882.7200 27
1078.9100 1882.7200 68
1013.8800 1876.8200 9
1735.1200 1746.9100 50
741.9340 1746.9100 91
1729.2100 1741.0000 32
736.0220 1741.0000 73
1522.3000 1723.2900 14
529.1080 1723.2900 55
1185.3200 1646.5200 96
1569.5900 1522.5200 37
576.4030 1522.5200 78
1149.8500 1445.7500 19
617.7860 1445.7500 60
1031.6100 1422.1300 1
1108.4700 1416.2200 42
753.7580 1416.2200 83
1031.6100 1410.3200 24
594.1380 1410.3200 65
759.6700 1398.5100 6
605.9620 1398.5100 47
753.7580 1274.5000 88
659.1690 1250.8800 29
1268.0900 1244.9800 70
594.1380 1244.9800 11
611.8740 1227.2600 52
1279.9100 1221.3600 93
659.1690 1156.4000 34
1226.7000 1002.8700 75
1149.8500 996.9670 16
1610.9700 973.3470 57
1037.5300 802.1010 98
1315.3800 796.1960 39
1114.3800 796.1960 80
1090.7300 796.1960 21
1274.0000 790.2900 62
1132.1100 790.2900 3
1108.4700 790.2900 44
1013.8800 790.2900 85
1268.0900 784.3860 26
1114.3800 784.3860 67
1031.6100 784.3860 8
1664.1800 778.4810 49
1238.5300 778.4810 90
1096.6400 778.4810 31
1049.3500 778.4810 72
978.4070 778.4810 13
1232.6200 772.5760 54
1185.3200 772.5760 95
1078.9100 772.5760 36
1055.2600 772.5760 77
1019.7900 772.5760 18
1214.8800 766.6700 59
1191.2300 766.6700 100
1167.5900 766.6700 41
1084.8200 766.6700 82
1073.0000 766.6700 23
1232.6200 760.7650 64
1161.6700 760.7650 5
1262.1800 754.8610 46
1250.3500 754.8610 87
1179.4100 754.8610 28
1025.7000 754.8610 69
1268.0900 748.9550 10
1244.4400 748.9550 51
1173.5000 748.9550 92
1132.1100 743.0500 33
1120.2900 743.0500 74
1019.7900 725.3350 15
996.1430 725.3350 56
1037.5300 719.4300 97
1002.0500 719.4300 38
1173.5000 559.9940 79
1610.9700 548.1840 20
1173.5000 548.1840 61
1220.7900 536.3740 2
1073.0000 1965.3900 43
1049.3500 1965.3900 84
1138.0300 1959.4900 25
1114.3800 1959.4900 66
1055.2600 1959.4900 7
1735.1200 1953.5800 48
1274.0000 1953.5800 89
1250.3500 1953.5800 30
741.9340 1953.5800 71
1061.1700 1941.7700 12
1291.7300 1935.8700 53
1214.8800 1929.9600 94
1120.2900 1929.9600 35
1090.7300 1924.0600 76
1203.0600 1918.1500 17
1208.9700 1912.2500 58
1114.3800 1912.2500 99
1226.7000 1906.3400 40
1143.9400 1906.3400 81
1291.7300 1900.4400 22
1268.0900 1900.4400 63
1309.4700 1894.5300 4
1002.0500 1894.5300 45
978.4070 1882.7200 86
1090.7300 1876.8200 27
1569.5900 1870.9100 68
1522.3000 1870.9100 9
1155.7600 1870.9100 50
576.4030 1870.9100 91
529.1080 1870.9100 32
1185.3200 1865.0100 73
1090.7300 1865.0100 14
1729.2100 1746.9100 55
736.0220 1746.9100 96
2054.3600 1516.6100 37
1167.5900 1516.6100 78
1185.3200 1487.0800 19
310.3710 1487.0800 60
1185.3200 1475.2800 1
611.8740 1422.1300 42
617.7860 1416.2200 83
540.9320 1410.3200 24
605.9620 1392.6000 65
582.3150 1392.6000 6
1149.8500 1274.5000 47
759.6700 1274.5000 88
582.3150 1274.5000 29
1031.6100 1227.2600 70
540.9320 1221.3600 11
1268.0900 1156.4000 52
2054.3600 1150.5000 93
1167.5900 1150.5000 34
1279.9100 1144.5900 75
1185.3200 1050.1100 16
1173.5000 1002.8700 57
1664.1800 996.9670 98
1179.4100 996.9670 39
1327.2000 802.1010 80
1232.6200 802.1010 21
1090.7300 802.1010 62
984.3190 802.1010 3
1179.4100 796.1960 44
1167.5900 796.1960 85
