n 1749 
m 10 
tmax 16827.800 
15440.0000 11286.0000 0
16688.0000 8228.0000 15
17936.0000 6116.0000 56
6320.0000 12144.0000 97
6400.0000 9680.0000 38
6480.0000 6842.0000 79
1232.0000 10098.0000 20
1376.0000 5588.0000 61
1520.0000 4796.0000 2
4272.0000 12452.0000 43
4400.0000 10296.0000 84
4528.0000 7150.0000 25
5088.0000 10296.0000 66
5648.0000 8624.0000 7
5968.0000 6952.0000 48
5648.0000 12452.0000 89
6288.0000 5478.0000 30
6288.0000 7986.0000 71
6320.0000 9020.0000 12
6352.0000 11814.0000 53
6736.0000 9020.0000 94
7120.0000 6820.0000 35
18224.0000 4213.0000 76
18642.5000 4422.0000 17
14128.0000 7084.0000 58
14704.0000 9548.0000 99
15280.0000 11946.0000 40
3504.0000 11814.0000 81
4656.0000 9020.0000 22
5808.0000 6512.0000 63
784.0000 5390.0000 4
880.0000 6776.0000 45
976.0000 7150.0000 86
1040.0000 7524.0000 27
1104.0000 11066.0000 68
9104.0000 12078.0000 9
10464.0000 9548.0000 50
11824.0000 6776.0000 91
10768.0000 11770.0000 32
11264.0000 8932.0000 73
11760.0000 6468.0000 14
10064.0000 13046.0000 55
10576.0000 11484.0000 96
11088.0000 8052.0000 37
9072.0000 11550.0000 78
10592.0000 8492.0000 19
12112.0000 6248.0000 60
8688.0000 12782.0000 1
10368.0000 10956.0000 42
12048.0000 7480.0000 83
8656.0000 12672.0000 24
10528.0000 10736.0000 65
12400.0000 7370.0000 6
8528.0000 12298.0000 47
10432.0000 9988.0000 88
12336.0000 6996.0000 29
8464.0000 12408.0000 70
8512.0000 10208.0000 11
8560.0000 7414.0000 52
7216.0000 11770.0000 93
7488.0000 8932.0000 34
7760.0000 6776.0000 75
12560.0000 12056.0000 16
13360.0000 9768.0000 57
14160.0000 7194.0000 98
13680.0000 10912.0000 39
16016.0000 7480.0000 80
18352.0000 5742.0000 21
17712.0000 11528.0000 62
17936.0000 8448.0000 3
18160.0000 6226.0000 44
12784.0000 12166.0000 85
13840.0000 9988.0000 26
14896.0000 7304.0000 67
13712.0000 9482.0000 8
4208.0000 7634.0000 49
6304.0000 11264.0000 90
8400.0000 12936.0000 31
10480.0000 4862.0000 72
11392.0000 5104.0000 13
12304.0000 9724.0000 54
12592.0000 12166.0000 95
12624.0000 9988.0000 36
12656.0000 7304.0000 77
14864.0000 12276.0000 18
14944.0000 10208.0000 59
15024.0000 7414.0000 100
4432.0000 5808.0000 41
6112.0000 7612.0000 82
7792.0000 11110.0000 23
16496.0000 7678.0000 64
17456.0000 10736.0000 5
18416.0000 12672.0000 46
1200.0000 10318.0000 87
1232.0000 6028.0000 28
1264.0000 5016.0000 69
16400.0000 7568.0000 10
17152.0000 10516.0000 51
17904.0000 12562.0000 92
3984.0000 7524.0000 33
6128.0000 11044.0000 74
8272.0000 12826.0000 15
16336.0000 11946.0000 56
16656.0000 9548.0000 97
16976.0000 6776.0000 38
1008.0000 4906.0000 79
1024.0000 5808.0000 20
1040.0000 10208.0000 61
5808.0000 11968.0000 2
5872.0000 9328.0000 43
5936.0000 6666.0000 84
4432.0000 11550.0000 25
4544.0000 8492.0000 66
4656.0000 6248.0000 7
16848.0000 12914.0000 48
17616.0000 11484.0000 89
18384.0000 7744.0000 30
8240.0000 12034.0000 71
8336.0000 9460.0000 12
8432.0000 7040.0000 53
1584.0000 10582.0000 94
1632.0000 6556.0000 35
1680.0000 5280.0000 76
2576.0000 4906.0000 17
2624.0000 5808.0000 58
2672.0000 10208.0000 99
16944.0000 5852.0000 40
