n 3796 
m 2 
tmax 7193
2104.6100 1968.3500 0
1401.1000 1968.3500 15
295.5910 1968.3500 56
1235.5700 1956.5400 97
1347.9000 1962.4400 38
1401.1000 1944.7300 79
1211.9300 1944.7300 20
1211.9300 1932.9200 61
1353.8100 1932.9200 2
1300.6000 1927.0100 43
1176.4500 1921.1100 84
1211.9300 1921.1100 25
1377.4600 1921.1100 66
1330.1600 1909.3000 7
1306.5100 1909.3000 48
1235.5700 1909.3000 89
1152.8100 1909.3000 30
1152.8100 1897.4800 71
1235.5700 1897.4800 12
1306.5100 1897.4800 53
1377.4600 1885.6800 94
1306.5100 1885.6800 35
1129.1600 1885.6800 76
1129.1600 1873.8600 17
1377.4600 1873.8600 58
1667.1400 1749.8600 99
673.9480 1749.8600 40
738.9780 1743.9500 81
1732.1700 1743.9500 22
1850.4000 1720.3300 63
857.2150 1720.3300 4
366.5330 1490.0400 45
774.4500 1519.5600 86
1247.4000 1519.5600 27
1767.6400 1519.5600 68
2069.1400 1478.2300 9
1371.5400 1419.1800 50
1117.3300 1247.9300 91
1235.5700 1247.9300 32
1235.5700 1271.5500 73
1779.4600 1389.6500 14
1791.2800 1413.2700 55
1850.4000 1413.2700 96
1377.4600 1224.3100 37
1235.5700 1224.3100 78
331.0620 1147.5500 19
1755.8100 1153.4500 60
1743.9900 1141.6400 1
1229.6600 1005.8300 42
1217.8400 994.0140 83
1140.9800 799.1480 24
1200.1000 799.1480 65
1223.7500 799.1480 6
1247.4000 799.1480 47
1341.9800 799.1480 88
1377.4600 799.1480 29
1170.5400 793.2430 70
1200.1000 787.3380 11
1223.7500 787.3380 52
1330.1600 787.3380 93
1347.9000 781.4330 34
1182.3700 781.4330 75
1176.4500 775.5280 16
1223.7500 775.5280 57
1330.1600 775.5280 98
1324.2500 769.6230 39
1276.9500 769.6230 80
1194.1900 769.6230 21
1140.9800 763.7180 62
1200.1000 763.7180 3
1294.6900 763.7180 44
1341.9800 763.7180 85
1247.4000 751.9080 26
1223.7500 539.3260 67
1365.6300 598.3770 8
2104.6100 232.2640 49
295.5910 232.2640 90
1208.9700 1959.4900 31
1220.7900 1959.4900 72
1232.6200 1959.4900 13
1244.4400 1959.4900 54
1256.2600 1959.4900 95
1291.7300 1959.4900 36
1303.5600 1959.4900 77
1374.5000 1971.3000 18
1386.3200 1971.3000 59
1398.1500 1971.3000 100
1309.4700 1953.5800 41
1297.6500 1953.5800 82
1179.4100 1941.7700 23
1191.2300 1941.7700 64
1203.0600 1941.7700 5
1344.9400 1941.7700 46
1356.7700 1941.7700 87
1368.5900 1941.7700 28
1380.4100 1941.7700 69
1392.2400 1941.7700 10
1268.0900 1935.8700 51
1256.2600 1935.8700 92
1244.4400 1935.8700 33
1232.6200 1935.8700 74
1220.7900 1935.8700 15
1161.6700 1935.8700 56
1149.8500 1935.8700 97
1138.0300 1935.8700 38
1126.2000 1935.8700 79
1114.3800 1935.8700 20
1132.1100 1929.9600 61
1143.9400 1929.9600 2
1155.7600 1929.9600 43
1167.5900 1929.9600 84
1179.4100 1929.9600 25
1309.4700 1929.9600 66
1321.2900 1929.9600 7
1333.1200 1929.9600 48
1344.9400 1929.9600 89
1362.6800 1924.0600 30
1350.8500 1924.0600 71
1339.0300 1924.0600 12
1327.2000 1924.0600 53
1315.3800 1924.0600 94
1303.5600 1924.0600 35
1220.7900 1924.0600 76
1208.9700 1924.0600 17
1197.1500 1924.0600 58
1185.3200 1924.0600 99
1203.0600 1918.1500 40
1274.0000 1918.1500 81
1285.8200 1918.1500 22
1297.6500 1918.1500 63
1309.4700 1918.1500 4
1380.4100 1918.1500 45
1392.2400 1918.1500 86
1404.0600 1918.1500 27
1415.8800 1918.1500 68
1232.6200 1912.2500 9
1220.7900 1912.2500 50
1208.9700 1912.2500 91
1197.1500 1912.2500 32
1073.0000 1906.3400 73
1084.8200 1906.3400 14
1096.6400 1906.3400 55
1108.4700 1906.3400 96
1120.2900 1906.3400 37
1132.1100 1906.3400 78
1143.9400 1906.3400 19
1262.1800 1906.3400 60
1274.0000 1906.3400 1
1285.8200 1906.3400 42
1297.6500 1906.3400 83
1333.1200 1906.3400 24
1344.9400 1906.3400 65
1356.7700 1906.3400 6
1368.5900 1906.3400 47
1350.8500 1900.4400 88
1339.0300 1900.4400 29
1327.2000 1900.4400 70
1315.3800 1900.4400 11
1285.8200 1894.5300 52
1274.0000 1894.5300 93
1262.1800 1894.5300 34
1250.3500 1894.5300 75
1238.5300 1894.5300 16
1143.9400 1894.5300 57
1132.1100 1894.5300 98
1120.2900 1894.5300 39
1108.4700 1894.5300 80
1096.6400 1894.5300 21
1279.9100 1888.6300 62
1291.7300 1888.6300 3
1303.5600 1888.6300 44
1315.3800 1888.6300 85
1415.8800 1882.7200 26
1404.0600 1882.7200 67
1392.2400 1882.7200 8
1380.4100 1882.7200 49
1297.6500 1882.7200 90
1285.8200 1882.7200 31
1120.2900 1882.7200 72
1108.4700 1882.7200 13
1096.6400 1882.7200 54
1084.8200 1882.7200 95
1327.2000 1876.8200 36
1339.0300 1876.8200 77
1350.8500 1876.8200 18
1362.6800 1876.8200 59
1374.5000 1876.8200 100
1386.3200 1876.8200 41
1368.5900 1870.9100 82
1356.7700 1870.9100 23
1344.9400 1870.9100 64
1333.1200 1870.9100 5
1238.5300 1870.9100 46
1226.7000 1870.9100 87
1214.8800 1870.9100 28
1203.0600 1870.9100 69
1191.2300 1870.9100 10
1179.4100 1870.9100 51
1167.5900 1870.9100 92
1155.7600 1870.9100 33
1143.9400 1870.9100 74
1132.1100 1870.9100 15
1220.7900 1865.0100 56
1232.6200 1865.0100 97
1244.4400 1865.0100 38
1256.2600 1865.0100 79
1268.0900 1865.0100 20
1279.9100 1865.0100 61
1291.7300 1865.0100 2
1303.5600 1865.0100 43
1658.2700 1746.9100 84
665.0810 1746.9100 25
670.9920 1741.0000 66
682.8160 1741.0000 7
694.6400 1741.0000 48
706.4630 1741.0000 89
718.2870 1741.0000 30
730.1110 1741.0000 71
1664.1800 1741.0000 12
1676.0000 1741.0000 53
1687.8300 1741.0000 94
1699.6500 1741.0000 35
1711.4700 1741.0000 76
1723.3000 1741.0000 17
1871.0900 1723.2900 58
1859.2700 1723.2900 99
877.9060 1723.2900 40
866.0830 1723.2900 81
783.3170 1522.5200 22
795.1410 1522.5200 63
806.9640 1522.5200 4
818.7880 1522.5200 45
830.6120 1522.5200 86
1776.5100 1522.5200 27
1788.3300 1522.5200 68
1800.1500 1522.5200 9
1811.9800 1522.5200 50
1823.8000 1522.5200 91
1238.5300 1516.6100 32
1226.7000 1516.6100 73
1214.8800 1516.6100 14
1203.0600 1516.6100 55
1191.2300 1516.6100 96
1179.4100 1516.6100 37
1167.5900 1516.6100 78
1155.7600 1516.6100 19
1143.9400 1516.6100 60
1132.1100 1516.6100 1
1120.2900 1516.6100 42
1108.4700 1516.6100 83
1096.6400 1516.6100 24
1084.8200 1516.6100 65
1073.0000 1516.6100 6
1061.1700 1516.6100 47
1049.3500 1516.6100 88
1037.5300 1516.6100 29
1025.7000 1516.6100 70
1013.8800 1516.6100 11
1002.0500 1516.6100 52
990.2310 1516.6100 93
978.4070 1516.6100 34
966.5840 1516.6100 75
954.7600 1516.6100 16
942.9370 1516.6100 57
931.1130 1516.6100 98
919.2890 1516.6100 39
907.4660 1516.6100 80
895.6420 1516.6100 21
883.8180 1516.6100 62
871.9940 1516.6100 3
860.1710 1516.6100 44
848.3470 1516.6100 85
836.5240 1516.6100 26
824.7000 1516.6100 67
812.8760 1516.6100 8
801.0530 1516.6100 49
789.2290 1516.6100 90
777.4050 1516.6100 31
765.5810 1516.6100 72
753.7580 1516.6100 13
741.9340 1516.6100 54
730.1110 1516.6100 95
718.2870 1516.6100 36
706.4630 1516.6100 77
694.6400 1516.6100 18
682.8160 1516.6100 59
670.9920 1516.6100 100
659.1690 1516.6100 41
647.3450 1516.6100 82
635.5210 1516.6100 23
623.6980 1516.6100 64
611.8740 1516.6100 5
600.0500 1516.6100 46
588.2270 1516.6100 87
576.4030 1516.6100 28
564.5790 1516.6100 69
552.7560 1516.6100 10
540.9320 1516.6100 51
529.1080 1516.6100 92
517.2850 1516.6100 33
505.4610 1516.6100 74
493.6370 1516.6100 15
481.8140 1516.6100 56
469.9900 1516.6100 97
458.1660 1516.6100 38
446.3430 1516.6100 79
434.5190 1516.6100 20
422.6960 1516.6100 61
410.8720 1516.6100 2
399.0480 1516.6100 43
387.2240 1516.6100 84
375.4010 1516.6100 25
363.5770 1516.6100 66
351.7530 1516.6100 7
369.4890 1487.0800 48
381.3130 1487.0800 89
393.1360 1487.0800 30
404.9600 1487.0800 71
416.7840 1487.0800 12
428.6070 1487.0800 53
440.4310 1487.0800 94
452.2550 1487.0800 35
464.0780 1487.0800 76
475.9020 1487.0800 17
487.7250 1487.0800 58
499.5490 1487.0800 99
511.3730 1487.0800 40
523.1960 1487.0800 81
535.0200 1487.0800 22
546.8440 1487.0800 63
558.6680 1487.0800 4
570.4910 1487.0800 45
582.3150 1487.0800 86
594.1380 1487.0800 27
605.9620 1487.0800 68
617.7860 1487.0800 9
629.6090 1487.0800 50
641.4330 1487.0800 91
653.2570 1487.0800 32
665.0810 1487.0800 73
676.9040 1487.0800 14
688.7280 1487.0800 55
700.5510 1487.0800 96
712.3750 1487.0800 37
724.1990 1487.0800 78
736.0220 1487.0800 19
747.8460 1487.0800 60
759.6700 1487.0800 1
771.4940 1487.0800 42
783.3170 1487.0800 83
795.1410 1487.0800 24
806.9640 1487.0800 65
818.7880 1487.0800 6
830.6120 1487.0800 47
842.4350 1487.0800 88
854.2590 1487.0800 29
866.0830 1487.0800 70
877.9060 1487.0800 11
889.7300 1487.0800 52
901.5540 1487.0800 93
913.3770 1487.0800 34
925.2010 1487.0800 75
937.0250 1487.0800 16
948.8480 1487.0800 57
960.6720 1487.0800 98
972.4960 1487.0800 39
984.3190 1487.0800 80
996.1430 1487.0800 21
1007.9700 1487.0800 62
1019.7900 1487.0800 3
1031.6100 1487.0800 44
1043.4400 1487.0800 85
1055.2600 1487.0800 26
1067.0800 1487.0800 67
1078.9100 1487.0800 8
1090.7300 1487.0800 49
1102.5600 1487.0800 90
1114.3800 1487.0800 31
1126.2000 1487.0800 72
1138.0300 1487.0800 13
1149.8500 1487.0800 54
1161.6700 1487.0800 95
1173.5000 1487.0800 36
1185.3200 1487.0800 77
1197.1500 1487.0800 18
1208.9700 1487.0800 59
2060.2700 1475.2800 100
2048.4500 1475.2800 41
2036.6200 1475.2800 82
2024.8000 1475.2800 23
2012.9800 1475.2800 64
2001.1500 1475.2800 5
1989.3300 1475.2800 46
1977.5100 1475.2800 87
1965.6800 1475.2800 28
1953.8600 1475.2800 69
1942.0400 1475.2800 10
1930.2100 1475.2800 51
1918.3900 1475.2800 92
1906.5600 1475.2800 33
1894.7400 1475.2800 74
1882.9200 1475.2800 15
1871.0900 1475.2800 56
1859.2700 1475.2800 97
1847.4500 1475.2800 38
1835.6200 1475.2800 79
1823.8000 1475.2800 20
1811.9800 1475.2800 61
1800.1500 1475.2800 2
1788.3300 1475.2800 43
1776.5100 1475.2800 84
1764.6800 1475.2800 25
1752.8600 1475.2800 66
1741.0300 1475.2800 7
1729.2100 1475.2800 48
1717.3900 1475.2800 89
1705.5600 1475.2800 30
1693.7400 1475.2800 71
1681.9200 1475.2800 12
1670.0900 1475.2800 53
1658.2700 1475.2800 94
1646.4400 1475.2800 35
1634.6200 1475.2800 76
1622.8000 1475.2800 17
1610.9700 1475.2800 58
1599.1500 1475.2800 99
1587.3300 1475.2800 40
1575.5000 1475.2800 81
1563.6800 1475.2800 22
1551.8500 1475.2800 63
1540.0300 1475.2800 4
1528.2100 1475.2800 45
1516.3800 1475.2800 86
1504.5600 1475.2800 27
1492.7400 1475.2800 68
1480.9100 1475.2800 9
1469.0900 1475.2800 50
1457.2700 1475.2800 91
1445.4400 1475.2800 32
1433.6200 1475.2800 73
1421.8000 1475.2800 14
1409.9700 1475.2800 55
1398.1500 1475.2800 96
1386.3200 1475.2800 37
1374.5000 1475.2800 78
1362.6800 1475.2800 19
1350.8500 1475.2800 60
1339.0300 1475.2800 1
1327.2000 1475.2800 42
1315.3800 1475.2800 83
1303.5600 1475.2800 24
1291.7300 1475.2800 65
1279.9100 1475.2800 6
1268.0900 1475.2800 47
1256.2600 1475.2800 88
1244.4400 1475.2800 29
1232.6200 1475.2800 70
1220.7900 1475.2800 11
1250.3500 1445.7500 52
1262.1800 1445.7500 93
1274.0000 1445.7500 34
1285.8200 1445.7500 75
1297.6500 1445.7500 16
1309.4700 1445.7500 57
1321.2900 1445.7500 98
1333.1200 1445.7500 39
1344.9400 1445.7500 80
1356.7700 1445.7500 21
1368.5900 1445.7500 62
1380.4100 1445.7500 3
1392.2400 1445.7500 44
1404.0600 1445.7500 85
1415.8800 1445.7500 26
1427.7100 1445.7500 67
1439.5300 1445.7500 8
1451.3500 1445.7500 49
1463.1800 1445.7500 90
1475.0000 1445.7500 31
1486.8200 1445.7500 72
1498.6500 1445.7500 13
1510.4700 1445.7500 54
1522.3000 1445.7500 95
1534.1200 1445.7500 36
1545.9400 1445.7500 77
1557.7700 1445.7500 18
1569.5900 1445.7500 59
1581.4100 1445.7500 100
1593.2400 1445.7500 41
1605.0600 1445.7500 82
1616.8900 1445.7500 23
1628.7100 1445.7500 64
1640.5300 1445.7500 5
1652.3600 1445.7500 46
1664.1800 1445.7500 87
1676.0000 1445.7500 28
1687.8300 1445.7500 69
1699.6500 1445.7500 10
1711.4700 1445.7500 51
1723.3000 1445.7500 92
1735.1200 1445.7500 33
1746.9500 1445.7500 74
1758.7700 1445.7500 15
1770.5900 1445.7500 56
1782.4200 1445.7500 97
1788.3300 1416.2200 38
1776.5100 1416.2200 79
1764.6800 1416.2200 20
1752.8600 1416.2200 61
1741.0300 1416.2200 2
1729.2100 1416.2200 43
1717.3900 1416.2200 84
1705.5600 1416.2200 25
1693.7400 1416.2200 66
1681.9200 1416.2200 7
1670.0900 1416.2200 48
1658.2700 1416.2200 89
1646.4400 1416.2200 30
1362.6800 1416.2200 71
1350.8500 1416.2200 12
1339.0300 1416.2200 53
1327.2000 1416.2200 94
1315.3800 1416.2200 35
1303.5600 1416.2200 76
1291.7300 1416.2200 17
1368.5900 1410.3200 58
1380.4100 1410.3200 99
1392.2400 1410.3200 40
1404.0600 1410.3200 81
1415.8800 1410.3200 22
1427.7100 1410.3200 63
1439.5300 1410.3200 4
1451.3500 1410.3200 45
1463.1800 1410.3200 86
1475.0000 1410.3200 27
1486.8200 1410.3200 68
1498.6500 1410.3200 9
1510.4700 1410.3200 50
1522.3000 1410.3200 91
1534.1200 1410.3200 32
1545.9400 1410.3200 73
1557.7700 1410.3200 14
1569.5900 1410.3200 55
1581.4100 1410.3200 96
1593.2400 1410.3200 37
1605.0600 1410.3200 78
1616.8900 1410.3200 19
1628.7100 1410.3200 60
1640.5300 1410.3200 1
1652.3600 1410.3200 42
1664.1800 1410.3200 83
1676.0000 1410.3200 24
1687.8300 1410.3200 65
1699.6500 1410.3200 6
1711.4700 1410.3200 47
1723.3000 1410.3200 88
1735.1200 1410.3200 29
1746.9500 1410.3200 70
1758.7700 1410.3200 11
1770.5900 1410.3200 52
1782.4200 1410.3200 93
1794.2400 1410.3200 34
1806.0600 1410.3200 75
1817.8900 1410.3200 16
1829.7100 1410.3200 57
1841.5400 1410.3200 98
1794.2400 1398.5100 39
1782.4200 1398.5100 80
1770.5900 1398.5100 21
1758.7700 1398.5100 62
1746.9500 1398.5100 3
1735.1200 1398.5100 44
1723.3000 1398.5100 85
1711.4700 1398.5100 26
1699.6500 1398.5100 67
1687.8300 1398.5100 8
1676.0000 1398.5100 49
1664.1800 1398.5100 90
1652.3600 1398.5100 31
1640.5300 1398.5100 72
1788.3300 1392.6000 13
1800.1500 1392.6000 54
1811.9800 1392.6000 95
1811.9800 1274.5000 36
1800.1500 1274.5000 77
1788.3300 1274.5000 18
1776.5100 1274.5000 59
1764.6800 1274.5000 100
1752.8600 1274.5000 41
1741.0300 1274.5000 82
1729.2100 1274.5000 23
1717.3900 1274.5000 64
1705.5600 1274.5000 5
1693.7400 1274.5000 46
