n 1003 
m 2 
tmax 64761.5
1150.0000 4000.0000 74
1050.0000 2750.0000 15
1150.0000 2250.0000 56
1250.0000 2050.0000 97
1350.0000 2350.0000 38
1050.0000 1550.0000 79
3350.0000 1700.0000 20
3450.0000 1450.0000 61
3550.0000 1600.0000 2
3950.0000 1700.0000 43
4050.0000 2000.0000 84
4050.0000 2150.0000 25
4250.0000 1650.0000 66
4150.0000 1500.0000 7
4450.0000 1450.0000 48
4400.0000 1700.0000 89
4600.0000 1850.0000 30
4900.0000 1550.0000 71
5100.0000 1550.0000 12
5350.0000 1450.0000 53
4950.0000 1700.0000 94
4850.0000 1900.0000 35
4900.0000 2050.0000 76
5000.0000 2150.0000 17
5100.0000 2050.0000 58
5400.0000 2050.0000 99
5750.0000 2000.0000 40
5900.0000 2050.0000 81
5600.0000 2250.0000 22
5400.0000 2300.0000 63
5250.0000 2250.0000 4
5000.0000 2350.0000 45
5000.0000 2550.0000 86
5050.0000 2800.0000 27
5250.0000 2750.0000 68
5450.0000 2750.0000 9
5400.0000 2950.0000 50
5200.0000 3150.0000 91
5050.0000 3100.0000 32
4950.0000 3300.0000 73
5100.0000 3600.0000 14
5200.0000 3650.0000 55
5350.0000 3750.0000 96
5450.0000 3750.0000 37
5600.0000 3750.0000 78
5600.0000 4250.0000 19
5450.0000 4250.0000 60
5350.0000 4150.0000 1
5050.0000 3800.0000 42
4950.0000 3500.0000 83
4700.0000 3500.0000 24
4400.0000 3700.0000 65
4450.0000 3500.0000 6
4100.0000 3500.0000 47
4150.0000 3300.0000 88
4100.0000 3150.0000 29
4300.0000 3300.0000 70
4500.0000 3150.0000 11
4500.0000 2950.0000 52
4700.0000 3000.0000 93
4700.0000 2800.0000 34
4700.0000 2500.0000 75
4600.0000 2350.0000 16
4550.0000 2500.0000 57
4550.0000 2800.0000 98
4300.0000 2800.0000 39
4100.0000 2950.0000 80
3700.0000 2800.0000 21
3550.0000 2800.0000 62
3400.0000 2700.0000 3
3400.0000 3200.0000 44
3700.0000 3100.0000 85
3550.0000 3300.0000 26
3350.0000 4250.0000 67
3350.0000 4650.0000 8
3250.0000 5200.0000 49
4000.0000 5050.0000 90
4100.0000 4750.0000 31
3950.0000 4650.0000 72
3950.0000 4250.0000 13
4200.0000 4150.0000 54
4200.0000 4550.0000 95
4500.0000 4400.0000 36
4700.0000 4350.0000 77
4700.0000 4750.0000 18
4500.0000 4800.0000 59
4500.0000 4950.0000 100
4350.0000 4750.0000 41
4350.0000 4900.0000 82
4247.0000 5150.0000 23
4354.0000 5256.0000 64
4247.0000 5256.0000 5
4100.0000 5250.0000 46
4100.0000 5350.0000 87
4000.0000 5550.0000 28
4199.0000 5554.0000 69
4305.0000 5554.0000 10
4304.0000 5447.0000 51
4500.0000 5450.0000 92
4500.0000 6050.0000 33
4650.0000 6000.0000 74
4800.0000 6100.0000 15
5050.0000 6050.0000 56
5150.0000 6150.0000 97
5300.0000 6050.0000 38
5400.0000 6050.0000 79
5150.0000 5500.0000 20
5250.0000 5350.0000 61
5300.0000 5150.0000 2
5650.0000 5350.0000 43
5800.0000 5350.0000 84
5650.0000 5500.0000 25
5800.0000 5500.0000 66
5750.0000 5700.0000 7
5750.0000 5850.0000 48
5700.0000 6000.0000 89
5700.0000 6150.0000 30
5550.0000 6000.0000 71
5550.0000 6150.0000 12
6000.0000 6600.0000 53
6000.0000 7000.0000 94
5550.0000 6650.0000 35
5400.0000 6550.0000 76
5300.0000 6450.0000 17
5150.0000 6550.0000 58
5150.0000 7000.0000 99
5050.0000 6550.0000 40
4800.0000 6500.0000 81
4650.0000 6400.0000 22
4500.0000 6550.0000 63
4250.0000 6700.0000 4
4250.0000 6350.0000 45
4250.0000 5950.0000 86
4100.0000 5850.0000 27
3950.0000 5950.0000 68
3800.0000 5950.0000 9
3950.0000 6350.0000 50
3800.0000 6350.0000 91
3250.0000 7000.0000 32
3300.0000 7450.0000 73
3300.0000 7550.0000 14
3900.0000 7850.0000 55
4250.0000 7800.0000 96
4400.0000 7750.0000 37
4250.0000 7300.0000 78
4450.0000 7450.0000 19
4650.0000 7450.0000 60
4550.0000 7650.0000 1
4550.0000 7900.0000 42
4650.0000 8150.0000 83
4400.0000 8250.0000 24
4250.0000 8250.0000 65
4550.0000 8750.0000 6
4550.0000 8950.0000 47
4250.0000 9250.0000 88
4300.0000 9450.0000 29
4500.0000 9750.0000 70
4300.0000 9950.0000 11
4300.0000 10150.0000 52
4100.0000 10150.0000 93
3900.0000 10150.0000 34
4200.0000 9850.0000 75
4050.0000 9700.0000 16
4200.0000 9450.0000 57
4050.0000 9200.0000 98
3900.0000 9250.0000 39
3750.0000 9500.0000 80
3450.0000 9450.0000 21
3300.0000 9350.0000 62
3300.0000 10650.0000 3
3450.0000 10450.0000 44
3750.0000 10500.0000 85
3600.0000 11100.0000 26
3750.0000 11200.0000 67
3750.0000 11400.0000 8
3600.0000 11600.0000 49
3900.0000 11550.0000 90
3900.0000 11400.0000 31
3900.0000 11150.0000 72
4100.0000 11150.0000 13
4300.0000 11150.0000 54
4600.0000 11100.0000 95
4600.0000 10850.0000 36
4550.0000 10550.0000 77
4500.0000 10250.0000 18
5600.0000 9750.0000 59
5600.0000 10250.0000 100
5950.0000 10250.0000 41
6100.0000 10250.0000 82
6250.0000 10200.0000 23
6400.0000 10300.0000 64
6200.0000 10300.0000 5
6150.0000 10400.0000 46
5950.0000 10550.0000 87
5650.0000 10550.0000 28
5600.0000 10850.0000 69
5950.0000 10850.0000 10
6050.0000 11050.0000 51
6150.0000 11050.0000 92
6200.0000 11150.0000 33
5950.0000 11150.0000 74
5600.0000 11100.0000 15
5950.0000 11650.0000 56
6050.0000 11550.0000 97
6450.0000 11550.0000 38
6350.0000 11350.0000 79
6550.0000 11350.0000 20
6500.0000 11150.0000 61
6650.0000 11050.0000 2
6950.0000 11250.0000 43
6950.0000 10650.0000 84
7000.0000 10500.0000 25
7200.0000 10500.0000 66
7200.0000 10200.0000 7
7100.0000 10250.0000 48
7050.0000 10400.0000 89
6900.0000 10450.0000 30
6700.0000 10300.0000 71
6850.0000 10200.0000 12
7000.0000 10050.0000 53
6800.0000 9950.0000 94
7000.0000 9800.0000 35
7100.0000 9750.0000 76
7300.0000 9650.0000 17
7300.0000 9350.0000 58
7300.0000 9150.0000 99
7300.0000 9000.0000 40
7000.0000 9000.0000 81
6900.0000 9000.0000 22
6950.0000 9250.0000 63
6700.0000 9150.0000 4
6800.0000 9350.0000 45
6700.0000 9650.0000 86
6700.0000 9800.0000 27
6600.0000 9800.0000 68
6500.0000 10050.0000 9
6400.0000 10050.0000 50
6200.0000 9950.0000 91
6100.0000 10050.0000 32
6100.0000 9800.0000 73
5950.0000 9750.0000 14
6000.0000 9600.0000 55
6150.0000 9200.0000 96
6250.0000 8950.0000 37
6250.0000 8850.0000 78
6350.0000 8850.0000 19
6150.0000 8600.0000 60
6150.0000 8500.0000 1
6000.0000 8450.0000 42
6000.0000 8600.0000 83
5550.0000 8950.0000 24
5550.0000 8750.0000 65
5650.0000 8150.0000 6
5550.0000 7900.0000 47
5550.0000 7650.0000 88
5650.0000 7450.0000 29
5900.0000 7350.0000 70
5950.0000 7650.0000 11
6000.0000 7850.0000 52
6400.0000 8350.0000 93
6450.0000 8600.0000 34
6500.0000 8700.0000 75
6500.0000 9000.0000 16
6600.0000 9000.0000 57
6699.0000 8856.0000 98
6699.0000 8750.0000 39
6805.0000 8749.0000 80
6750.0000 8600.0000 21
6750.0000 8500.0000 62
6600.0000 8000.0000 3
6900.0000 8350.0000 44
7200.0000 8000.0000 85
7350.0000 7650.0000 26
7000.0000 7350.0000 67
7100.0000 6750.0000 8
7100.0000 6600.0000 49
6800.0000 6000.0000 90
6603.0000 6057.0000 31
6498.0000 6057.0000 72
6604.0000 5950.0000 13
6700.0000 5800.0000 54
6600.0000 5700.0000 95
6550.0000 5500.0000 36
6800.0000 5500.0000 77
7100.0000 5500.0000 18
7100.0000 5100.0000 59
7350.0000 4900.0000 100
7350.0000 4750.0000 41
7350.0000 4150.0000 82
7350.0000 4050.0000 23
7350.0000 3900.0000 64
7350.0000 3800.0000 5
6950.0000 3900.0000 46
6850.0000 3800.0000 87
6850.0000 4050.0000 28
6950.0000 4150.0000 69
6650.0000 4900.0000 10
6700.0000 5050.0000 51
6700.0000 5300.0000 92
6600.0000 5200.0000 33
6250.0000 5500.0000 74
6106.0000 5606.0000 15
5999.0000 5607.0000 56
5998.0000 5500.0000 97
6250.0000 5000.0000 38
6100.0000 4800.0000 79
6000.0000 4450.0000 20
6100.0000 4400.0000 61
6100.0000 4150.0000 2
6000.0000 3950.0000 43
6000.0000 3800.0000 84
5850.0000 3750.0000 25
5750.0000 3450.0000 66
5850.0000 3050.0000 7
6000.0000 3200.0000 48
6000.0000 3300.0000 89
