n 2393 
m 2 
tmax 94508
1639.0000 2156.0000 0
1875.0000 2925.0000 15
2150.0000 2925.0000 56
2425.0000 2925.0000 97
2525.0000 2675.0000 38
2525.0000 2575.0000 79
2525.0000 2375.0000 20
2525.0000 2275.0000 61
2525.0000 2175.0000 2
2786.0000 2148.0000 43
2786.0000 2249.0000 84
2786.0000 2352.0000 25
2785.0000 2451.0000 66
2785.0000 2552.0000 7
2787.0000 2651.0000 48
2925.0000 2925.0000 89
3198.0000 2925.0000 30
3475.0000 2925.0000 71
3725.0000 2925.0000 12
3675.0000 2675.0000 53
3675.0000 2575.0000 94
3675.0000 2375.0000 35
3675.0000 2275.0000 76
3675.0000 2175.0000 17
4189.0000 2156.0000 58
4190.0000 2256.0000 99
4190.0000 2355.0000 40
4189.0000 2456.0000 81
4189.0000 2556.0000 22
4190.0000 2656.0000 63
4275.0000 2975.0000 4
4425.0000 2925.0000 45
4700.0000 2925.0000 86
4975.0000 2925.0000 27
5075.0000 2675.0000 68
5075.0000 2575.0000 9
5075.0000 2375.0000 50
5075.0000 2275.0000 91
5075.0000 2175.0000 32
5336.0000 2148.0000 73
5336.0000 2249.0000 14
5336.0000 2352.0000 55
5335.0000 2451.0000 96
5335.0000 2552.0000 37
5337.0000 2651.0000 78
5475.0000 2925.0000 19
5748.0000 2925.0000 60
6025.0000 2925.0000 1
6275.0000 2925.0000 42
6225.0000 2675.0000 83
6225.0000 2575.0000 24
6225.0000 2375.0000 65
6225.0000 2275.0000 6
6225.0000 2175.0000 47
6739.0000 2156.0000 88
6740.0000 2256.0000 29
6740.0000 2355.0000 70
6739.0000 2456.0000 11
6739.0000 2556.0000 52
6740.0000 2656.0000 93
6825.0000 2975.0000 34
6975.0000 2925.0000 75
7250.0000 2925.0000 16
7525.0000 2925.0000 57
7625.0000 2675.0000 98
7625.0000 2575.0000 39
7625.0000 2375.0000 80
7625.0000 2275.0000 21
7625.0000 2175.0000 62
7886.0000 2148.0000 3
7886.0000 2249.0000 44
7886.0000 2352.0000 85
7885.0000 2451.0000 26
7885.0000 2552.0000 67
7887.0000 2651.0000 8
8025.0000 2925.0000 49
8298.0000 2925.0000 90
8575.0000 2925.0000 31
8825.0000 2925.0000 72
8775.0000 2675.0000 13
8775.0000 2575.0000 54
8775.0000 2375.0000 95
8775.0000 2275.0000 36
8775.0000 2175.0000 77
9289.0000 2156.0000 18
9290.0000 2256.0000 59
9290.0000 2355.0000 100
9289.0000 2456.0000 41
9289.0000 2556.0000 82
9290.0000 2656.0000 23
9375.0000 2975.0000 64
9525.0000 2925.0000 5
9800.0000 2925.0000 46
10075.0000 2925.0000 87
10175.0000 2675.0000 28
10175.0000 2575.0000 69
10175.0000 2375.0000 10
10175.0000 2275.0000 51
10175.0000 2175.0000 92
10436.0000 2148.0000 33
10436.0000 2249.0000 74
10436.0000 2352.0000 15
10435.0000 2451.0000 56
10435.0000 2552.0000 97
10437.0000 2651.0000 38
10575.0000 2925.0000 79
10848.0000 2925.0000 20
11125.0000 2925.0000 61
11325.0000 2175.0000 2
11325.0000 2275.0000 43
11325.0000 2375.0000 84
11325.0000 2575.0000 25
11325.0000 2675.0000 66
11375.0000 2925.0000 7
11375.0000 3125.0000 48
11400.0000 3225.0000 89
11400.0000 3325.0000 30
11400.0000 3475.0000 71
11400.0000 3625.0000 12
11300.0000 3825.0000 53
11125.0000 3825.0000 94
11125.0000 3925.0000 35
11025.0000 3975.0000 76
10925.0000 3975.0000 17
10925.0000 3875.0000 58
10550.0000 3925.0000 99
10550.0000 3725.0000 40
10550.0000 3325.0000 81
10100.0000 3325.0000 22
10100.0000 3725.0000 63
10100.0000 3925.0000 4
9725.0000 3875.0000 45
9725.0000 3975.0000 86
9625.0000 3975.0000 27
9550.0000 3875.0000 68
9425.0000 3875.0000 9
9275.0000 3900.0000 50
9250.0000 3700.0000 91
9250.0000 3575.0000 32
9250.0000 3475.0000 73
9250.0000 3375.0000 14
9250.0000 3275.0000 55
8825.0000 3125.0000 96
8850.0000 3225.0000 37
8850.0000 3325.0000 78
8850.0000 3475.0000 19
8850.0000 3625.0000 60
8750.0000 3825.0000 1
8575.0000 3825.0000 42
8575.0000 3925.0000 83
8475.0000 3975.0000 24
8375.0000 3875.0000 65
8375.0000 3975.0000 6
8400.0000 4125.0000 47
8300.0000 4175.0000 88
8400.0000 4275.0000 29
8500.0000 4175.0000 70
8675.0000 4325.0000 11
8775.0000 4425.0000 52
8825.0000 4325.0000 93
9275.0000 4275.0000 34
9375.0000 4275.0000 75
9325.0000 4375.0000 16
9400.0000 4450.0000 57
9400.0000 4550.0000 98
9325.0000 4500.0000 39
9215.0000 4560.0000 80
9215.0000 4710.0000 21
9375.0000 4775.0000 62
9215.0000 4860.0000 3
9215.0000 5010.0000 44
9215.0000 5160.0000 85
9215.0000 5310.0000 26
9215.0000 5460.0000 67
9215.0000 5610.0000 8
9475.0000 5675.0000 49
9475.0000 5525.0000 90
9475.0000 5425.0000 31
9475.0000 5275.0000 72
9475.0000 5025.0000 13
9575.0000 5075.0000 54
9725.0000 5075.0000 95
9675.0000 4975.0000 36
9575.0000 4925.0000 77
9525.0000 4775.0000 18
9600.0000 4675.0000 59
9625.0000 4775.0000 100
9775.0000 4775.0000 41
9975.0000 4600.0000 82
9875.0000 4600.0000 23
9800.0000 4525.0000 64
9700.0000 4525.0000 5
9700.0000 4425.0000 46
9800.0000 4425.0000 87
9800.0000 4325.0000 28
9700.0000 4275.0000 69
9600.0000 4175.0000 10
9700.0000 4125.0000 51
9800.0000 4175.0000 92
9875.0000 4275.0000 33
9975.0000 4275.0000 74
10075.0000 4175.0000 15
10275.0000 4175.0000 56
10375.0000 4175.0000 97
10575.0000 4175.0000 38
10675.0000 4275.0000 79
10775.0000 4275.0000 20
10850.0000 4325.0000 61
10850.0000 4425.0000 2
10850.0000 4525.0000 43
10775.0000 4575.0000 84
10675.0000 4575.0000 25
10875.0000 4775.0000 66
11025.0000 4775.0000 7
11175.0000 4725.0000 48
11050.0000 4675.0000 89
10950.0000 4500.0000 30
10950.0000 4400.0000 71
10950.0000 4275.0000 12
10850.0000 4175.0000 53
10950.0000 4125.0000 94
11050.0000 4175.0000 35
11225.0000 4325.0000 76
11375.0000 4325.0000 17
11325.0000 4425.0000 58
11325.0000 4575.0000 99
11325.0000 4675.0000 40
11325.0000 4775.0000 81
11325.0000 4925.0000 22
11450.0000 4925.0000 63
11450.0000 5075.0000 4
11422.0000 5204.0000 45
11425.0000 5325.0000 86
11325.0000 5275.0000 27
11325.0000 5375.0000 68
11175.0000 5375.0000 9
11175.0000 5275.0000 50
11125.0000 5175.0000 91
11100.0000 5025.0000 32
10975.0000 4975.0000 73
10925.0000 5075.0000 14
10950.0000 5175.0000 55
10900.0000 5275.0000 96
10900.0000 5375.0000 37
10800.0000 5175.0000 78
10525.0000 5175.0000 19
10325.0000 5175.0000 60
10325.0000 5025.0000 1
10425.0000 5075.0000 42
10475.0000 4975.0000 83
10325.0000 4875.0000 24
10175.0000 4975.0000 65
10225.0000 5075.0000 6
10125.0000 5175.0000 47
9975.0000 5175.0000 88
