n 1292 
m 3
tmax 8467
0.0000 0.0000 0
837.0000 958.3000 15
862.4000 958.3000 56
887.8000 958.3000 97
913.2000 958.3000 38
938.6000 958.3000 79
964.0000 958.3000 20
989.4000 958.3000 61
1014.8000 958.3000 2
1040.2000 958.3000 43
1065.6000 958.3000 84
1091.0000 958.3000 25
1116.4000 958.3000 66
1141.8000 958.3000 7
1167.2000 958.3000 48
1167.2000 1110.7000 89
1141.8000 1110.7000 30
1116.4000 1110.7000 71
1091.0000 1110.7000 12
1065.6000 1110.7000 53
1040.2000 1110.7000 94
1014.8000 1110.7000 35
989.4000 1110.7000 76
964.0000 1110.7000 17
938.6000 1110.7000 58
913.2000 1110.7000 99
887.8000 1110.7000 40
862.4000 1110.7000 81
837.0000 1110.7000 22
837.0000 1186.9000 63
862.4000 1186.9000 4
887.8000 1186.9000 45
913.2000 1186.9000 86
938.6000 1186.9000 27
964.0000 1186.9000 68
989.4000 1186.9000 9
1014.8000 1186.9000 50
1040.2000 1186.9000 91
1065.6000 1186.9000 32
1091.0000 1186.9000 73
1116.4000 1186.9000 14
1141.8000 1186.9000 55
1167.2000 1186.9000 96
1167.2000 1339.3000 37
1141.8000 1339.3000 78
1116.4000 1339.3000 19
1091.0000 1339.3000 60
1065.6000 1339.3000 1
1040.2000 1339.3000 42
1014.8000 1339.3000 83
989.4000 1339.3000 24
964.0000 1339.3000 65
938.6000 1339.3000 6
913.2000 1339.3000 47
887.8000 1339.3000 88
862.4000 1339.3000 29
837.0000 1339.3000 70
837.0000 1415.5000 11
862.4000 1415.5000 52
887.8000 1415.5000 93
913.2000 1415.5000 34
938.6000 1415.5000 75
964.0000 1415.5000 16
989.4000 1415.5000 57
1014.8000 1415.5000 98
1040.2000 1415.5000 39
1065.6000 1415.5000 80
1091.0000 1415.5000 21
1116.4000 1415.5000 62
1141.8000 1415.5000 3
1167.2000 1415.5000 44
1167.2000 1567.9000 85
1141.8000 1567.9000 26
1116.4000 1567.9000 67
1091.0000 1567.9000 8
1065.6000 1567.9000 49
1040.2000 1567.9000 90
1014.8000 1567.9000 31
989.4000 1567.9000 72
964.0000 1567.9000 13
938.6000 1567.9000 54
913.2000 1567.9000 95
887.8000 1567.9000 36
862.4000 1567.9000 77
837.0000 1567.9000 18
837.0000 1644.1000 59
862.4000 1644.1000 100
887.8000 1644.1000 41
913.2000 1644.1000 82
938.6000 1644.1000 23
964.0000 1644.1000 64
989.4000 1644.1000 5
1014.8000 1644.1000 46
1040.2000 1644.1000 87
1065.6000 1644.1000 28
1091.0000 1644.1000 69
1116.4000 1644.1000 10
1141.8000 1644.1000 51
1167.2000 1644.1000 92
1167.2000 1796.5000 33
1141.8000 1796.5000 74
1116.4000 1796.5000 15
1091.0000 1796.5000 56
1065.6000 1796.5000 97
1040.2000 1796.5000 38
1014.8000 1796.5000 79
989.4000 1796.5000 20
964.0000 1796.5000 61
938.6000 1796.5000 2
913.2000 1796.5000 43
887.8000 1796.5000 84
862.4000 1796.5000 25
837.0000 1796.5000 66
837.0000 1898.1000 7
862.4000 1898.1000 48
887.8000 1898.1000 89
913.2000 1898.1000 30
938.6000 1898.1000 71
964.0000 1898.1000 12
989.4000 1898.1000 53
1014.8000 1898.1000 94
1040.2000 1898.1000 35
1065.6000 1898.1000 76
1091.0000 1898.1000 17
1116.4000 1898.1000 58
1141.8000 1898.1000 99
1167.2000 1898.1000 40
1167.2000 2050.5000 81
1141.8000 2050.5000 22
1116.4000 2050.5000 63
1091.0000 2050.5000 4
1065.6000 2050.5000 45
1040.2000 2050.5000 86
1014.8000 2050.5000 27
989.4000 2050.5000 68
964.0000 2050.5000 9
938.6000 2050.5000 50
913.2000 2050.5000 91
887.8000 2050.5000 32
862.4000 2050.5000 73
837.0000 2050.5000 14
837.0000 2126.7000 55
862.4000 2126.7000 96
887.8000 2126.7000 37
913.2000 2126.7000 78
938.6000 2126.7000 19
964.0000 2126.7000 60
989.4000 2126.7000 1
1014.8000 2126.7000 42
1040.2000 2126.7000 83
1065.6000 2126.7000 24
1091.0000 2126.7000 65
1116.4000 2126.7000 6
1141.8000 2126.7000 47
1167.2000 2126.7000 88
1167.2000 2279.1000 29
1141.8000 2279.1000 70
1116.4000 2279.1000 11
1091.0000 2279.1000 52
1065.6000 2279.1000 93
1040.2000 2279.1000 34
1014.8000 2279.1000 75
989.4000 2279.1000 16
964.0000 2279.1000 57
938.6000 2279.1000 98
913.2000 2279.1000 39
887.8000 2279.1000 80
862.4000 2279.1000 21
837.0000 2279.1000 62
837.0000 2355.3000 3
862.4000 2355.3000 44
887.8000 2355.3000 85
913.2000 2355.3000 26
938.6000 2355.3000 67
964.0000 2355.3000 8
989.4000 2355.3000 49
1014.8000 2355.3000 90
1040.2000 2355.3000 31
1065.6000 2355.3000 72
1091.0000 2355.3000 13
1116.4000 2355.3000 54
1141.8000 2355.3000 95
1167.2000 2355.3000 36
1167.2000 2507.7000 77
1141.8000 2507.7000 18
1116.4000 2507.7000 59
1091.0000 2507.7000 100
1065.6000 2507.7000 41
1040.2000 2507.7000 82
1014.8000 2507.7000 23
989.4000 2507.7000 64
964.0000 2507.7000 5
938.6000 2507.7000 46
913.2000 2507.7000 87
887.8000 2507.7000 28
862.4000 2507.7000 69
837.0000 2507.7000 10
837.0000 2583.9000 51
862.4000 2583.9000 92
887.8000 2583.9000 33
913.2000 2583.9000 74
938.6000 2583.9000 15
964.0000 2583.9000 56
989.4000 2583.9000 97
1014.8000 2583.9000 38
1040.2000 2583.9000 79
1065.6000 2583.9000 20
1091.0000 2583.9000 61
1116.4000 2583.9000 2
1141.8000 2583.9000 43
1167.2000 2583.9000 84
1243.4000 2583.9000 25
1167.2000 2736.3000 66
1141.8000 2736.3000 7
1116.4000 2736.3000 48
1091.0000 2736.3000 89
1065.6000 2736.3000 30
1040.2000 2736.3000 71
1014.8000 2736.3000 12
989.4000 2736.3000 53
964.0000 2736.3000 94
938.6000 2736.3000 35
913.2000 2736.3000 76
887.8000 2736.3000 17
862.4000 2736.3000 58
837.0000 2736.3000 99
964.0000 2888.7000 40
1040.2000 2888.7000 81
1141.8000 2888.7000 22
1218.0000 2888.7000 63
1218.0000 2914.1000 4
1141.8000 2914.1000 45
1040.2000 2914.1000 86
964.0000 2914.1000 27
913.2000 2914.1000 68
964.0000 2939.5000 9
1040.2000 2939.5000 50
1141.8000 2939.5000 91
1218.0000 2939.5000 32
1218.0000 2964.9000 73
1141.8000 2964.9000 14
1040.2000 2964.9000 55
964.0000 2964.9000 96
913.2000 2964.9000 37
964.0000 2990.3000 78
1040.2000 2990.3000 19
1141.8000 2990.3000 60
1218.0000 2990.3000 1
1218.0000 3015.7000 42
1141.8000 3015.7000 83
1040.2000 3015.7000 24
964.0000 3015.7000 65
964.0000 3041.1000 6
1040.2000 3041.1000 47
1141.8000 3041.1000 88
1218.0000 3041.1000 29
1218.0000 3066.5000 70
1141.8000 3066.5000 11
1040.2000 3066.5000 52
964.0000 3066.5000 93
1298.7000 874.5000 34
1323.7000 874.5000 75
1348.7000 874.5000 16
1373.7000 874.5000 57
1398.7000 874.5000 98
1423.7000 874.5000 39
1448.7000 874.5000 80
1473.7000 874.5000 21
1498.7000 874.5000 62
1523.7000 874.5000 3
1548.7000 874.5000 44
1573.7000 874.5000 85
1598.7000 874.5000 26
1623.7000 874.5000 67
1648.7000 874.5000 8
1673.7000 874.5000 49
1698.7000 874.5000 90
1723.7000 874.5000 31
1748.7000 874.5000 72
1773.7000 874.5000 13
1798.7000 874.5000 54
1823.7000 874.5000 95
1848.7000 874.5000 36
1873.7000 874.5000 77
1898.7000 874.5000 18
1923.7000 874.5000 59
1948.7000 874.5000 100
1973.7000 874.5000 41
1998.7000 874.5000 82
2023.7000 874.5000 23
2048.7000 874.5000 64
2073.7000 874.5000 5
2098.7000 874.5000 46
2123.7000 874.5000 87
2148.7000 874.5000 28
2173.7000 874.5000 69
2198.7000 874.5000 10
2248.7000 874.5000 51
1298.7000 899.5000 92
1348.7000 899.5000 33
1398.7000 899.5000 74
1448.7000 899.5000 15
1498.7000 899.5000 56
1548.7000 899.5000 97
1598.7000 899.5000 38
1648.7000 899.5000 79
1698.7000 899.5000 20
1748.7000 899.5000 61
1798.7000 899.5000 2
1848.7000 899.5000 43
1898.7000 899.5000 84
1948.7000 899.5000 25
1998.7000 899.5000 66
2048.7000 899.5000 7
2098.7000 899.5000 48
2148.7000 899.5000 89
2198.7000 899.5000 30
2248.7000 899.5000 71
2298.7000 899.5000 12
2348.7000 899.5000 53
2398.7000 899.5000 94
2448.7000 899.5000 35
2498.7000 899.5000 76
2548.7000 899.5000 17
2598.7000 899.5000 58
2648.7000 899.5000 99
2698.7000 899.5000 40
2748.7000 899.5000 81
2798.7000 899.5000 22
2848.7000 899.5000 63
2898.7000 899.5000 4
2948.7000 899.5000 45
2998.7000 899.5000 86
3048.7000 899.5000 27
3098.7000 899.5000 68
3148.7000 899.5000 9
3198.7000 899.5000 50
3248.7000 899.5000 91
3298.7000 899.5000 32
3348.7000 899.5000 73
3398.7000 899.5000 14
3448.7000 899.5000 55
3423.7000 924.5000 96
3373.7000 924.5000 37
3323.7000 924.5000 78
3273.7000 924.5000 19
3223.7000 924.5000 60
3173.7000 924.5000 1
3123.7000 924.5000 42
3073.7000 924.5000 83
3023.7000 924.5000 24
2973.7000 924.5000 65
2923.7000 924.5000 6
2873.7000 924.5000 47
2823.7000 924.5000 88
2773.7000 924.5000 29
2723.7000 924.5000 70
2673.7000 924.5000 11
2623.7000 924.5000 52
2573.7000 924.5000 93
2448.7000 924.5000 34
2398.7000 924.5000 75
2348.7000 924.5000 16
2298.7000 924.5000 57
2173.7000 924.5000 98
2123.7000 924.5000 39
2073.7000 924.5000 80
2023.7000 924.5000 21
1973.7000 924.5000 62
1923.7000 924.5000 3
1873.7000 924.5000 44
1823.7000 924.5000 85
1773.7000 924.5000 26
1723.7000 924.5000 67
1673.7000 924.5000 8
1623.7000 924.5000 49
1573.7000 924.5000 90
1523.7000 924.5000 31
1473.7000 924.5000 72
1423.7000 924.5000 13
1373.7000 924.5000 54
1323.7000 924.5000 95
2298.7000 949.5000 36
2348.7000 949.5000 77
2398.7000 949.5000 18
2448.7000 949.5000 59
2678.5000 996.4000 100
2202.2000 996.4000 41
1522.8000 1085.3000 82
1395.8000 1110.7000 23
1472.0000 1110.7000 64
1573.6000 1110.7000 5
1649.8000 1110.7000 46
2107.0000 1110.7000 87
2183.2000 1110.7000 28
2284.8000 1110.7000 69
2361.0000 1110.7000 10
2361.0000 1136.1000 51
2284.8000 1136.1000 92
2183.2000 1136.1000 33
2107.0000 1136.1000 74
2005.4000 1136.1000 15
