n 2104 
m 3
tmax 13408.33
0.0000 0.0000 0
691.1000 856.7000 15
741.9000 856.7000 56
792.7000 856.7000 97
868.9000 863.1000 38
792.7000 907.5000 79
691.1000 907.5000 20
868.9000 913.9000 61
792.7000 958.3000 2
741.9000 958.3000 43
691.1000 958.3000 84
691.1000 1618.7000 25
741.9000 1618.7000 66
792.7000 1618.7000 7
792.7000 1669.5000 48
691.1000 1669.5000 89
691.1000 1720.3000 30
741.9000 1720.3000 71
792.7000 1720.3000 12
1097.5000 2425.2000 53
907.0000 2412.5000 94
830.8000 2412.5000 35
1034.0000 2387.1000 76
1059.4000 2387.1000 17
856.2000 2374.4000 58
830.8000 2361.7000 99
856.2000 2349.0000 40
830.8000 2336.3000 81
983.2000 2336.3000 22
1022.9000 2336.3000 63
1062.5000 2336.3000 4
1102.1000 2336.3000 45
1141.7000 2336.3000 86
1181.4000 2336.3000 27
1221.0000 2336.3000 68
1260.6000 2336.3000 9
1300.2000 2336.3000 50
1339.9000 2336.3000 91
1379.5000 2336.3000 32
1419.1000 2336.3000 73
1458.7000 2336.3000 14
1498.4000 2336.3000 55
1538.0000 2336.3000 96
1577.6000 2336.3000 37
1617.2000 2336.3000 78
1656.9000 2336.3000 19
1696.5000 2336.3000 60
1736.1000 2336.3000 1
1775.7000 2336.3000 42
1815.4000 2336.3000 83
1855.0000 2336.3000 24
1894.6000 2336.3000 65
1934.2000 2336.3000 6
1973.8000 2336.3000 47
2013.5000 2336.3000 88
2053.1000 2336.3000 29
2092.7000 2336.3000 70
2132.3000 2336.3000 11
2172.0000 2336.3000 52
2211.6000 2336.3000 93
2251.2000 2336.3000 34
2290.8000 2336.3000 75
2330.5000 2336.3000 16
2370.1000 2336.3000 57
2409.7000 2336.3000 98
2449.3000 2336.3000 39
2489.0000 2336.3000 80
2528.6000 2336.3000 21
2568.2000 2336.3000 62
2607.8000 2336.3000 3
2647.5000 2336.3000 44
856.2000 2323.6000 85
856.2000 2298.2000 26
983.2000 2285.5000 67
1022.9000 2285.5000 8
1062.5000 2285.5000 49
1102.1000 2285.5000 90
1141.7000 2285.5000 31
1181.4000 2285.5000 72
1221.0000 2285.5000 13
1260.6000 2285.5000 54
1300.2000 2285.5000 95
1339.9000 2285.5000 36
1379.5000 2285.5000 77
1419.1000 2285.5000 18
1458.7000 2285.5000 59
1498.4000 2285.5000 100
1538.0000 2285.5000 41
1577.6000 2285.5000 82
1617.2000 2285.5000 23
1656.9000 2285.5000 64
1696.5000 2285.5000 5
1736.1000 2285.5000 46
1775.7000 2285.5000 87
1815.4000 2285.5000 28
1855.0000 2285.5000 69
1894.6000 2285.5000 10
1934.2000 2285.5000 51
1973.8000 2285.5000 92
2013.5000 2285.5000 33
2053.1000 2285.5000 74
2092.7000 2285.5000 15
2132.3000 2285.5000 56
2172.0000 2285.5000 97
2211.6000 2285.5000 38
2251.2000 2285.5000 79
2290.8000 2285.5000 20
2330.5000 2285.5000 61
2370.1000 2285.5000 2
2409.7000 2285.5000 43
2449.3000 2285.5000 84
2489.0000 2285.5000 25
2528.6000 2285.5000 66
2568.2000 2285.5000 7
2607.8000 2285.5000 48
2647.5000 2285.5000 89
1059.4000 2234.7000 30
1034.0000 2234.7000 71
1034.0000 2183.9000 12
1059.4000 2183.9000 53
983.2000 2133.1000 94
1022.9000 2133.1000 35
1062.5000 2133.1000 76
1102.1000 2133.1000 17
1141.7000 2133.1000 58
1181.4000 2133.1000 99
1221.0000 2133.1000 40
1260.6000 2133.1000 81
1300.2000 2133.1000 22
1339.9000 2133.1000 63
1379.5000 2133.1000 4
1419.1000 2133.1000 45
1458.7000 2133.1000 86
1498.4000 2133.1000 27
1538.0000 2133.1000 68
1577.6000 2133.1000 9
1617.2000 2133.1000 50
1656.9000 2133.1000 91
1696.5000 2133.1000 32
1736.1000 2133.1000 73
1775.7000 2133.1000 14
1815.4000 2133.1000 55
1855.0000 2133.1000 96
1894.6000 2133.1000 37
1934.2000 2133.1000 78
1973.8000 2133.1000 19
2013.5000 2133.1000 60
2053.1000 2133.1000 1
2092.7000 2133.1000 42
2132.3000 2133.1000 83
2172.0000 2133.1000 24
2211.6000 2133.1000 65
2251.2000 2133.1000 6
2290.8000 2133.1000 47
2330.5000 2133.1000 88
2370.1000 2133.1000 29
2409.7000 2133.1000 70
2449.3000 2133.1000 11
2489.0000 2133.1000 52
2528.6000 2133.1000 93
2568.2000 2133.1000 34
2607.8000 2133.1000 75
2647.5000 2133.1000 16
2647.5000 2082.3000 57
2607.8000 2082.3000 98
2568.2000 2082.3000 39
2528.6000 2082.3000 80
2489.0000 2082.3000 21
2449.3000 2082.3000 62
2409.7000 2082.3000 3
2370.1000 2082.3000 44
2330.5000 2082.3000 85
2290.8000 2082.3000 26
2251.2000 2082.3000 67
2211.6000 2082.3000 8
2172.0000 2082.3000 49
2132.3000 2082.3000 90
2092.7000 2082.3000 31
2053.1000 2082.3000 72
2013.5000 2082.3000 13
1973.8000 2082.3000 54
1934.2000 2082.3000 95
1894.6000 2082.3000 36
1855.0000 2082.3000 77
1815.4000 2082.3000 18
1775.7000 2082.3000 59
1736.1000 2082.3000 100
1696.5000 2082.3000 41
1656.9000 2082.3000 82
1617.2000 2082.3000 23
1577.6000 2082.3000 64
1538.0000 2082.3000 5
1498.4000 2082.3000 46
1458.7000 2082.3000 87
1419.1000 2082.3000 28
1379.5000 2082.3000 69
1339.9000 2082.3000 10
1300.2000 2082.3000 51
1260.6000 2082.3000 92
1221.0000 2082.3000 33
1181.4000 2082.3000 74
1141.7000 2082.3000 15
1102.1000 2082.3000 56
1062.5000 2082.3000 97
1022.9000 2082.3000 38
983.2000 2082.3000 79
1034.0000 2031.5000 20
1059.4000 2031.5000 61
881.6000 1993.4000 2
1034.0000 1980.7000 43
1059.4000 1980.7000 84
881.6000 1968.0000 25
856.2000 1968.0000 66
843.5000 1942.6000 7
881.6000 1942.6000 48
983.2000 1929.9000 89
1022.9000 1929.9000 30
1062.5000 1929.9000 71
1102.1000 1929.9000 12
1141.7000 1929.9000 53
1181.4000 1929.9000 94
