n 1174 
m 8 
tmax 3555.75
2017.0000 663.0000 0
2017.0000 703.0000 15
2018.0000 741.0000 56
2017.0000 779.0000 97
2016.0000 817.0000 38
2019.0000 856.0000 79
2019.0000 896.0000 20
2019.0000 935.0000 61
2031.0000 966.0000 2
1963.0000 877.0000 43
1964.0000 901.0000 84
1941.0000 934.0000 25
1862.0000 666.0000 66
1863.0000 705.0000 7
1865.0000 742.0000 48
1865.0000 780.0000 89
1865.0000 820.0000 30
1866.0000 859.0000 71
1864.0000 895.0000 12
1864.0000 938.0000 53
1972.0000 1051.0000 94
1971.0000 1090.0000 35
1972.0000 1128.0000 76
1974.0000 1168.0000 17
1973.0000 1205.0000 58
1974.0000 1245.0000 99
1974.0000 1284.0000 40
1943.0000 1110.0000 81
1915.0000 1150.0000 22
1856.0000 1053.0000 63
1856.0000 1090.0000 4
1858.0000 1130.0000 45
1857.0000 1169.0000 86
1857.0000 1207.0000 27
1858.0000 1245.0000 68
1857.0000 1286.0000 9
1820.0000 1246.0000 50
2034.0000 1360.0000 91
1860.0000 1392.0000 32
1781.0000 1390.0000 73
1976.0000 1456.0000 14
1976.0000 1494.0000 55
1975.0000 1536.0000 96
1978.0000 1573.0000 37
1978.0000 1611.0000 78
1977.0000 1651.0000 19
1977.0000 1688.0000 60
1976.0000 1728.0000 1
1979.0000 1767.0000 42
1979.0000 1806.0000 83
1978.0000 1852.0000 24
2026.0000 1573.0000 65
2026.0000 1648.0000 6
2025.0000 1729.0000 47
2036.0000 1854.0000 88
1931.0000 1775.0000 29
1901.0000 1887.0000 70
1861.0000 1456.0000 11
1859.0000 1498.0000 52
1861.0000 1537.0000 93
1859.0000 1576.0000 34
1860.0000 1614.0000 75
1861.0000 1651.0000 16
1858.0000 1691.0000 57
1861.0000 1731.0000 98
1860.0000 1768.0000 39
1865.0000 2287.0000 80
1860.0000 1853.0000 21
1979.0000 1978.0000 62
1979.0000 2015.0000 3
1979.0000 2055.0000 44
1978.0000 2097.0000 85
1981.0000 2133.0000 26
1980.0000 2092.0000 67
1980.0000 2210.0000 8
1982.0000 2248.0000 49
1981.0000 2284.0000 90
1983.0000 2326.0000 31
1984.0000 2377.0000 72
2031.0000 2376.0000 13
1952.0000 2058.0000 54
1922.0000 2093.0000 95
1933.0000 2209.0000 36
1923.0000 2250.0000 77
1862.0000 1930.0000 18
1864.0000 1979.0000 59
1864.0000 2017.0000 100
1865.0000 2056.0000 41
1865.0000 2093.0000 82
1864.0000 2136.0000 23
1866.0000 2174.0000 64
1865.0000 2214.0000 5
1866.0000 2250.0000 46
1865.0000 2291.0000 87
1868.0000 2329.0000 28
1982.0000 2459.0000 69
1983.0000 2579.0000 10
1985.0000 2541.0000 51
1985.0000 2576.0000 92
1984.0000 2616.0000 33
1986.0000 2653.0000 74
1984.0000 2671.0000 15
1988.0000 2734.0000 56
1937.0000 2696.0000 97
1906.0000 2616.0000 38
1867.0000 2414.0000 79
1867.0000 2462.0000 20
1869.0000 2502.0000 61
1869.0000 2544.0000 2
1870.0000 2578.0000 43
1867.0000 2619.0000 84
1868.0000 2657.0000 25
1871.0000 2697.0000 66
1870.0000 2736.0000 7
1958.0000 2830.0000 48
2034.0000 2857.0000 89
2035.0000 2906.0000 30
2037.0000 3218.0000 71
2038.0000 3361.0000 12
1988.0000 2985.0000 53
1989.0000 3020.0000 94
1988.0000 3061.0000 35
1990.0000 3099.0000 76
1989.0000 3139.0000 17
1989.0000 3178.0000 58
1990.0000 3214.0000 99
1990.0000 3257.0000 40
1993.0000 3365.0000 81
1921.0000 2983.0000 22
1904.0000 3103.0000 63
1870.0000 2859.0000 4
1872.0000 2938.0000 45
1872.0000 2987.0000 86
1871.0000 3027.0000 27
1874.0000 3066.0000 68
1871.0000 3104.0000 9
1873.0000 3138.0000 50
1873.0000 3180.0000 91
1873.0000 3219.0000 32
1874.0000 3258.0000 73
1758.0000 540.0000 14
1709.0000 559.0000 55
567.0000 535.0000 96
570.0000 578.0000 37
511.0000 558.0000 78
462.0000 558.0000 19
248.0000 561.0000 60
1563.0000 707.0000 1
1524.0000 707.0000 42
1486.0000 709.0000 83
1447.0000 710.0000 24
1409.0000 708.0000 65
1370.0000 709.0000 6
1332.0000 709.0000 47
1293.0000 709.0000 88
1257.0000 707.0000 29
1216.0000 709.0000 70
1180.0000 710.0000 11
1138.0000 709.0000 52
1101.0000 712.0000 93
1061.0000 710.0000 34
1024.0000 710.0000 75
985.0000 711.0000 16
946.0000 710.0000 57
908.0000 709.0000 98
874.0000 1111.0000 39
832.0000 1111.0000 80
947.0000 713.0000 21
908.0000 711.0000 62
872.0000 1110.0000 3
789.0000 627.0000 44
753.0000 712.0000 85
716.0000 713.0000 26
677.0000 712.0000 67
638.0000 710.0000 8
1564.0000 745.0000 49
1526.0000 746.0000 90
1489.0000 745.0000 31
1449.0000 745.0000 72
1409.0000 746.0000 13
1373.0000 745.0000 54
1334.0000 746.0000 95
1296.0000 745.0000 36
1258.0000 747.0000 77
1216.0000 748.0000 18
1178.0000 744.0000 59
1139.0000 748.0000 100
1096.0000 751.0000 41
1060.0000 747.0000 82
1023.0000 748.0000 23
986.0000 748.0000 64
947.0000 751.0000 5
910.0000 747.0000 46
875.0000 1146.0000 87
833.0000 1147.0000 28
792.0000 1148.0000 69
751.0000 752.0000 10
714.0000 750.0000 51
678.0000 750.0000 92
638.0000 751.0000 33
1721.0000 782.0000 74
1681.0000 782.0000 15
1641.0000 784.0000 56
1602.0000 784.0000 97
1565.0000 785.0000 38
1527.0000 784.0000 79
1489.0000 786.0000 20
1450.0000 784.0000 61
1025.0000 803.0000 2
983.0000 807.0000 43
1025.0000 845.0000 84
638.0000 788.0000 25
598.0000 792.0000 66
561.0000 790.0000 7
521.0000 790.0000 48
1627.0000 1323.0000 89
1625.0000 1282.0000 30
1627.0000 1243.0000 71
1627.0000 1205.0000 12
1622.0000 685.0000 53
1627.0000 1129.0000 94
1625.0000 1088.0000 35
1626.0000 1051.0000 76
1626.0000 984.0000 17
1606.0000 935.0000 58
1645.0000 934.0000 99
1683.0000 933.0000 40
1703.0000 985.0000 81
1720.0000 934.0000 22
1739.0000 891.0000 63
1759.0000 934.0000 4
1743.0000 1052.0000 45
1742.0000 1090.0000 86
1740.0000 1129.0000 27
1741.0000 1164.0000 68
1745.0000 1206.0000 9
1744.0000 1247.0000 50
1743.0000 1284.0000 91
1743.0000 1322.0000 32
1513.0000 1373.0000 73
1580.0000 1373.0000 14
1581.0000 1323.0000 55
1540.0000 1284.0000 96
1511.0000 1285.0000 37
1512.0000 1246.0000 78
1511.0000 1206.0000 19
1558.0000 1204.0000 60
1512.0000 1169.0000 1
1510.0000 1127.0000 42
1510.0000 1091.0000 83
1508.0000 1052.0000 24
1474.0000 1043.0000 65
1471.0000 983.0000 6
1450.0000 935.0000 47
1434.0000 906.0000 88
1491.0000 936.0000 29
1528.0000 935.0000 70
1568.0000 933.0000 11
1395.0000 987.0000 52
1395.0000 1055.0000 93
1396.0000 1092.0000 34
1394.0000 1127.0000 75
1395.0000 1168.0000 16
1396.0000 1207.0000 57
1425.0000 1228.0000 98
1396.0000 1246.0000 39
1397.0000 1285.0000 80
1398.0000 1339.0000 21
1398.0000 1458.0000 62
1340.0000 1295.0000 3
1329.0000 1169.0000 44
1280.0000 1372.0000 85
1282.0000 1322.0000 26
1282.0000 1286.0000 67
1278.0000 1243.0000 8
1281.0000 1209.0000 49
1280.0000 1170.0000 90
1280.0000 1132.0000 31
1281.0000 1092.0000 72
1281.0000 1054.0000 13
1257.0000 958.0000 54
1242.0000 984.0000 95
1165.0000 988.0000 36
1164.0000 1057.0000 77
1163.0000 1095.0000 18
1165.0000 1132.0000 59
1166.0000 1170.0000 100
1166.0000 1208.0000 41
1165.0000 1246.0000 82
1165.0000 1289.0000 23
1167.0000 1327.0000 64
1088.0000 1049.0000 5
1107.0000 1151.0000 46
1108.0000 1286.0000 87
1087.0000 1329.0000 28
1049.0000 1058.0000 69
1049.0000 1093.0000 10
1049.0000 1134.0000 51
1051.0000 1172.0000 92
1048.0000 1207.0000 33
