n 1085 
m 8 
tmax 14956.125
4080.0000 5236.0000 0
4688.0000 6468.0000 15
5296.0000 9218.0000 56
9392.0000 10956.0000 97
9536.0000 9944.0000 38
9680.0000 7106.0000 79
9936.0000 9108.0000 20
10240.0000 6248.0000 61
10544.0000 5258.0000 2
15504.0000 6050.0000 43
15552.0000 8096.0000 84
15600.0000 10032.0000 25
18864.0000 11649.0000 66
18895.5000 11330.0000 7
18928.0000 7491.0000 48
18928.0000 11154.0000 89
12496.0000 9548.0000 30
12528.0000 7128.0000 71
12560.0000 5698.0000 12
8880.0000 8888.0000 53
9984.0000 5808.0000 94
11088.0000 5038.0000 35
11952.0000 5368.0000 76
11968.0000 6468.0000 17
11984.0000 9218.0000 58
12368.0000 9218.0000 99
12432.0000 6468.0000 40
12496.0000 5368.0000 81
13264.0000 9328.0000 22
13312.0000 6688.0000 63
13360.0000 5478.0000 4
560.0000 4532.0000 45
560.0000 8514.0000 86
640.0000 5060.0000 27
720.0000 4532.0000 68
5936.0000 7986.0000 9
13776.0000 9548.0000 50
13840.0000 7128.0000 91
13904.0000 5698.0000 32
14480.0000 10956.0000 73
14624.0000 9944.0000 14
14768.0000 7106.0000 55
7856.0000 10142.0000 96
7904.0000 8316.0000 37
7952.0000 6160.0000 78
1200.0000 5940.0000 19
1712.0000 7876.0000 60
2224.0000 9922.0000 1
1488.0000 5830.0000 42
2272.0000 7656.0000 83
3056.0000 9812.0000 24
624.0000 11770.0000 65
720.0000 11572.0000 6
816.0000 7788.0000 47
349.5000 11352.0000 88
432.0000 11660.0000 29
2192.0000 4422.0000 70
2480.0000 4840.0000 11
2768.0000 4422.0000 52
3056.0000 4840.0000 93
3344.0000 4422.0000 34
3632.0000 4840.0000 75
3920.0000 4422.0000 16
3920.0000 7942.0000 57
4640.0000 11044.0000 98
5360.0000 11506.0000 39
5488.0000 7568.0000 80
5536.0000 11132.0000 21
5584.0000 11550.0000 62
1712.0000 4202.0000 3
2000.0000 4400.0000 44
2288.0000 4202.0000 85
2576.0000 4400.0000 26
2864.0000 4202.0000 67
2864.0000 5214.0000 8
3136.0000 6028.0000 49
3408.0000 8998.0000 90
3424.0000 6028.0000 31
3440.0000 5016.0000 72
7984.0000 7986.0000 13
14160.0000 9658.0000 54
14176.0000 7348.0000 95
14192.0000 5808.0000 36
14384.0000 9658.0000 77
14432.0000 7348.0000 18
14480.0000 5808.0000 59
13072.0000 8118.0000 100
1424.0000 6050.0000 41
2096.0000 8096.0000 82
2768.0000 9724.0000 23
2768.0000 11660.0000 64
2944.0000 11352.0000 5
3120.0000 11660.0000 46
7696.0000 10142.0000 87
7760.0000 8316.0000 28
7824.0000 6160.0000 69
1456.0000 6864.0000 10
2272.0000 9724.0000 51
3088.0000 10846.0000 92
12752.0000 9548.0000 33
12768.0000 7128.0000 74
12784.0000 5698.0000 15
2864.0000 10032.0000 56
3552.0000 8096.0000 97
4240.0000 6050.0000 38
8016.0000 4422.0000 79
8048.0000 4840.0000 20
8080.0000 8404.0000 61
8192.0000 4840.0000 2
8304.0000 4422.0000 43
8336.0000 4840.0000 84
8368.0000 4422.0000 25
8479.5000 4840.0000 66
8592.0000 4312.0000 7
8624.0000 4620.0000 48
8592.0000 4708.0000 89
8656.0000 4312.0000 30
8768.0000 4620.0000 71
8880.0000 4092.0000 12
8880.0000 4400.0000 53
8912.0000 4180.0000 94
8944.0000 4092.0000 35
592.0000 11176.0000 76
736.0000 10384.0000 17
880.0000 7194.0000 58
11664.0000 5698.0000 99
11856.0000 7128.0000 40
12048.0000 9548.0000 81
12976.0000 8536.0000 22
13184.0000 5104.0000 63
13392.0000 4686.0000 4
14288.0000 9658.0000 45
14304.0000 7348.0000 86
14320.0000 5808.0000 27
18384.0000 11759.0000 68
18626.5000 11550.0000 9
16208.0000 10208.0000 50
16384.0000 8448.0000 91
16560.0000 6226.0000 32
11376.0000 5038.0000 73
12384.0000 5808.0000 14
13392.0000 8888.0000 55
9968.0000 5698.0000 96
10032.0000 7128.0000 37
10096.0000 9548.0000 78
10256.0000 5698.0000 19
10816.0000 7128.0000 60
11376.0000 9548.0000 1
15824.0000 5786.0000 42
15920.0000 7568.0000 83
16016.0000 9768.0000 24
1008.0000 4312.0000 65
1056.0000 4620.0000 6
1104.0000 4312.0000 47
1104.0000 8052.0000 88
1168.0000 11484.0000 29
1232.0000 11726.0000 70
15280.0000 6270.0000 11
15600.0000 8536.0000 52
15920.0000 10252.0000 93
17360.0000 11880.0000 34
17568.0000 11792.0000 75
17776.0000 11880.0000 16
17984.0000 11792.0000 57
18192.0000 11880.0000 98
18400.0000 11792.0000 39
18608.0000 11880.0000 80
6480.0000 8624.0000 21
6528.0000 5280.0000 62
6576.0000 4642.0000 3
6160.0000 4642.0000 44
6272.0000 5280.0000 85
6384.0000 8624.0000 26
5520.0000 9988.0000 67
5552.0000 8008.0000 8
5584.0000 6006.0000 49
1968.0000 6754.0000 90
1984.0000 9504.0000 31
2000.0000 10736.0000 72
6192.0000 6754.0000 13
11344.0000 9504.0000 54
16496.0000 10736.0000 95
8944.0000 9922.0000 36
8960.0000 7876.0000 77
8976.0000 5940.0000 18
4432.0000 7194.0000 59
9824.0000 10384.0000 100
15216.0000 11176.0000 41
4496.0000 5786.0000 82
10064.0000 7568.0000 23
15632.0000 9768.0000 64
7216.0000 10032.0000 5
7360.0000 8096.0000 46
7504.0000 6050.0000 87
4720.0000 5456.0000 28
10384.0000 6908.0000 69
16048.0000 9438.0000 10
4784.0000 6490.0000 51
10624.0000 8976.0000 92
16464.0000 10472.0000 33
1296.0000 10318.0000 74
1344.5000 8316.0000 15
1296.0000 8492.0000 56
1392.0000 6160.0000 97
15696.0000 6050.0000 38
15712.0000 8096.0000 79
15728.0000 9834.0000 20
15728.0000 11770.0000 61
16352.0000 11572.0000 2
16976.0000 11770.0000 43
11792.0000 9218.0000 84
11808.0000 6468.0000 25
11824.0000 5368.0000 66
11216.0000 8118.0000 7
336.0000 11396.0000 48
352.0000 10824.0000 89
368.0000 7414.0000 30
14608.0000 10252.0000 71
14624.0000 8536.0000 12
14640.0000 6402.0000 53
13968.0000 9658.0000 94
14000.0000 7348.0000 35
14032.0000 5808.0000 76
10416.0000 6996.0000 17
10432.0000 9724.0000 58
10448.0000 10846.0000 99
9808.0000 5698.0000 40
9840.0000 7128.0000 81
9872.0000 9548.0000 22
15248.0000 5940.0000 63
15280.0000 7876.0000 4
15312.0000 9922.0000 45
13200.0000 9328.0000 86
13216.0000 6688.0000 27
13232.0000 5478.0000 68
12560.0000 10846.0000 9
12592.0000 9724.0000 50
12624.0000 6996.0000 91
3920.0000 11660.0000 32
3952.0000 11352.0000 73
3984.0000 7678.0000 14
4016.0000 6644.0000 55
4032.0000 9284.0000 96
4048.0000 10626.0000 37
4048.0000 6270.0000 78
4208.0000 8536.0000 19
4368.0000 10252.0000 60
3824.0000 10252.0000 1
3888.0000 8536.0000 42
3952.0000 6270.0000 83
4112.0000 5676.0000 24
4416.0000 7348.0000 65
4720.0000 9658.0000 6
4144.0000 6644.0000 47
4464.0000 9284.0000 88
4784.0000 10626.0000 29
4176.0000 4906.0000 70
4560.0000 5808.0000 11
4944.0000 8888.0000 52
4208.0000 5016.0000 93
4608.0000 6028.0000 34
5008.0000 8998.0000 75
528.0000 4092.0000 16
1584.0000 4180.0000 57
2640.0000 4092.0000 98
12112.0000 4466.0000 39
14752.0000 4664.0000 80
17392.0000 4158.0000 21
17392.0000 8118.0000 62
17456.0000 11572.0000 3
17392.0000 4510.0000 44
17520.0000 11770.0000 85
10800.0000 7106.0000 26
10864.0000 9944.0000 67
10928.0000 10956.0000 8
10704.0000 5478.0000 49
10720.0000 6688.0000 90
10736.0000 9328.0000 31
16688.0000 6226.0000 72
16928.0000 8448.0000 13
17168.0000 10208.0000 54
13520.0000 4576.0000 95
15776.0000 4884.0000 36
18032.0000 8426.0000 77
18063.5000 4884.0000 18
18096.0000 4268.0000 59
18096.0000 4708.0000 100
10928.0000 6732.0000 41
13680.0000 9196.0000 82
16432.0000 8382.0000 23
16736.0000 7568.0000 64
16432.0000 10582.0000 5
17040.0000 5786.0000 46
9424.0000 4928.0000 87
9472.0000 5588.0000 28
9520.0000 8778.0000 69
10256.0000 10956.0000 10
10464.0000 9944.0000 51
10672.0000 7106.0000 92
13744.0000 4686.0000 33
16091.5000 5104.0000 74
18448.0000 4378.0000 15
18448.0000 4928.0000 56
18512.5000 5104.0000 97
18576.0000 8536.0000 38
656.0000 4312.0000 79
816.0000 4620.0000 20
