n 1292 
m 10 
tmax 2540.100 
0.0000 0.0000 0
837.0000 958.3000 26
862.4000 958.3000 26
887.8000 958.3000 27
913.2000 958.3000 27
938.6000 958.3000 27
964.0000 958.3000 28
989.4000 958.3000 28
1014.8000 958.3000 29
1040.2000 958.3000 29
1065.6000 958.3000 29
1091.0000 958.3000 30
1116.4000 958.3000 30
1141.8000 958.3000 30
1167.2000 958.3000 31
1167.2000 1110.7000 33
1141.8000 1110.7000 32
1116.4000 1110.7000 32
1091.0000 1110.7000 32
1065.6000 1110.7000 31
1040.2000 1110.7000 31
1014.8000 1110.7000 31
989.4000 1110.7000 30
964.0000 1110.7000 30
938.6000 1110.7000 30
913.2000 1110.7000 29
887.8000 1110.7000 29
862.4000 1110.7000 29
837.0000 1110.7000 28
837.0000 1186.9000 30
862.4000 1186.9000 30
887.8000 1186.9000 30
913.2000 1186.9000 31
938.6000 1186.9000 31
964.0000 1186.9000 31
989.4000 1186.9000 32
1014.8000 1186.9000 32
1040.2000 1186.9000 32
1065.6000 1186.9000 33
1091.0000 1186.9000 33
1116.4000 1186.9000 33
1141.8000 1186.9000 34
1167.2000 1186.9000 34
1167.2000 1339.3000 36
1141.8000 1339.3000 36
1116.4000 1339.3000 36
1091.0000 1339.3000 35
1065.6000 1339.3000 35
1040.2000 1339.3000 35
1014.8000 1339.3000 34
989.4000 1339.3000 34
964.0000 1339.3000 34
938.6000 1339.3000 33
913.2000 1339.3000 33
887.8000 1339.3000 33
862.4000 1339.3000 32
837.0000 1339.3000 32
837.0000 1415.5000 34
862.4000 1415.5000 34
887.8000 1415.5000 34
913.2000 1415.5000 34
938.6000 1415.5000 35
964.0000 1415.5000 35
989.4000 1415.5000 35
1014.8000 1415.5000 35
1040.2000 1415.5000 36
1065.6000 1415.5000 36
1091.0000 1415.5000 36
1116.4000 1415.5000 37
1141.8000 1415.5000 37
1167.2000 1415.5000 37
1167.2000 1567.9000 40
1141.8000 1567.9000 39
1116.4000 1567.9000 39
1091.0000 1567.9000 39
1065.6000 1567.9000 39
1040.2000 1567.9000 38
1014.8000 1567.9000 38
989.4000 1567.9000 38
964.0000 1567.9000 37
938.6000 1567.9000 37
913.2000 1567.9000 37
887.8000 1567.9000 37
862.4000 1567.9000 36
837.0000 1567.9000 36
837.0000 1644.1000 38
862.4000 1644.1000 38
887.8000 1644.1000 38
913.2000 1644.1000 38
938.6000 1644.1000 39
964.0000 1644.1000 39
989.4000 1644.1000 39
1014.8000 1644.1000 39
1040.2000 1644.1000 40
1065.6000 1644.1000 40
1091.0000 1644.1000 40
1116.4000 1644.1000 40
1141.8000 1644.1000 41
1167.2000 1644.1000 41
1167.2000 1796.5000 44
1141.8000 1796.5000 43
1116.4000 1796.5000 43
1091.0000 1796.5000 43
1065.6000 1796.5000 42
1040.2000 1796.5000 42
1014.8000 1796.5000 42
989.4000 1796.5000 42
964.0000 1796.5000 41
938.6000 1796.5000 41
913.2000 1796.5000 41
887.8000 1796.5000 41
862.4000 1796.5000 41
837.0000 1796.5000 40
837.0000 1898.1000 42
862.4000 1898.1000 42
887.8000 1898.1000 43
913.2000 1898.1000 43
938.6000 1898.1000 43
964.0000 1898.1000 43
989.4000 1898.1000 43
1014.8000 1898.1000 44
1040.2000 1898.1000 44
1065.6000 1898.1000 44
1091.0000 1898.1000 44
1116.4000 1898.1000 45
1141.8000 1898.1000 45
1167.2000 1898.1000 45
1167.2000 2050.5000 48
1141.8000 2050.5000 48
1116.4000 2050.5000 47
1091.0000 2050.5000 47
1065.6000 2050.5000 47
1040.2000 2050.5000 47
1014.8000 2050.5000 46
989.4000 2050.5000 46
964.0000 2050.5000 46
938.6000 2050.5000 46
913.2000 2050.5000 46
887.8000 2050.5000 45
862.4000 2050.5000 45
837.0000 2050.5000 45
837.0000 2126.7000 46
862.4000 2126.7000 47
887.8000 2126.7000 47
913.2000 2126.7000 47
938.6000 2126.7000 47
964.0000 2126.7000 47
989.4000 2126.7000 48
1014.8000 2126.7000 48
1040.2000 2126.7000 48
1065.6000 2126.7000 48
1091.0000 2126.7000 49
1116.4000 2126.7000 49
1141.8000 2126.7000 49
1167.2000 2126.7000 49
1167.2000 2279.1000 52
1141.8000 2279.1000 52
1116.4000 2279.1000 51
1091.0000 2279.1000 51
1065.6000 2279.1000 51
1040.2000 2279.1000 51
1014.8000 2279.1000 51
989.4000 2279.1000 50
964.0000 2279.1000 50
938.6000 2279.1000 50
913.2000 2279.1000 50
887.8000 2279.1000 50
862.4000 2279.1000 49
837.0000 2279.1000 49
837.0000 2355.3000 51
862.4000 2355.3000 51
887.8000 2355.3000 51
913.2000 2355.3000 51
938.6000 2355.3000 51
964.0000 2355.3000 52
989.4000 2355.3000 52
1014.8000 2355.3000 52
1040.2000 2355.3000 52
1065.6000 2355.3000 52
1091.0000 2355.3000 53
1116.4000 2355.3000 53
1141.8000 2355.3000 53
1167.2000 2355.3000 53
