n 4462 
m 10 
tmax 9128.300 
5639.0000 6909.0000 0
5652.0000 6142.0000 18
5654.0000 6101.0000 19
5659.0000 6910.0000 1
5659.0000 6920.0000 1
5661.0000 6182.0000 17
5663.0000 6830.0000 2
5669.0000 6213.0000 16
5670.0000 6425.0000 11
5671.0000 6870.0000 2
5673.0000 6132.0000 18
5682.0000 6840.0000 2
5690.0000 6891.0000 2
5694.0000 6801.0000 3
5698.0000 6265.0000 15
5698.0000 6952.0000 2
5701.0000 6184.0000 17
5701.0000 6407.0000 12
5712.0000 6154.0000 18
5716.0000 6296.0000 15
5720.0000 6438.0000 11
5722.0000 6397.0000 12
5722.0000 6873.0000 3
5730.0000 6458.0000 11
5731.0000 6893.0000 3
5736.0000 6317.0000 14
5737.0000 6064.0000 20
5738.0000 6034.0000 20
5738.0000 6267.0000 15
5740.0000 5984.0000 22
5741.0000 6206.0000 17
5741.0000 6418.0000 12
5744.0000 6368.0000 13
5744.0000 6823.0000 4
5746.0000 6783.0000 4
5748.0000 6490.0000 10
5748.0000 6965.0000 3
5749.0000 6944.0000 3
5750.0000 6227.0000 16
5756.0000 6308.0000 14
5758.0000 6733.0000 5
5761.0000 6440.0000 11
5762.0000 6187.0000 17
5763.0000 6389.0000 13
5774.0000 6127.0000 19
5776.0000 6319.0000 14
5776.0000 6774.0000 5
5777.0000 6289.0000 15
5779.0000 6026.0000 21
5780.0000 6916.0000 4
5783.0000 6168.0000 18
5784.0000 6137.0000 18
5788.0000 6744.0000 6
5789.0000 6249.0000 16
5790.0000 5996.0000 21
5797.0000 6077.0000 20
5799.0000 6482.0000 11
5799.0000 6957.0000 4
5800.0000 6472.0000 11
5802.0000 6411.0000 12
5804.0000 6836.0000 5
5805.0000 6350.0000 14
5806.0000 6563.0000 9
5808.0000 6047.0000 20
5810.0000 6229.0000 16
5813.0000 6159.0000 18
5817.0000 6311.0000 15
5818.0000 6988.0000 5
5820.0000 6472.0000 11
5822.0000 6200.0000 17
5822.0000 6432.0000 12
5822.0000 6877.0000 5
5825.0000 6594.0000 9
5827.0000 6089.0000 20
5829.0000 6726.0000 6
5833.0000 6392.0000 13
5833.0000 6635.0000 8
5838.0000 6281.0000 15
5840.0000 6948.0000 5
5841.0000 6686.0000 7
5842.0000 6665.0000 8
5844.0000 6160.0000 18
5846.0000 6807.0000 6
5847.0000 6544.0000 10
5847.0000 6999.0000 6
5848.0000 6049.0000 21
5850.0000 6251.0000 16
5851.0000 6919.0000 5
5853.0000 6413.0000 13
5855.0000 6120.0000 19
5859.0000 6272.0000 16
5860.0000 6009.0000 22
5860.0000 6484.0000 11
5861.0000 6687.0000 8
5863.0000 6869.0000 6
5864.0000 6616.0000 9
5867.0000 6090.0000 20
5867.0000 7010.0000 6
5872.0000 6909.0000 6
5873.0000 6171.0000 18
5874.0000 6151.0000 19
5876.0000 6333.0000 15
5878.0000 6768.0000 7
5879.0000 6738.0000 7
5879.0000 6970.0000 6
5884.0000 6394.0000 13
5890.0000 6253.0000 16
5890.0000 6718.0000 8
5891.0000 6000.0000 22
5892.0000 6668.0000 8
5893.0000 6880.0000 6
5895.0000 6840.0000 7
5896.0000 6122.0000 19
5897.0000 6324.0000 15
5898.0000 6304.0000 15
5900.0000 6496.0000 12
5902.0000 5971.0000 23
5902.0000 6911.0000 6
5905.0000 6365.0000 14
5905.0000 6618.0000 9
5906.0000 7042.0000 7
5908.0000 6759.0000 7
5908.0000 7002.0000 7
5909.0000 6042.0000 21
5910.0000 6264.0000 16
5911.0000 6941.0000 7
5912.0000 6456.0000 12
5913.0000 6891.0000 7
5914.0000 6163.0000 19
5917.0000 6568.0000 10
5920.0000 6022.0000 22
5928.0000 6083.0000 20
5932.0000 6225.0000 17
5939.0000 6983.0000 8
5940.0000 6275.0000 16
5940.0000 6953.0000 7
5941.0000 6245.0000 17
5944.0000 6185.0000 18
5945.0000 5922.0000 24
5945.0000 6144.0000 19
5946.0000 6367.0000 15
5947.0000 7034.0000 8
5949.0000 6296.0000 16
5949.0000 6529.0000 12
5953.0000 6195.0000 18
5956.0000 6832.0000 8
5957.0000 6114.0000 20
5959.0000 6064.0000 21
5961.0000 6479.0000 13
5961.0000 6944.0000 8
5962.0000 6923.0000 8
5963.0000 6438.0000 13
5963.0000 6671.0000 10
5964.0000 6418.0000 14
5964.0000 6651.0000 10
5965.0000 7095.0000 9
5966.0000 6610.0000 11
5968.0000 7025.0000 8
5973.0000 6894.0000 8
5975.0000 6388.0000 15
5975.0000 6398.0000 14
5977.0000 5873.0000 25
5977.0000 6803.0000 9
5978.0000 6783.0000 9
5980.0000 6742.0000 9
5981.0000 6712.0000 9
5981.0000 6945.0000 8
5982.0000 6004.0000 22
5984.0000 5964.0000 23
5984.0000 7117.0000 10
5986.0000 6844.0000 9
5986.0000 7076.0000 9
5989.0000 5833.0000 26
5990.0000 6975.0000 9
5991.0000 6247.0000 18
5997.0000 5884.0000 25
5997.0000 7036.0000 9
5998.0000 6096.0000 21
6004.0000 5965.0000 23
6009.0000 6996.0000 9
6010.0000 6289.0000 17
6011.0000 6723.0000 10
6012.0000 6926.0000 9
6015.0000 6178.0000 19
6016.0000 6147.0000 20
6017.0000 6360.0000 16
6019.0000 5854.0000 26
6019.0000 6552.0000 12
6019.0000 7007.0000 9
6020.0000 6977.0000 9
6023.0000 6906.0000 9
6024.0000 6663.0000 11
6025.0000 5935.0000 24
6026.0000 6603.0000 12
6028.0000 6107.0000 21
6029.0000 6785.0000 10
6031.0000 6047.0000 22
6031.0000 6259.0000 18
6033.0000 6229.0000 18
6034.0000 6209.0000 19
6035.0000 6168.0000 20
6036.0000 7078.0000 10
6041.0000 5805.0000 27
6041.0000 6502.0000 13
6041.0000 6735.0000 10
6042.0000 6017.0000 23
6042.0000 6472.0000 14
6045.0000 6179.0000 19
6046.0000 5916.0000 25
6046.0000 6856.0000 10
6052.0000 6938.0000 10
6054.0000 6200.0000 19
6055.0000 6422.0000 15
6058.0000 6351.0000 16
6060.0000 6058.0000 22
6060.0000 6523.0000 13
6062.0000 6483.0000 14
6063.0000 6453.0000 15
6065.0000 5957.0000 24
6065.0000 6645.0000 12
6068.0000 6817.0000 10
6070.0000 6999.0000 10
6071.0000 6736.0000 11
6074.0000 6666.0000 12
6076.0000 6403.0000 16
6076.0000 6615.0000 12
6076.0000 7090.0000 11
6077.0000 6372.0000 16
6077.0000 9153.0000 52
6078.0000 5887.0000 26
6078.0000 6110.0000 21
6080.0000 5847.0000 27
6081.0000 5817.0000 27
