n 1380 
m 10 
tmax 2831.900 
2918.0000 6528.0000 0
2925.0000 6597.0000 3
2926.0000 6609.0000 3
2927.0000 6312.0000 8
2930.0000 6328.0000 8
2934.0000 6545.0000 1
2938.0000 7412.0000 33
2941.0000 6456.0000 3
2945.0000 6284.0000 10
2947.0000 6663.0000 6
2948.0000 6513.0000 2
2948.0000 7456.0000 35
2950.0000 6350.0000 7
2950.0000 6480.0000 3
2951.0000 7293.0000 29
2959.0000 6385.0000 6
2963.0000 6476.0000 3
2965.0000 6450.0000 4
2965.0000 6602.0000 4
2968.0000 7322.0000 30
2969.0000 6212.0000 12
2972.0000 6406.0000 5
2973.0000 6671.0000 6
2977.0000 6493.0000 3
2981.0000 6576.0000 3
2982.0000 6333.0000 8
2983.0000 7487.0000 36
2987.0000 6551.0000 3
2995.0000 7425.0000 34
3001.0000 6577.0000 4
3002.0000 6598.0000 5
3004.0000 6394.0000 6
3005.0000 6345.0000 8
3007.0000 7303.0000 29
3009.0000 6209.0000 13
3009.0000 6657.0000 6
3010.0000 6230.0000 12
3010.0000 6643.0000 6
3014.0000 6478.0000 4
3018.0000 6382.0000 7
3019.0000 7435.0000 34
3020.0000 6429.0000 6
3021.0000 6137.0000 15
3024.0000 6768.0000 10
3025.0000 6547.0000 5
3026.0000 6604.0000 5
3026.0000 7407.0000 33
3026.0000 7421.0000 34
3029.0000 5998.0000 20
3029.0000 6048.0000 19
3033.0000 6180.0000 14
3033.0000 6639.0000 6
3035.0000 6801.0000 11
3036.0000 6232.0000 12
3036.0000 6669.0000 7
3038.0000 7183.0000 25
3038.0000 7291.0000 29
3042.0000 7212.0000 26
3045.0000 6035.0000 19
3045.0000 6846.0000 13
3046.0000 6527.0000 5
3046.0000 7502.0000 37
3048.0000 6270.0000 11
3048.0000 6488.0000 6
3048.0000 6886.0000 15
3049.0000 6691.0000 8
3051.0000 6572.0000 6
3052.0000 6596.0000 6
3052.0000 6753.0000 10
3053.0000 6639.0000 7
3055.0000 7323.0000 30
3056.0000 7378.0000 32
3057.0000 6012.0000 20
3057.0000 6351.0000 9
3058.0000 6070.0000 18
3062.0000 7227.0000 27
3063.0000 6054.0000 19
3064.0000 6217.0000 13
3065.0000 6534.0000 6
3068.0000 6450.0000 7
3068.0000 6788.0000 12
3068.0000 7146.0000 24
3072.0000 6121.0000 17
3076.0000 6326.0000 10
3078.0000 6724.0000 10
3079.0000 6259.0000 12
3080.0000 6857.0000 14
3082.0000 6348.0000 9
3083.0000 6505.0000 7
3086.0000 7082.0000 22
3087.0000 6768.0000 11
3087.0000 7046.0000 21
3088.0000 6091.0000 18
3088.0000 7339.0000 31
3090.0000 6962.0000 18
3093.0000 6059.0000 19
3093.0000 6374.0000 9
3093.0000 6414.0000 8
3093.0000 7177.0000 25
3095.0000 6567.0000 7
3096.0000 6686.0000 9
3097.0000 6766.0000 11
3097.0000 6984.0000 19
3099.0000 6275.0000 12
3099.0000 6833.0000 14
3101.0000 7028.0000 20
3102.0000 6459.0000 8
3103.0000 7463.0000 36
3104.0000 6870.0000 15
3107.0000 6900.0000 16
3110.0000 6091.0000 18
3113.0000 6336.0000 11
3115.0000 7272.0000 29
3116.0000 6445.0000 8
3116.0000 6489.0000 8
3117.0000 7239.0000 28
3118.0000 7194.0000 26
3122.0000 6617.0000 9
3124.0000 6563.0000 8
3124.0000 7075.0000 22
3125.0000 7161.0000 25
3128.0000 6113.0000 18
3130.0000 7349.0000 32
3135.0000 6650.0000 10
3139.0000 6528.0000 9
3140.0000 6372.0000 10
3140.0000 6807.0000 14
3141.0000 6324.0000 12
3143.0000 6440.0000 9
3143.0000 7104.0000 23
3144.0000 6595.0000 9
3145.0000 5877.0000 26
3145.0000 6750.0000 12
3145.0000 7447.0000 35
3146.0000 6063.0000 20
3147.0000 6176.0000 16
3147.0000 6981.0000 19
3148.0000 6097.0000 19
3148.0000 6902.0000 17
3148.0000 7403.0000 34
3152.0000 6204.0000 15
3155.0000 6692.0000 11
3157.0000 5987.0000 22
3159.0000 5921.0000 25
3159.0000 6482.0000 10
3161.0000 6627.0000 10
3163.0000 6220.0000 15
3165.0000 6020.0000 21
3167.0000 6844.0000 15
3170.0000 6146.0000 17
3170.0000 7025.0000 21
3171.0000 6372.0000 11
3175.0000 6440.0000 11
3175.0000 7163.0000 26
3176.0000 7033.0000 21
3177.0000 6887.0000 17
3179.0000 6246.0000 15
3179.0000 7078.0000 23
3182.0000 6331.0000 13
3182.0000 6578.0000 10
3182.0000 6810.0000 15
3183.0000 5959.0000 24
3183.0000 7202.0000 27
3186.0000 6354.0000 12
3186.0000 6469.0000 11
3188.0000 6184.0000 17
3188.0000 6672.0000 12
3188.0000 7242.0000 29
3188.0000 7304.0000 31
3189.0000 6617.0000 11
3194.0000 5840.0000 28
3194.0000 6531.0000 11
3195.0000 6031.0000 21
3196.0000 7354.0000 33
3201.0000 6507.0000 11
3203.0000 6221.0000 16
3203.0000 6930.0000 19
3203.0000 7370.0000 33
3205.0000 6412.0000 12
3205.0000 7014.0000 21
3206.0000 7425.0000 35
3208.0000 6743.0000 14
3208.0000 6860.0000 17
3211.0000 5999.0000 23
3212.0000 6360.0000 13
3214.0000 6564.0000 11
3214.0000 7119.0000 25
3215.0000 6709.0000 13
3216.0000 6115.0000 19
3217.0000 7074.0000 23
3218.0000 6482.0000 12
3218.0000 6673.0000 13
3219.0000 6636.0000 12
3220.0000 6396.0000 13
3220.0000 6868.0000 17
3222.0000 6992.0000 21
3224.0000 6262.0000 15
3225.0000 6180.0000 18
3225.0000 7283.0000 31
3227.0000 6951.0000 20
3228.0000 6241.0000 16
3228.0000 7468.0000 37
3230.0000 6050.0000 22
3230.0000 6303.0000 15
3231.0000 6833.0000 17
3234.0000 6449.0000 13
3240.0000 7257.0000 30
3241.0000 5956.0000 25
3241.0000 6806.0000 16
3244.0000 6696.0000 14
3245.0000 6479.0000 13
3245.0000 7040.0000 23
3247.0000 6222.0000 17
3247.0000 6594.0000 13
3247.0000 7384.0000 34
3251.0000 6670.0000 14
3252.0000 6879.0000 18
3253.0000 7013.0000 22
3253.0000 7334.0000 33
3253.0000 7451.0000 37
3254.0000 6637.0000 14
3255.0000 5840.0000 29
3257.0000 6251.0000 17
3258.0000 6503.0000 13
3259.0000 6332.0000 15
3261.0000 6101.0000 21
3262.0000 6982.0000 22
3264.0000 6735.0000 15
3266.0000 5874.0000 28
3267.0000 6133.0000 20
3268.0000 6938.0000 20
3269.0000 7278.0000 31
3270.0000 6012.0000 24
3270.0000 6558.0000 14
3272.0000 5994.0000 24
3275.0000 7480.0000 38
3276.0000 6459.0000 14
3278.0000 7163.0000 27
3281.0000 6521.0000 14
3282.0000 6792.0000 17
3284.0000 5940.0000 26
3285.0000 7434.0000 37
3288.0000 6170.0000 19
3288.0000 6294.0000 17
3289.0000 6203.0000 19
3289.0000 6817.0000 18
3292.0000 6452.0000 15
3294.0000 6654.0000 15
3295.0000 6737.0000 16
3296.0000 6114.0000 21
3296.0000 6342.0000 16
3296.0000 6512.0000 14
3296.0000 6602.0000 15
3296.0000 7079.0000 25
3301.0000 6897.0000 20
3302.0000 6138.0000 21
3302.0000 6364.0000 16
3302.0000 6572.0000 15
3303.0000 7012.0000 23
3304.0000 6231.0000 18
