n 1003 
m 10 
tmax 12952.300 
1150.0000 4000.0000 0
1050.0000 2750.0000 8
1150.0000 2250.0000 11
1250.0000 2050.0000 12
1350.0000 2350.0000 10
1050.0000 1550.0000 15
3350.0000 1700.0000 19
3450.0000 1450.0000 21
3550.0000 1600.0000 20
3950.0000 1700.0000 22
4050.0000 2000.0000 21
4050.0000 2150.0000 21
4250.0000 1650.0000 23
4150.0000 1500.0000 23
4450.0000 1450.0000 25
4400.0000 1700.0000 24
4600.0000 1850.0000 24
4900.0000 1550.0000 27
5100.0000 1550.0000 28
5350.0000 1450.0000 29
4950.0000 1700.0000 26
4850.0000 1900.0000 25
4900.0000 2050.0000 25
5000.0000 2150.0000 25
5100.0000 2050.0000 26
5400.0000 2050.0000 28
5750.0000 2000.0000 30
5900.0000 2050.0000 31
5600.0000 2250.0000 28
5400.0000 2300.0000 27
5250.0000 2250.0000 27
5000.0000 2350.0000 25
5000.0000 2550.0000 25
5050.0000 2800.0000 24
5250.0000 2750.0000 26
5450.0000 2750.0000 27
5400.0000 2950.0000 26
5200.0000 3150.0000 25
5050.0000 3100.0000 24
4950.0000 3300.0000 23
5100.0000 3600.0000 24
5200.0000 3650.0000 24
5350.0000 3750.0000 25
5450.0000 3750.0000 26
5600.0000 3750.0000 27
5600.0000 4250.0000 27
5450.0000 4250.0000 26
5350.0000 4150.0000 25
5050.0000 3800.0000 23
4950.0000 3500.0000 23
4700.0000 3500.0000 21
4400.0000 3700.0000 20
4450.0000 3500.0000 20
4100.0000 3500.0000 18
4150.0000 3300.0000 19
4100.0000 3150.0000 18
4300.0000 3300.0000 19
4500.0000 3150.0000 21
4500.0000 2950.0000 21
4700.0000 3000.0000 22
4700.0000 2800.0000 22
4700.0000 2500.0000 23
4600.0000 2350.0000 23
4550.0000 2500.0000 22
4550.0000 2800.0000 22
4300.0000 2800.0000 20
4100.0000 2950.0000 19
3700.0000 2800.0000 17
3550.0000 2800.0000 16
3400.0000 2700.0000 16
3400.0000 3200.0000 14
3700.0000 3100.0000 16
3550.0000 3300.0000 15
3350.0000 4250.0000 13
3350.0000 4650.0000 14
3250.0000 5200.0000 15
4000.0000 5050.0000 18
4100.0000 4750.0000 18
3950.0000 4650.0000 17
3950.0000 4250.0000 17
4200.0000 4150.0000 18
4200.0000 4550.0000 19
4500.0000 4400.0000 20
4700.0000 4350.0000 21
4700.0000 4750.0000 22
4500.0000 4800.0000 21
4500.0000 4950.0000 21
4350.0000 4750.0000 20
4350.0000 4900.0000 20
4247.0000 5150.0000 20
4354.0000 5256.0000 21
4247.0000 5256.0000 20
4100.0000 5250.0000 19
4100.0000 5350.0000 19
4000.0000 5550.0000 19
4199.0000 5554.0000 21
4305.0000 5554.0000 21
4304.0000 5447.0000 21
4500.0000 5450.0000 22
4500.0000 6050.0000 23
4650.0000 6000.0000 24
4800.0000 6100.0000 25
5050.0000 6050.0000 26
5150.0000 6150.0000 27
5300.0000 6050.0000 28
5400.0000 6050.0000 28
5150.0000 5500.0000 25
5250.0000 5350.0000 26
5300.0000 5150.0000 26
5650.0000 5350.0000 28
5800.0000 5350.0000 29
5650.0000 5500.0000 28
5800.0000 5500.0000 29
5750.0000 5700.0000 29
5750.0000 5850.0000 29
5700.0000 6000.0000 30
5700.0000 6150.0000 30
5550.0000 6000.0000 29
5550.0000 6150.0000 29
6000.0000 6600.0000 33
6000.0000 7000.0000 34
5550.0000 6650.0000 31
5400.0000 6550.0000 29
5300.0000 6450.0000 29
5150.0000 6550.0000 28
5150.0000 7000.0000 30
5050.0000 6550.0000 28
4800.0000 6500.0000 26
4650.0000 6400.0000 25
4500.0000 6550.0000 25
4250.0000 6700.0000 25
4250.0000 6350.0000 23
4250.0000 5950.0000 22
4100.0000 5850.0000 21
3950.0000 5950.0000 20
3800.0000 5950.0000 20
3950.0000 6350.0000 22
3800.0000 6350.0000 21
3250.0000 7000.0000 22
3300.0000 7450.0000 24
3300.0000 7550.0000 25
3900.0000 7850.0000 28
4250.0000 7800.0000 29
4400.0000 7750.0000 30
4250.0000 7300.0000 27
4450.0000 7450.0000 28
4650.0000 7450.0000 29
4550.0000 7650.0000 30
4550.0000 7900.0000 31
4650.0000 8150.0000 32
4400.0000 8250.0000 32
4250.0000 8250.0000 31
4550.0000 8750.0000 35
4550.0000 8950.0000 36
4250.0000 9250.0000 36
4300.0000 9450.0000 37
4500.0000 9750.0000 39
4300.0000 9950.0000 40
4300.0000 10150.0000 41
4100.0000 10150.0000 40
3900.0000 10150.0000 40
4200.0000 9850.0000 39
4050.0000 9700.0000 38
4200.0000 9450.0000 37
4050.0000 9200.0000 35
3900.0000 9250.0000 35
3750.0000 9500.0000 36
3450.0000 9450.0000 35
3300.0000 9350.0000 34
3300.0000 10650.0000 41
3450.0000 10450.0000 41
3750.0000 10500.0000 41
3600.0000 11100.0000 44
3750.0000 11200.0000 45
3750.0000 11400.0000 46
3600.0000 11600.0000 47
3900.0000 11550.0000 47
3900.0000 11400.0000 47
3900.0000 11150.0000 45
4100.0000 11150.0000 46
4300.0000 11150.0000 46
4600.0000 11100.0000 47
4600.0000 10850.0000 45
4550.0000 10550.0000 44
4500.0000 10250.0000 42
5600.0000 9750.0000 43
5600.0000 10250.0000 45
5950.0000 10250.0000 47
6100.0000 10250.0000 47
6250.0000 10200.0000 47
6400.0000 10300.0000 48
6200.0000 10300.0000 48
6150.0000 10400.0000 48
5950.0000 10550.0000 48
5650.0000 10550.0000 47
5600.0000 10850.0000 48
5950.0000 10850.0000 49
6050.0000 11050.0000 51
6150.0000 11050.0000 51
6200.0000 11150.0000 52
5950.0000 11150.0000 51
5600.0000 11100.0000 49
5950.0000 11650.0000 53
6050.0000 11550.0000 53
6450.0000 11550.0000 54
6350.0000 11350.0000 53
6550.0000 11350.0000 54
6500.0000 11150.0000 53
6650.0000 11050.0000 53
6950.0000 11250.0000 55
6950.0000 10650.0000 52
7000.0000 10500.0000 52
7200.0000 10500.0000 52
7200.0000 10200.0000 51
7100.0000 10250.0000 51
7050.0000 10400.0000 51
6900.0000 10450.0000 51
6700.0000 10300.0000 50
