n 1433 
m 10 
tmax 7648.500 
3900.0000 5500.0000 0
4000.0000 5400.0000 3
3900.0000 5300.0000 4
3900.0000 5400.0000 2
3800.0000 5500.0000 2
4000.0000 5300.0000 4
4200.0000 5400.0000 6
4300.0000 5300.0000 8
4300.0000 5200.0000 9
4200.0000 5200.0000 8
4100.0000 5200.0000 7
4000.0000 5200.0000 6
3900.0000 5200.0000 6
3800.0000 5200.0000 6
3700.0000 5200.0000 7
3800.0000 5100.0000 8
3900.0000 5100.0000 7
4000.0000 5100.0000 8
4100.0000 5000.0000 10
4000.0000 5000.0000 9
3900.0000 5000.0000 9
3900.0000 4900.0000 11
4000.0000 4900.0000 11
4000.0000 4800.0000 13
4100.0000 4800.0000 13
4000.0000 4700.0000 14
3900.0000 4800.0000 13
3900.0000 4700.0000 14
3700.0000 4700.0000 15
3800.0000 4700.0000 14
3900.0000 4600.0000 16
4000.0000 4600.0000 16
4100.0000 4700.0000 15
4100.0000 4600.0000 16
4100.0000 4500.0000 18
4100.0000 4400.0000 20
4000.0000 4400.0000 19
3900.0000 4500.0000 18
3900.0000 4400.0000 19
3800.0000 4500.0000 18
3700.0000 4500.0000 18
3700.0000 4400.0000 20
3800.0000 4400.0000 19
3900.0000 4300.0000 21
3800.0000 4300.0000 21
3800.0000 4200.0000 23
3900.0000 4200.0000 23
4000.0000 4300.0000 21
4000.0000 4200.0000 23
3900.0000 4100.0000 25
3700.0000 4300.0000 21
3700.0000 4200.0000 23
3700.0000 4100.0000 25
3600.0000 4100.0000 25
3700.0000 4000.0000 26
3600.0000 4000.0000 27
3500.0000 4000.0000 27
3600.0000 3900.0000 28
3700.0000 3900.0000 28
3800.0000 4000.0000 26
3800.0000 3900.0000 28
3900.0000 4000.0000 26
3900.0000 3900.0000 28
3900.0000 3800.0000 30
4000.0000 3900.0000 28
4100.0000 3900.0000 28
4100.0000 4000.0000 26
4000.0000 4000.0000 26
4100.0000 4100.0000 25
4200.0000 4200.0000 23
4100.0000 4300.0000 21
4100.0000 4200.0000 23
4200.0000 4100.0000 25
4200.0000 4000.0000 27
4300.0000 4100.0000 26
4300.0000 4200.0000 24
4300.0000 4300.0000 22
4300.0000 4400.0000 21
4400.0000 4300.0000 23
4500.0000 4200.0000 25
4500.0000 4300.0000 24
4700.0000 4400.0000 24
4600.0000 4400.0000 23
4500.0000 4400.0000 22
4300.0000 4500.0000 19
4300.0000 4600.0000 17
4300.0000 4700.0000 16
4300.0000 4800.0000 14
4300.0000 4900.0000 13
4500.0000 4700.0000 18
4500.0000 4800.0000 16
4500.0000 4900.0000 15
4500.0000 5000.0000 14
4400.0000 5000.0000 13
4300.0000 5100.0000 10
4300.0000 5000.0000 11
4500.0000 5100.0000 13
4600.0000 5100.0000 14
4500.0000 5200.0000 12
4400.0000 5200.0000 11
4500.0000 5300.0000 11
4500.0000 5400.0000 11
4400.0000 5300.0000 10
4300.0000 5400.0000 8
4300.0000 5500.0000 7
4300.0000 5600.0000 8
4300.0000 5700.0000 8
4400.0000 5600.0000 9
4500.0000 5600.0000 11
4400.0000 5700.0000 10
4500.0000 5800.0000 12
4500.0000 5900.0000 13
4600.0000 5900.0000 14
4600.0000 5800.0000 14
4300.0000 5800.0000 9
4300.0000 5900.0000 10
4300.0000 6000.0000 11
4400.0000 5900.0000 11
4500.0000 6000.0000 14
4400.0000 6100.0000 14
4500.0000 6200.0000 16
4500.0000 6100.0000 15
4400.0000 6200.0000 15
4500.0000 6300.0000 18
4400.0000 6300.0000 17
4400.0000 6400.0000 18
4300.0000 6300.0000 16
4200.0000 6400.0000 17
4300.0000 6400.0000 17
4300.0000 6500.0000 19
4300.0000 6600.0000 21
4400.0000 6600.0000 21
4500.0000 6500.0000 21
4500.0000 6400.0000 19
4600.0000 6500.0000 21
4600.0000 6400.0000 20
4700.0000 6300.0000 20
4700.0000 6200.0000 19
4800.0000 6200.0000 20
4800.0000 6300.0000 21
4800.0000 6400.0000 22
4700.0000 6500.0000 23
4800.0000 6600.0000 25
