n 1578 
m 2 
tmax 5562.5
1214.8800 1959.4900 0
1226.7000 1959.4900 1
1238.5300 1959.4900 2
1250.3500 1959.4900 2
1262.1800 1959.4900 3
1285.8200 1959.4900 4
1297.6500 1959.4900 5
1350.8500 1965.3900 7
1380.4100 1971.3000 9
1392.2400 1971.3000 10
1303.5600 1953.5800 5
1173.5000 1941.7700 3
1185.3200 1941.7700 2
1197.1500 1941.7700 2
1208.9700 1941.7700 1
1339.0300 1941.7700 7
1350.8500 1941.7700 7
1362.6800 1941.7700 8
1374.5000 1941.7700 9
1386.3200 1941.7700 9
1398.1500 1941.7700 10
1262.1800 1935.8700 3
1250.3500 1935.8700 3
1238.5300 1935.8700 2
1226.7000 1935.8700 2
1214.8800 1935.8700 2
1155.7600 1935.8700 4
1143.9400 1935.8700 4
1132.1100 1935.8700 5
1120.2900 1935.8700 5
1108.4700 1935.8700 6
1138.0300 1929.9600 5
1149.8500 1929.9600 4
1161.6700 1929.9600 4
1173.5000 1929.9600 3
1185.3200 1929.9600 3
1303.5600 1929.9600 5
1315.3800 1929.9600 6
1327.2000 1929.9600 6
1339.0300 1929.9600 7
1350.8500 1929.9600 8
1356.7700 1924.0600 8
1344.9400 1924.0600 7
1333.1200 1924.0600 7
1321.2900 1924.0600 6
1309.4700 1924.0600 6
1214.8800 1924.0600 2
1203.0600 1924.0600 2
1191.2300 1924.0600 3
1179.4100 1924.0600 3
1197.1500 1918.1500 3
1208.9700 1918.1500 3
1279.9100 1918.1500 4
1291.7300 1918.1500 5
1303.5600 1918.1500 6
1386.3200 1918.1500 9
1398.1500 1918.1500 10
1409.9700 1918.1500 11
1226.7000 1912.2500 3
1214.8800 1912.2500 3
1203.0600 1912.2500 3
1191.2300 1912.2500 3
1078.9100 1906.3400 8
1090.7300 1906.3400 7
1102.5600 1906.3400 7
1114.3800 1906.3400 6
1126.2000 1906.3400 6
1138.0300 1906.3400 5
1149.8500 1906.3400 5
1256.2600 1906.3400 4
1268.0900 1906.3400 4
1279.9100 1906.3400 5
1291.7300 1906.3400 5
1303.5600 1906.3400 6
1339.0300 1906.3400 7
1350.8500 1906.3400 8
1362.6800 1906.3400 9
1344.9400 1900.4400 8
1333.1200 1900.4400 7
1321.2900 1900.4400 7
1309.4700 1900.4400 6
1279.9100 1894.5300 5
1268.0900 1894.5300 5
1256.2600 1894.5300 4
1244.4400 1894.5300 4
1149.8500 1894.5300 5
1138.0300 1894.5300 6
1126.2000 1894.5300 6
1114.3800 1894.5300 7
1102.5600 1894.5300 7
1090.7300 1894.5300 8
1285.8200 1888.6300 6
1297.6500 1888.6300 6
1309.4700 1888.6300 7
1321.2900 1888.6300 7
1409.9700 1882.7200 11
1398.1500 1882.7200 11
1386.3200 1882.7200 10
1303.5600 1882.7200 6
1291.7300 1882.7200 6
1279.9100 1882.7200 6
1126.2000 1882.7200 6
1114.3800 1882.7200 7
1102.5600 1882.7200 7
1090.7300 1882.7200 8
1333.1200 1876.8200 8
1344.9400 1876.8200 8
1356.7700 1876.8200 9
1368.5900 1876.8200 9
1380.4100 1876.8200 10
1374.5000 1870.9100 10
1362.6800 1870.9100 9
1350.8500 1870.9100 9
1339.0300 1870.9100 8
1327.2000 1870.9100 8
1244.4400 1870.9100 5
1232.6200 1870.9100 5
1220.7900 1870.9100 5
1208.9700 1870.9100 5
1197.1500 1870.9100 5
1185.3200 1870.9100 5
1173.5000 1870.9100 6
1161.6700 1870.9100 6
1149.8500 1870.9100 6
1138.0300 1870.9100 6
1214.8800 1865.0100 5
1226.7000 1865.0100 5
1238.5300 1865.0100 5
1250.3500 1865.0100 6
1262.1800 1865.0100 6
1274.0000 1865.0100 6
1285.8200 1865.0100 7
1297.6500 1865.0100 7
1309.4700 1865.0100 7
1664.1800 1746.9100 26
670.9920 1746.9100 30
676.9040 1741.0000 30
688.7280 1741.0000 30
700.5510 1741.0000 29
712.3750 1741.0000 28
724.1990 1741.0000 28
736.0220 1741.0000 27
1670.0900 1741.0000 26
1681.9200 1741.0000 27
1693.7400 1741.0000 27
1705.5600 1741.0000 28
1717.3900 1741.0000 28
1729.2100 1741.0000 29
1865.1800 1723.2900 36
1853.3600 1723.2900 35
871.9940 1723.2900 22
860.1710 1723.2900 22
777.4050 1522.5200 32
789.2290 1522.5200 32
801.0530 1522.5200 31
812.8760 1522.5200 31
824.7000 1522.5200 30
1770.5900 1522.5200 37
1782.4200 1522.5200 37
1794.2400 1522.5200 38
1806.0600 1522.5200 38
1817.8900 1522.5200 39
1244.4400 1516.6100 23
1232.6200 1516.6100 23
1220.7900 1516.6100 23
1208.9700 1516.6100 23
1197.1500 1516.6100 23
1185.3200 1516.6100 23
1173.5000 1516.6100 23
1161.6700 1516.6100 23
1149.8500 1516.6100 23
1138.0300 1516.6100 23
1126.2000 1516.6100 24
1114.3800 1516.6100 24
1102.5600 1516.6100 24
1090.7300 1516.6100 24
1078.9100 1516.6100 24
1067.0800 1516.6100 24
1055.2600 1516.6100 25
1043.4400 1516.6100 25
1031.6100 1516.6100 25
1019.7900 1516.6100 25
1007.9700 1516.6100 25
996.1430 1516.6100 26
984.3190 1516.6100 26
972.4960 1516.6100 26
960.6720 1516.6100 27
948.8480 1516.6100 27
937.0250 1516.6100 27
925.2010 1516.6100 28
913.3770 1516.6100 28
901.5540 1516.6100 28
889.7300 1516.6100 29
877.9060 1516.6100 29
866.0830 1516.6100 29
854.2590 1516.6100 30
842.4350 1516.6100 30
830.6120 1516.6100 30
818.7880 1516.6100 31
806.9640 1516.6100 31
795.1410 1516.6100 32
783.3170 1516.6100 32
771.4940 1516.6100 33
759.6700 1516.6100 33
747.8460 1516.6100 33
736.0220 1516.6100 34
724.1990 1516.6100 34
712.3750 1516.6100 35
700.5510 1516.6100 35
688.7280 1516.6100 36
676.9040 1516.6100 36
665.0810 1516.6100 37
653.2570 1516.6100 37
641.4330 1516.6100 38
629.6090 1516.6100 38
617.7860 1516.6100 38
605.9620 1516.6100 39
594.1380 1516.6100 39
582.3150 1516.6100 40
570.4910 1516.6100 40
558.6680 1516.6100 41
546.8440 1516.6100 41
535.0200 1516.6100 42
523.1960 1516.6100 42
511.3730 1516.6100 43
499.5490 1516.6100 43
487.7250 1516.6100 44
475.9020 1516.6100 45
464.0780 1516.6100 45
452.2550 1516.6100 46
440.4310 1516.6100 46
428.6070 1516.6100 47
416.7840 1516.6100 47
404.9600 1516.6100 48
393.1360 1516.6100 48
381.3130 1516.6100 49
369.4890 1516.6100 49
357.6650 1516.6100 50
345.8420 1516.6100 50
375.4010 1487.0800 50
387.2240 1487.0800 49
399.0480 1487.0800 49
410.8720 1487.0800 48
422.6960 1487.0800 48
434.5190 1487.0800 47
446.3430 1487.0800 47
458.1660 1487.0800 46
469.9900 1487.0800 46
481.8140 1487.0800 45
493.6370 1487.0800 45
505.4610 1487.0800 44
517.2850 1487.0800 44
529.1080 1487.0800 43
540.9320 1487.0800 43
552.7560 1487.0800 42
564.5790 1487.0800 42
576.4030 1487.0800 41
588.2270 1487.0800 41
600.0500 1487.0800 40
611.8740 1487.0800 40
623.6980 1487.0800 39
635.5210 1487.0800 39
647.3450 1487.0800 38
659.1690 1487.0800 38
670.9920 1487.0800 37
682.8160 1487.0800 37
694.6400 1487.0800 36
706.4630 1487.0800 36
718.2870 1487.0800 35
730.1110 1487.0800 35
741.9340 1487.0800 35
753.7580 1487.0800 34
765.5810 1487.0800 34
777.4050 1487.0800 33
789.2290 1487.0800 33
801.0530 1487.0800 33
812.8760 1487.0800 32
824.7000 1487.0800 32
836.5240 1487.0800 31
848.3470 1487.0800 31
860.1710 1487.0800 31
871.9940 1487.0800 30
883.8180 1487.0800 30
895.6420 1487.0800 30
907.4660 1487.0800 29
919.2890 1487.0800 29
931.1130 1487.0800 29
942.9370 1487.0800 28
954.7600 1487.0800 28
966.5840 1487.0800 28
978.4070 1487.0800 27
990.2310 1487.0800 27
1002.0500 1487.0800 27
1013.8800 1487.0800 27
1025.7000 1487.0800 26
1037.5300 1487.0800 26
1049.3500 1487.0800 26
1061.1700 1487.0800 26
1073.0000 1487.0800 26
1084.8200 1487.0800 26
1096.6400 1487.0800 25
1108.4700 1487.0800 25
1120.2900 1487.0800 25
1132.1100 1487.0800 25
1143.9400 1487.0800 25
1155.7600 1487.0800 25
1167.5900 1487.0800 25
1179.4100 1487.0800 25
1191.2300 1487.0800 25
1203.0600 1487.0800 25
1214.8800 1487.0800 25
2066.1800 1475.2800 50
2054.3600 1475.2800 50
2042.5400 1475.2800 49
2030.7100 1475.2800 49
2018.8900 1475.2800 48
2007.0700 1475.2800 48
1995.2400 1475.2800 47
1983.4200 1475.2800 47
1971.5900 1475.2800 46
1959.7700 1475.2800 46
1947.9500 1475.2800 45
1936.1200 1475.2800 45
1924.3000 1475.2800 44
1912.4800 1475.2800 44
1900.6500 1475.2800 43
1888.8300 1475.2800 43
1877.0100 1475.2800 42
1865.1800 1475.2800 42
1853.3600 1475.2800 41
1841.5400 1475.2800 41
1829.7100 1475.2800 40
1817.8900 1475.2800 40
1806.0600 1475.2800 40
1794.2400 1475.2800 39
1782.4200 1475.2800 39
1770.5900 1475.2800 38
1758.7700 1475.2800 38
1746.9500 1475.2800 37
1735.1200 1475.2800 37
1723.3000 1475.2800 36
1711.4700 1475.2800 36
1699.6500 1475.2800 35
1687.8300 1475.2800 35
1676.0000 1475.2800 35
1664.1800 1475.2800 34
1652.3600 1475.2800 34
1640.5300 1475.2800 33
1628.7100 1475.2800 33
1616.8900 1475.2800 33
1605.0600 1475.2800 32
1593.2400 1475.2800 32
1581.4100 1475.2800 31
1569.5900 1475.2800 31
1557.7700 1475.2800 31
1545.9400 1475.2800 30
1534.1200 1475.2800 30
1522.3000 1475.2800 30
1510.4700 1475.2800 29
1498.6500 1475.2800 29
1486.8200 1475.2800 29
1475.0000 1475.2800 29
1463.1800 1475.2800 28
1451.3500 1475.2800 28
1439.5300 1475.2800 28
1427.7100 1475.2800 28
1415.8800 1475.2800 27
1404.0600 1475.2800 27
1392.2400 1475.2800 27
1380.4100 1475.2800 27
1368.5900 1475.2800 26
1356.7700 1475.2800 26
1344.9400 1475.2800 26
1333.1200 1475.2800 26
1321.2900 1475.2800 26
1309.4700 1475.2800 26
1297.6500 1475.2800 26
1285.8200 1475.2800 25
1274.0000 1475.2800 25
1262.1800 1475.2800 25
1250.3500 1475.2800 25
1238.5300 1475.2800 25
1226.7000 1475.2800 25
1214.8800 1475.2800 25
1256.2600 1445.7500 27
1268.0900 1445.7500 27
1279.9100 1445.7500 27
1291.7300 1445.7500 27
1303.5600 1445.7500 27
1315.3800 1445.7500 27
1327.2000 1445.7500 27
1339.0300 1445.7500 28
1350.8500 1445.7500 28
1362.6800 1445.7500 28
1374.5000 1445.7500 28
1386.3200 1445.7500 28
1398.1500 1445.7500 28
1409.9700 1445.7500 29
1421.8000 1445.7500 29
1433.6200 1445.7500 29
1445.4400 1445.7500 29
1457.2700 1445.7500 30
1469.0900 1445.7500 30
1480.9100 1445.7500 30
1492.7400 1445.7500 30
1504.5600 1445.7500 31
1516.3800 1445.7500 31
1528.2100 1445.7500 31
1540.0300 1445.7500 32
1551.8500 1445.7500 32
1563.6800 1445.7500 32
1575.5000 1445.7500 33
1587.3300 1445.7500 33
1599.1500 1445.7500 33
1610.9700 1445.7500 34
1622.8000 1445.7500 34
1634.6200 1445.7500 34
1646.4400 1445.7500 35
1658.2700 1445.7500 35
1670.0900 1445.7500 36
1681.9200 1445.7500 36
1693.7400 1445.7500 36
1705.5600 1445.7500 37
1717.3900 1445.7500 37
