n 1174 
m 2 
tmax 14223
2017.0000 663.0000 0
2017.0000 703.0000 2
2018.0000 741.0000 3
2017.0000 779.0000 4
2016.0000 817.0000 5
2019.0000 856.0000 6
2019.0000 896.0000 8
2019.0000 935.0000 9
2031.0000 966.0000 10
1963.0000 877.0000 7
1964.0000 901.0000 8
1941.0000 934.0000 9
1862.0000 666.0000 5
1863.0000 705.0000 5
1865.0000 742.0000 6
1865.0000 780.0000 6
1865.0000 820.0000 7
1866.0000 859.0000 8
1864.0000 895.0000 9
1864.0000 938.0000 10
1972.0000 1051.0000 12
1971.0000 1090.0000 14
1972.0000 1128.0000 15
1974.0000 1168.0000 16
1973.0000 1205.0000 17
1974.0000 1245.0000 18
1974.0000 1284.0000 19
1943.0000 1110.0000 14
1915.0000 1150.0000 16
1856.0000 1053.0000 13
1856.0000 1090.0000 14
1858.0000 1130.0000 15
1857.0000 1169.0000 17
1857.0000 1207.0000 18
1858.0000 1245.0000 19
1857.0000 1286.0000 20
1820.0000 1246.0000 19
2034.0000 1360.0000 22
1860.0000 1392.0000 23
1781.0000 1390.0000 24
1976.0000 1456.0000 25
1976.0000 1494.0000 26
1975.0000 1536.0000 27
1978.0000 1573.0000 28
1978.0000 1611.0000 29
1977.0000 1651.0000 30
1977.0000 1688.0000 32
1976.0000 1728.0000 33
1979.0000 1767.0000 34
1979.0000 1806.0000 35
1978.0000 1852.0000 37
2026.0000 1573.0000 28
2026.0000 1648.0000 30
2025.0000 1729.0000 33
2036.0000 1854.0000 37
1931.0000 1775.0000 34
1901.0000 1887.0000 38
1861.0000 1456.0000 25
1859.0000 1498.0000 26
1861.0000 1537.0000 27
1859.0000 1576.0000 29
1860.0000 1614.0000 30
1861.0000 1651.0000 31
1858.0000 1691.0000 32
1861.0000 1731.0000 33
1860.0000 1768.0000 34
1865.0000 2287.0000 50
1860.0000 1853.0000 37
1979.0000 1978.0000 40
1979.0000 2015.0000 42
1979.0000 2055.0000 43
1978.0000 2097.0000 44
1981.0000 2133.0000 45
1980.0000 2092.0000 44
1980.0000 2210.0000 47
1982.0000 2248.0000 49
1981.0000 2284.0000 50
1983.0000 2326.0000 51
1984.0000 2377.0000 52
2031.0000 2376.0000 52
1952.0000 2058.0000 43
1922.0000 2093.0000 44
1933.0000 2209.0000 47
1923.0000 2250.0000 49
1862.0000 1930.0000 39
1864.0000 1979.0000 41
1864.0000 2017.0000 42
1865.0000 2056.0000 43
1865.0000 2093.0000 44
1864.0000 2136.0000 45
1866.0000 2174.0000 47
1865.0000 2214.0000 48
1866.0000 2250.0000 49
1865.0000 2291.0000 50
1868.0000 2329.0000 51
1982.0000 2459.0000 55
1983.0000 2579.0000 59
1985.0000 2541.0000 57
1985.0000 2576.0000 59
1984.0000 2616.0000 60
1986.0000 2653.0000 61
1984.0000 2671.0000 61
1988.0000 2734.0000 63
1937.0000 2696.0000 62
1906.0000 2616.0000 60
1867.0000 2414.0000 54
1867.0000 2462.0000 55
1869.0000 2502.0000 56
1869.0000 2544.0000 58
1870.0000 2578.0000 59
1867.0000 2619.0000 60
1868.0000 2657.0000 61
1871.0000 2697.0000 62
1870.0000 2736.0000 64
1958.0000 2830.0000 66
2034.0000 2857.0000 67
2035.0000 2906.0000 69
