n 5935 
m 2 
tmax 139011.5
1488.0000 14146.0000 0
1520.0000 4180.0000 50
1520.0000 8404.0000 29
1520.0000 9262.0000 25
1520.0000 11792.0000 12
5968.0000 4620.0000 53
5968.0000 6490.0000 45
5968.0000 7040.0000 42
5968.0000 7480.0000 41
5968.0000 8448.0000 37
6064.0000 9108.0000 34
6160.0000 9108.0000 35
6256.0000 9108.0000 35
6336.0000 9108.0000 35
6416.0000 9108.0000 36
6528.0000 9108.0000 36
6608.0000 9108.0000 36
6768.0000 9108.0000 37
6880.0000 9108.0000 37
6976.0000 9108.0000 38
7088.0000 9108.0000 38
7248.0000 9108.0000 39
7280.0000 9636.0000 37
7280.0000 10956.0000 33
7280.0000 12188.0000 31
7280.0000 12628.0000 30
4720.0000 4180.0000 53
4848.0000 4400.0000 52
5008.0000 4400.0000 52
5104.0000 4400.0000 52
17520.0000 5126.0000 92
17520.0000 7392.0000 87
17584.0000 7920.0000 87
17776.0000 9526.0000 85
17776.0000 14234.0000 82
17936.0000 5016.0000 94
17936.0000 5940.0000 92
17936.0000 6710.0000 91
18064.0000 7920.0000 89
18192.0000 8690.0000 88
18192.0000 14234.0000 84
18304.0000 7920.0000 90
18352.0000 4180.0000 98
18352.0000 5852.0000 94
18416.0000 7920.0000 90
18560.0000 7920.0000 91
18608.0000 8580.0000 90
18608.0000 14234.0000 86
18704.0000 7920.0000 92
18768.0000 5962.0000 96
880.0000 4180.0000 50
880.0000 8404.0000 29
880.0000 9152.0000 26
880.0000 11968.0000 12
1008.0000 12188.0000 11
1040.0000 14036.0000 3
1040.0000 14476.0000 3
5040.0000 10472.0000 26
5040.0000 14278.0000 18
5072.0000 9504.0000 30
5168.0000 9504.0000 30
5264.0000 9504.0000 30
5360.0000 9504.0000 31
5456.0000 4290.0000 53
5456.0000 4840.0000 51
5456.0000 6600.0000 43
5456.0000 7040.0000 41
5456.0000 7480.0000 39
5456.0000 8646.0000 34
10544.0000 14476.0000 46
10720.0000 14256.0000 47
10848.0000 14256.0000 47
10928.0000 4400.0000 68
10928.0000 6050.0000 63
10928.0000 7964.0000 57
10928.0000 9328.0000 53
10928.0000 10384.0000 51
10928.0000 11110.0000 50
10928.0000 12188.0000 49
10976.0000 14036.0000 48
11056.0000 14036.0000 48
11168.0000 14036.0000 49
11344.0000 14036.0000 50
11632.0000 14036.0000 51
11840.0000 14036.0000 52
11984.0000 14036.0000 53
12160.0000 14036.0000 54
12368.0000 14036.0000 55
12576.0000 14036.0000 56
12816.0000 14036.0000 57
