n 1818 
m 2 
tmax 14300.5
651.1900 2244.3900 0
676.6000 2168.2000 3
701.9900 2168.2000 3
727.4000 2168.2000 4
752.7900 2168.2000 5
727.4000 2142.7900 5
701.9900 2142.7900 4
676.6000 2142.7900 4
651.1900 2142.7900 4
625.8000 2142.7900 4
600.3900 2142.7900 4
575.0000 2142.7900 5
600.3900 2066.6000 6
625.8000 2066.6000 6
651.1900 2066.6000 6
676.6000 2066.6000 6
701.9900 2066.6000 6
727.4000 2066.6000 7
727.4000 2015.8000 8
701.9900 2015.8000 8
676.6000 2015.8000 8
651.1900 2015.8000 8
625.8000 2015.8000 8
600.3900 2015.8000 8
575.0000 2015.8000 8
600.3900 1939.6100 10
625.8000 1939.6100 10
651.1900 1939.6100 10
676.6000 1939.6100 10
701.9900 1939.6100 10
727.4000 1939.6100 11
727.4000 1888.8100 12
701.9900 1888.8100 12
676.6000 1888.8100 12
651.1900 1888.8100 12
625.8000 1888.8100 12
600.3900 1888.8100 12
575.0000 1888.8100 12
651.1900 1812.6000 14
625.8000 1812.6000 14
600.3900 1812.6000 14
600.3900 1761.8000 16
575.0000 1761.8000 16
625.8000 1761.8000 16
651.1900 1761.8000 16
676.6000 1761.8000 16
676.6000 1812.6000 14
701.9900 1812.6000 14
727.4000 1812.6000 15
727.4000 1761.8000 16
701.9900 1761.8000 16
651.1900 1685.6100 18
625.8000 1685.6100 18
600.3900 1685.6100 18
575.0000 1634.8000 20
600.3900 1634.8000 20
625.8000 1634.8000 20
651.1900 1634.8000 20
676.6000 1634.8000 20
701.9900 1634.8000 20
676.6000 1685.6100 18
701.9900 1685.6100 18
727.4000 1685.6100 19
727.4000 1634.8000 20
727.4000 1558.5900 23
701.9900 1558.5900 23
676.6000 1558.5900 22
651.1900 1558.5900 22
600.3900 1558.5900 23
625.8000 1558.5900 22
727.4000 1507.7900 24
701.9900 1507.7900 24
676.6000 1507.7900 24
651.1900 1507.7900 24
625.8000 1507.7900 24
600.3900 1507.7900 24
575.0000 1507.7900 24
600.3900 1431.6000 27
625.8000 1431.6000 27
651.1900 1431.6000 27
600.3900 1380.8000 28
575.0000 1380.8000 28
625.8000 1380.8000 28
651.1900 1380.8000 28
676.6000 1380.8000 28
676.6000 1431.6000 27
701.9900 1431.6000 27
727.4000 1431.6000 27
727.4000 1380.8000 28
701.9900 1380.8000 28
600.3900 1304.6100 31
600.3900 1253.8100 32
575.0000 1253.8100 32
625.8000 1304.6100 31
651.1900 1304.6100 31
676.6000 1304.6100 31
701.9900 1304.6100 31
727.4000 1304.6100 31
752.7900 1253.8100 32
727.4000 1253.8100 32
701.9900 1253.8100 32
676.6000 1253.8100 32
651.1900 1253.8100 32
625.8000 1253.8100 32
600.3900 1177.6000 35
625.8000 1177.6000 35
651.1900 1177.6000 35
676.6000 1177.6000 35
701.9900 1177.6000 35
727.4000 1177.6000 35
752.7900 1177.6000 35
727.4000 1101.4100 37
727.4000 1050.6100 39
625.8000 898.2000 44
651.1900 872.7900 44
625.8000 872.7900 44
575.0000 872.7900 45
549.6100 898.2000 44
549.6100 872.7900 45
651.1900 733.1100 49
651.1900 707.7000 50
676.6000 733.1100 49
676.6000 707.7000 50
778.2000 796.6000 47
803.5900 796.6000 47
803.5900 821.9900 46
879.8000 796.6000 47
778.2000 898.2000 44
854.3900 872.7900 45
879.8000 872.7900 45
905.2000 872.7900 45
930.6100 872.7900 45
879.8000 1050.6100 39
905.2000 1050.6100 40
930.6100 1126.8000 37
905.2000 1126.8000 37
879.8000 1126.8000 37
854.3900 1126.8000 37
879.8000 1177.6000 35
905.2000 1177.6000 36
930.6100 1253.8100 33
905.2000 1253.8100 33
879.8000 1253.8100 33
854.3900 1253.8100 33
879.8000 1304.6100 31
905.2000 1304.6100 32
905.2000 1380.8000 29
879.8000 1380.8000 29
854.3900 1380.8000 29
879.8000 1431.6000 28
905.2000 1431.6000 28
854.3900 1507.7900 25
879.8000 1507.7900 25
905.2000 1507.7900 25
879.8000 1558.5900 24
905.2000 1558.5900 24
930.6100 1558.5900 24
854.3900 1634.8000 21
879.8000 1634.8000 21
905.2000 1634.8000 22
930.6100 1634.8000 22
930.6100 1685.6100 21
905.2000 1685.6100 20
879.8000 1685.6100 20
905.2000 1761.8000 18
879.8000 1761.8000 18
854.3900 1761.8000 17
905.2000 1812.6000 17
879.8000 1812.6000 16
854.3900 1888.8100 14
879.8000 1888.8100 14
905.2000 1888.8100 15
879.8000 1939.6100 13
905.2000 1939.6100 13
930.6100 1939.6100 14
956.0000 1939.6100 14
981.4100 1939.6100 15
1006.8000 1939.6100 15
1006.8000 1888.8100 17
981.4100 1888.8100 16
956.0000 1888.8100 15
930.6100 1888.8100 15
1006.8000 1812.6000 18
981.4100 1812.6000 18
956.0000 1812.6000 17
930.6100 1812.6000 17
1006.8000 1761.8000 20
981.4100 1761.8000 19
956.0000 1761.8000 19
930.6100 1761.8000 18
956.0000 1685.6100 21
981.4100 1685.6100 21
1006.8000 1685.6100 22
956.0000 1634.8000 22
981.4100 1634.8000 23
1006.8000 1634.8000 23
1006.8000 1558.5900 25
981.4100 1558.5900 25
956.0000 1558.5900 25
1032.2100 1507.7900 27
1006.8000 1507.7900 27
981.4100 1507.7900 26
956.0000 1507.7900 26
930.6100 1507.7900 26
930.6100 1431.6000 28
956.0000 1431.6000 28
981.4100 1431.6000 29
1006.8000 1431.6000 29
1032.2100 1431.6000 29
1006.8000 1380.8000 30
981.4100 1380.8000 30
956.0000 1380.8000 30
930.6100 1380.8000 30
930.6100 1304.6100 32
956.0000 1304.6100 32
981.4100 1304.6100 32
1006.8000 1304.6100 33
956.0000 1253.8100 34
981.4100 1253.8100 34
1006.8000 1253.8100 34
1006.8000 1177.6000 37
981.4100 1177.6000 36
956.0000 1177.6000 36
930.6100 1177.6000 36
956.0000 1126.8000 38
981.4100 1126.8000 38
1032.2100 1126.8000 38
1006.8000 1126.8000 38
930.6100 1050.6100 40
956.0000 1050.6100 40
981.4100 1050.6100 40
1006.8000 1050.6100 40
1032.2100 1050.6100 41
1108.4000 1050.6100 41
1133.8100 1050.6100 42
1159.2000 1050.6100 42
1184.6100 1050.6100 42
1210.0000 1050.6100 43
1235.3900 1050.6100 43
1235.3900 999.8000 45
1083.0100 999.8000 43
956.0000 872.7900 46
1006.8000 872.7900 46
981.4100 872.7900 46
905.2000 796.6000 48
930.6100 796.6000 48
956.0000 796.6000 48
981.4100 796.6000 48
1006.8000 796.6000 48
1083.0100 872.7900 47
1108.4000 872.7900 47
1133.8100 872.7900 47
1159.2000 872.7900 47
1184.6100 872.7900 48
1210.0000 872.7900 48
1235.3900 872.7900 48
1235.3900 923.5900 47
1108.4000 796.6000 49
1133.8100 796.6000 49
1159.2000 796.6000 50
1184.6100 796.6000 50
1210.0000 796.6000 50
1235.3900 796.6000 51
1260.8000 872.7900 49
1286.1900 872.7900 49
1311.6000 872.7900 49
1362.4000 872.7900 50
