n 1656 
m 3 
tmax 10354.67
0.0000 0.0000 0
1224.3000 945.6000 33
1325.9000 945.6000 34
1325.9000 971.0000 34
1224.3000 971.0000 33
1224.3000 996.4000 33
1325.9000 996.4000 35
1325.9000 1021.8000 35
1224.3000 1021.8000 33
1186.2000 1034.5000 33
1084.6000 1034.5000 32
1052.8000 1034.5000 31
1027.4000 1034.5000 31
1224.3000 1047.2000 34
1325.9000 1047.2000 35
1186.2000 1059.9000 33
1084.6000 1059.9000 32
1052.8000 1059.9000 31
1027.4000 1059.9000 31
1224.3000 1072.6000 34
1325.9000 1072.6000 36
1186.2000 1085.3000 34
1084.6000 1085.3000 32
1052.8000 1085.3000 32
1027.4000 1085.3000 31
1224.3000 1098.0000 35
1325.9000 1098.0000 36
1186.2000 1110.7000 34
1084.6000 1110.7000 33
1052.8000 1110.7000 32
1027.4000 1110.7000 32
1224.3000 1123.4000 35
1325.9000 1123.4000 36
1186.2000 1136.1000 34
1084.6000 1136.1000 33
1052.8000 1136.1000 33
1027.4000 1136.1000 32
1224.3000 1148.8000 35
1325.9000 1148.8000 37
1186.2000 1161.5000 35
1084.6000 1161.5000 33
1052.8000 1161.5000 33
1027.4000 1161.5000 33
1224.3000 1174.2000 36
1325.9000 1174.2000 37
1186.2000 1186.9000 35
1084.6000 1186.9000 34
1052.8000 1186.9000 33
1027.4000 1186.9000 33
1224.3000 1199.6000 36
1325.9000 1199.6000 37
1186.2000 1212.3000 36
1084.6000 1212.3000 34
1052.8000 1212.3000 34
1027.4000 1212.3000 33
1224.3000 1225.0000 36
1325.9000 1225.0000 38
1186.2000 1237.7000 36
1084.6000 1237.7000 35
1052.8000 1237.7000 34
1027.4000 1237.7000 34
1224.3000 1250.4000 37
1325.9000 1250.4000 38
1186.2000 1263.1000 36
1084.6000 1263.1000 35
1052.8000 1263.1000 35
1027.4000 1263.1000 34
1224.3000 1275.8000 37
1325.9000 1275.8000 39
1186.2000 1288.5000 37
1084.6000 1288.5000 35
1052.8000 1288.5000 35
1027.4000 1288.5000 35
1027.4000 1313.9000 35
1052.8000 1313.9000 35
1084.6000 1313.9000 36
1186.2000 1313.9000 37
1287.8000 1339.3000 39
1262.4000 1339.3000 39
1186.2000 1339.3000 38
1084.6000 1339.3000 36
1052.8000 1339.3000 36
1027.4000 1339.3000 35
1027.4000 1364.7000 36
1052.8000 1364.7000 36
1084.6000 1364.7000 37
1186.2000 1364.7000 38
1186.2000 1390.1000 38
1084.6000 1390.1000 37
1052.8000 1390.1000 37
1027.4000 1390.1000 36
1224.3000 1402.8000 39
1325.9000 1402.8000 40
1186.2000 1415.5000 39
1084.6000 1415.5000 37
1052.8000 1415.5000 37
1027.4000 1415.5000 37
1224.3000 1428.2000 39
1325.9000 1428.2000 41
1325.9000 1453.6000 41
1224.3000 1453.6000 40
1224.3000 1479.0000 40
1325.9000 1479.0000 42
1186.2000 1491.7000 40
1084.6000 1491.7000 39
1052.8000 1491.7000 38
1027.4000 1504.4000 38
1224.3000 1504.4000 41
1325.9000 1504.4000 42
1052.8000 1517.1000 39
1224.3000 1529.8000 41
1325.9000 1529.8000 42
1325.9000 1555.2000 43
1224.3000 1555.2000 41
1224.3000 1580.6000 42
1325.9000 1580.6000 43
1325.9000 1606.0000 44
1224.3000 1606.0000 42
1224.3000 1631.4000 43
1325.9000 1631.4000 44
1325.9000 1656.8000 44
1224.3000 1656.8000 43
1224.3000 1682.2000 44
1325.9000 1682.2000 45
1325.9000 1707.6000 45
1224.3000 1707.6000 44
1224.3000 1733.0000 44
1325.9000 1733.0000 46
1097.3000 1948.9000 47
1071.9000 1948.9000 47
1224.3000 2152.1000 52
1325.9000 2152.1000 53
1325.9000 2177.5000 53
1224.3000 2177.5000 52
1224.3000 2202.9000 53
1325.9000 2202.9000 54
1325.9000 2228.3000 54
1224.3000 2228.3000 53
1224.3000 2253.7000 54
1325.9000 2253.7000 55
1325.9000 2279.1000 55
1224.3000 2279.1000 54
1224.3000 2304.5000 54
1325.9000 2304.5000 56
1325.9000 2329.9000 56
1224.3000 2329.9000 55
1224.3000 2355.3000 55
