n 2153 
m 3 
tmax 10709
719.9000 733.1100 0
719.9000 707.7000 1
758.0100 707.7000 2
758.0100 733.1100 2
808.8100 796.6000 4
808.8100 821.9900 5
808.8100 923.5900 7
808.8100 898.2000 7
808.8100 872.7900 6
808.8100 847.4000 5
859.6100 796.6000 5
859.6100 821.9900 6
859.6100 847.4000 6
859.6100 872.7900 7
859.6100 898.2000 8
859.6100 923.5900 8
859.6100 949.0000 9
859.6100 974.3900 10
859.6100 999.8000 10
859.6100 1025.2000 11
758.0100 1101.4100 13
732.6000 1101.4100 12
758.0100 1076.0000 12
732.6000 1050.6100 11
732.6000 1076.0000 12
758.0100 1050.6100 11
732.6000 1025.2000 10
758.0100 1025.2000 10
758.0100 999.8000 9
808.8100 1025.2000 10
808.8100 999.8000 10
808.8100 974.3900 9
808.8100 949.0000 8
758.0100 949.0000 8
758.0100 974.3900 8
732.6000 999.8000 9
732.6000 974.3900 8
732.6000 949.0000 8
681.8000 949.0000 8
681.8000 974.3900 8
681.8000 999.8000 9
681.8000 1025.2000 10
656.4100 1025.2000 10
656.4100 999.8000 9
758.0100 898.2000 6
758.0100 923.5900 7
732.6000 872.7900 5
732.6000 847.4000 4
758.0100 821.9900 4
758.0100 847.4000 4
758.0100 872.7900 5
732.6000 898.2000 6
732.6000 923.5900 7
605.6100 796.6000 5
605.6100 821.9900 5
605.6100 847.4000 6
605.6100 872.7900 6
605.6100 898.2000 7
605.6100 923.5900 8
605.6100 949.0000 8
605.6100 974.3900 9
631.0000 999.8000 10
605.6100 999.8000 10
631.0000 1025.2000 10
605.6100 1025.2000 11
631.0000 1050.6100 11
631.0000 1076.0000 12
656.4100 1050.6100 11
656.4100 1076.0000 12
631.0000 1101.4100 13
656.4100 1101.4100 13
681.8000 1152.2100 14
681.8000 1177.6000 15
681.8000 1203.0100 16
681.8000 1228.4000 17
681.8000 1253.8100 17
681.8000 1279.2000 18
681.8000 1304.6100 19
732.6000 1253.8100 17
732.6000 1279.2000 18
732.6000 1228.4000 17
732.6000 1203.0100 16
732.6000 1177.6000 15
732.6000 1152.2100 14
605.6100 1152.2100 15
605.6100 1177.6000 15
605.6100 1203.0100 16
605.6100 1228.4000 17
605.6100 1253.8100 18
605.6100 1279.2000 19
605.6100 1304.6100 19
605.6100 1330.0000 20
656.4100 1355.3900 21
681.8000 1330.0000 20
681.8000 1355.3900 21
732.6000 1380.8000 22
732.6000 1355.3900 21
732.6000 1330.0000 20
732.6000 1304.6100 19
808.8100 1279.2000 18
808.8100 1253.8100 18
808.8100 1228.4000 17
808.8100 1203.0100 16
808.8100 1177.6000 15
808.8100 1152.2100 14
859.6100 1152.2100 15
859.6100 1126.8000 14
859.6100 1101.4100 13
859.6100 1177.6000 16
859.6100 1203.0100 16
859.6100 1228.4000 17
859.6100 1253.8100 18
859.6100 1279.2000 19
808.8100 1304.6100 19
808.8100 1330.0000 20
808.8100 1355.3900 21
808.8100 1380.8000 22
783.4000 1456.9900 24
808.8100 1456.9900 24
834.2000 1456.9900 24
859.6100 1456.9900 24
859.6100 1431.6000 24
859.6100 1380.8000 22
859.6100 1406.1900 23
935.8000 1380.8000 23
935.8000 1406.1900 23
935.8000 1431.6000 24
935.8000 1456.9900 25
935.8000 1482.4000 26
935.8000 1507.7900 27
935.8000 1533.2000 27
859.6100 1482.4000 25
859.6100 1507.7900 26
859.6100 1533.2000 27
935.8000 1584.0000 29
961.1900 1584.0000 29
935.8000 1609.3900 30
961.1900 1609.3900 30
986.6000 1584.0000 29
986.6000 1609.3900 30
935.8000 1685.6100 32
961.1900 1685.6100 32
986.6000 1685.6100 33
1011.9900 1685.6100 33
986.6000 1736.4100 34
961.1900 1736.4100 34
935.8000 1736.4100 34
834.2000 1685.6100 32
808.8100 1685.6100 32
783.4000 1685.6100 31
758.0100 1685.6100 31
681.8000 1609.3900 29
707.2100 1609.3900 29
732.6000 1609.3900 29
758.0100 1609.3900 29
783.4000 1609.3900 29
834.2000 1609.3900 29
808.8100 1609.3900 29
707.2100 1685.6100 31
732.6000 1685.6100 31
681.8000 1685.6100 31
681.8000 1736.4100 33
707.2100 1736.4100 33
732.6000 1736.4100 33
758.0100 1736.4100 33
783.4000 1736.4100 33
808.8100 1736.4100 33
834.2000 1736.4100 33
834.2000 1812.6000 36
808.8100 1812.6000 36
783.4000 1812.6000 36
758.0100 1812.6000 36
732.6000 1812.6000 36
707.2100 1812.6000 36
681.8000 1787.2100 35
656.4100 1787.2100 35
681.8000 1812.6000 36
681.8000 1838.0100 36
656.4100 1838.0100 36
656.4100 1863.4000 37
681.8000 1863.4000 37
707.2100 1838.0100 36
707.2100 1863.4000 37
732.6000 1863.4000 37
758.0100 1838.0100 36
783.4000 1838.0100 36
834.2000 1863.4000 37
808.8100 1863.4000 37
783.4000 1863.4000 37
758.0100 1863.4000 37
707.2100 1939.6100 40
681.8000 1939.6100 40
656.4100 1939.6100 40
681.8000 1965.0000 40
707.2100 1965.0000 40
732.6000 1939.6100 40
732.6000 1965.0000 40
758.0100 1939.6100 40
758.0100 1965.0000 40
783.4000 1939.6100 40
783.4000 1965.0000 41
681.8000 2041.1900 43
681.8000 2066.6000 44
707.2100 2066.6000 44
707.2100 2041.1900 43
732.6000 2041.1900 43
758.0100 2041.1900 43
783.4000 2041.1900 43
808.8100 2041.1900 43
834.2000 2041.1900 43
885.0000 2066.6000 44
910.3900 2066.6000 44
808.8100 1965.0000 41
808.8100 1939.6100 40
834.2000 1965.0000 41
834.2000 1939.6100 40
935.8000 1863.4000 38
935.8000 1812.6000 36
935.8000 1787.2100 35
961.1900 1863.4000 38
986.6000 1863.4000 38
935.8000 1939.6100 40
961.1900 1939.6100 40
986.6000 1939.6100 41
1011.9900 1939.6100 41
1037.4000 1939.6100 41
1062.7900 1939.6100 41
1088.2000 1939.6100 41
1088.2000 1863.4000 39
1062.7900 1863.4000 39
1037.4000 1863.4000 39
1011.9900 1863.4000 38
961.1900 1812.6000 36
961.1900 1787.2100 36
