n 2393 
m 8 
tmax 23627 
1639.0000 2156.0000 0
1875.0000 2925.0000 5
2150.0000 2925.0000 6
2425.0000 2925.0000 7
2525.0000 2675.0000 7
2525.0000 2575.0000 6
2525.0000 2375.0000 6
2525.0000 2275.0000 6
2525.0000 2175.0000 6
2786.0000 2148.0000 7
2786.0000 2249.0000 7
2786.0000 2352.0000 7
2785.0000 2451.0000 7
2785.0000 2552.0000 8
2787.0000 2651.0000 8
2925.0000 2925.0000 9
3198.0000 2925.0000 11
3475.0000 2925.0000 12
3725.0000 2925.0000 14
3675.0000 2675.0000 13
3675.0000 2575.0000 13
3675.0000 2375.0000 13
3675.0000 2275.0000 12
3675.0000 2175.0000 12
4189.0000 2156.0000 15
4190.0000 2256.0000 16
4190.0000 2355.0000 16
4189.0000 2456.0000 16
4189.0000 2556.0000 16
4190.0000 2656.0000 16
4275.0000 2975.0000 17
4425.0000 2925.0000 17
4700.0000 2925.0000 19
4975.0000 2925.0000 21
5075.0000 2675.0000 21
5075.0000 2575.0000 21
5075.0000 2375.0000 21
5075.0000 2275.0000 21
5075.0000 2175.0000 21
5336.0000 2148.0000 22
5336.0000 2249.0000 22
5336.0000 2352.0000 22
5335.0000 2451.0000 22
5335.0000 2552.0000 22
5337.0000 2651.0000 22
5475.0000 2925.0000 23
5748.0000 2925.0000 25
6025.0000 2925.0000 27
6275.0000 2925.0000 28
6225.0000 2675.0000 28
6225.0000 2575.0000 28
6225.0000 2375.0000 27
6225.0000 2275.0000 27
6225.0000 2175.0000 27
6739.0000 2156.0000 30
6740.0000 2256.0000 30
6740.0000 2355.0000 30
6739.0000 2456.0000 31
6739.0000 2556.0000 31
6740.0000 2656.0000 31
6825.0000 2975.0000 31
6975.0000 2925.0000 32
7250.0000 2925.0000 34
7525.0000 2925.0000 35
7625.0000 2675.0000 36
7625.0000 2575.0000 36
7625.0000 2375.0000 36
7625.0000 2275.0000 36
7625.0000 2175.0000 36
7886.0000 2148.0000 37
7886.0000 2249.0000 37
7886.0000 2352.0000 37
7885.0000 2451.0000 37
7885.0000 2552.0000 37
7887.0000 2651.0000 37
8025.0000 2925.0000 38
8298.0000 2925.0000 40
8575.0000 2925.0000 42
8825.0000 2925.0000 43
8775.0000 2675.0000 43
8775.0000 2575.0000 42
8775.0000 2375.0000 42
8775.0000 2275.0000 42
8775.0000 2175.0000 42
9289.0000 2156.0000 45
9290.0000 2256.0000 45
9290.0000 2355.0000 45
9289.0000 2456.0000 45
9289.0000 2556.0000 46
9290.0000 2656.0000 46
9375.0000 2975.0000 46
9525.0000 2925.0000 47
9800.0000 2925.0000 49
10075.0000 2925.0000 50
10175.0000 2675.0000 51
10175.0000 2575.0000 51
10175.0000 2375.0000 51
10175.0000 2275.0000 51
10175.0000 2175.0000 51
10436.0000 2148.0000 52
10436.0000 2249.0000 52
10436.0000 2352.0000 52
10435.0000 2451.0000 52
10435.0000 2552.0000 52
10437.0000 2651.0000 52
10575.0000 2925.0000 53
10848.0000 2925.0000 55
11125.0000 2925.0000 56
11325.0000 2175.0000 57
11325.0000 2275.0000 57
11325.0000 2375.0000 57
11325.0000 2575.0000 57
11325.0000 2675.0000 57
11375.0000 2925.0000 58
11375.0000 3125.0000 58
11400.0000 3225.0000 58
11400.0000 3325.0000 58
11400.0000 3475.0000 58
11400.0000 3625.0000 58
11300.0000 3825.0000 58
11125.0000 3825.0000 57
11125.0000 3925.0000 57
11025.0000 3975.0000 57
10925.0000 3975.0000 56
10925.0000 3875.0000 56
10550.0000 3925.0000 54
10550.0000 3725.0000 54
10550.0000 3325.0000 53
10100.0000 3325.0000 51
10100.0000 3725.0000 51
10100.0000 3925.0000 51
9725.0000 3875.0000 49
9725.0000 3975.0000 49
9625.0000 3975.0000 49
9550.0000 3875.0000 48
9425.0000 3875.0000 47
9275.0000 3900.0000 47
9250.0000 3700.0000 46
9250.0000 3575.0000 46
9250.0000 3475.0000 46
9250.0000 3375.0000 46
9250.0000 3275.0000 46
8825.0000 3125.0000 43
8850.0000 3225.0000 43
8850.0000 3325.0000 43
8850.0000 3475.0000 44
8850.0000 3625.0000 44
8750.0000 3825.0000 43
8575.0000 3825.0000 42
8575.0000 3925.0000 43
8475.0000 3975.0000 42
8375.0000 3875.0000 41
8375.0000 3975.0000 41
8400.0000 4125.0000 42
8300.0000 4175.0000 41
8400.0000 4275.0000 42
8500.0000 4175.0000 43
8675.0000 4325.0000 44
8775.0000 4425.0000 44
8825.0000 4325.0000 45
9275.0000 4275.0000 47
9375.0000 4275.0000 48
9325.0000 4375.0000 48
9400.0000 4450.0000 48
9400.0000 4550.0000 48
9325.0000 4500.0000 48
9215.0000 4560.0000 47
9215.0000 4710.0000 47
9375.0000 4775.0000 48
9215.0000 4860.0000 48
9215.0000 5010.0000 48
9215.0000 5160.0000 48
9215.0000 5310.0000 49
9215.0000 5460.0000 49
9215.0000 5610.0000 49
9475.0000 5675.0000 51
9475.0000 5525.0000 51
9475.0000 5425.0000 50
9475.0000 5275.0000 50
9475.0000 5025.0000 50
9575.0000 5075.0000 50
9725.0000 5075.0000 51
9675.0000 4975.0000 51
9575.0000 4925.0000 50
9525.0000 4775.0000 49
9600.0000 4675.0000 50
9625.0000 4775.0000 50
9775.0000 4775.0000 51
9975.0000 4600.0000 52
9875.0000 4600.0000 51
9800.0000 4525.0000 50
9700.0000 4525.0000 50
9700.0000 4425.0000 50
9800.0000 4425.0000 50
9800.0000 4325.0000 50
9700.0000 4275.0000 49
9600.0000 4175.0000 49
9700.0000 4125.0000 49
9800.0000 4175.0000 50
9875.0000 4275.0000 50
9975.0000 4275.0000 51
10075.0000 4175.0000 51
10275.0000 4175.0000 53
10375.0000 4175.0000 53
10575.0000 4175.0000 54
10675.0000 4275.0000 55
10775.0000 4275.0000 56
10850.0000 4325.0000 56
10850.0000 4425.0000 56
10850.0000 4525.0000 56
10775.0000 4575.0000 56
10675.0000 4575.0000 55
10875.0000 4775.0000 57
11025.0000 4775.0000 58
11175.0000 4725.0000 59
11050.0000 4675.0000 58
10950.0000 4500.0000 57
10950.0000 4400.0000 57
10950.0000 4275.0000 57
10850.0000 4175.0000 56
10950.0000 4125.0000 56
11050.0000 4175.0000 57
11225.0000 4325.0000 58
11375.0000 4325.0000 59
11325.0000 4425.0000 59
11325.0000 4575.0000 59
11325.0000 4675.0000 59
11325.0000 4775.0000 59
11325.0000 4925.0000 60
11450.0000 4925.0000 60
11450.0000 5075.0000 61
11422.0000 5204.0000 61
11425.0000 5325.0000 61
11325.0000 5275.0000 60
11325.0000 5375.0000 60
11175.0000 5375.0000 60
11175.0000 5275.0000 59
11125.0000 5175.0000 59
11100.0000 5025.0000 59
10975.0000 4975.0000 58
10925.0000 5075.0000 58
10950.0000 5175.0000 58
10900.0000 5275.0000 58
10900.0000 5375.0000 58
10800.0000 5175.0000 57
10525.0000 5175.0000 56
10325.0000 5175.0000 55
10325.0000 5025.0000 54
10425.0000 5075.0000 55
10475.0000 4975.0000 55
10325.0000 4875.0000 54
10175.0000 4975.0000 53
10225.0000 5075.0000 54
10125.0000 5175.0000 53
9975.0000 5175.0000 53
10050.0000 5250.0000 53
10050.0000 5350.0000 53
10025.0000 5450.0000 53
10175.0000 5450.0000 54
10325.0000 5450.0000 55
10475.0000 5450.0000 56
10575.0000 5450.0000 56
10675.0000 5450.0000 57
10525.0000 6025.0000 57
10525.0000 6125.0000 58
10675.0000 6125.0000 58
10825.0000 6025.0000 59
11025.0000 6050.0000 60
11224.0000 5908.0000 61
11400.0000 5975.0000 62
11400.0000 6375.0000 63
11400.0000 6575.0000 63
11175.0000 6575.0000 62
11025.0000 6450.0000 61
10975.0000 6675.0000 61
11075.0000 6775.0000 62
10975.0000 6875.0000 62
11175.0000 6975.0000 63
11375.0000 6975.0000 64
11325.0000 7075.0000 64
11400.0000 7150.0000 65
11125.0000 7150.0000 63
10975.0000 7150.0000 63
10875.0000 7325.0000 63
10925.0000 7425.0000 63
11075.0000 7425.0000 64
11175.0000 7475.0000 65
11075.0000 7575.0000 64
11175.0000 7625.0000 65
11175.0000 7725.0000 65
11025.0000 7725.0000 65
11025.0000 7825.0000 65
11175.0000 7825.0000 66
11325.0000 7875.0000 67
11425.0000 7925.0000 67
11425.0000 8075.0000 68
